service_id,date,exception_type
"5426_262161","20241003","1"
"5426_262161","20241004","1"
"5426_262162","20241005","1"
"5426_262163","20241003","1"
"5426_262163","20241004","1"
"5426_262163","20241005","1"
"5426_262164","20241006","1"
"5426_262165","20241006","1"
"5426_262168","20241003","1"
"5426_262168","20241004","1"
"5426_262170","20241005","1"
"5426_262171","20241003","1"
"5426_262171","20241004","1"
"5426_262173","20241006","1"
"5426_262174","20241006","1"
"5426_262176","20241006","1"
"5426_262179","20241006","1"
"5426_262181","20241003","1"
"5426_262181","20241004","1"
"5426_262181","20241005","1"
"5426_262182","20241003","1"
"5426_262182","20241004","1"
"5426_262182","20241005","1"
"5426_262185","20241006","1"
"5426_262186","20241006","1"
"5426_262187","20241003","1"
"5426_262187","20241004","1"
"5426_262187","20241005","1"
"5426_262188","20241003","1"
"5426_262188","20241004","1"
"5426_262188","20241005","1"
"5426_262189","20241006","1"
"5426_262191","20241003","1"
"5426_262191","20241004","1"
"5426_262192","20241003","1"
"5426_262192","20241004","1"
"5426_262193","20241003","1"
"5426_262193","20241004","1"
"5426_262194","20241003","1"
"5426_262194","20241004","1"
"5426_262195","20241006","1"
"5426_262200","20241005","1"
"5426_262203","20241003","1"
"5426_262203","20241004","1"
"5426_262204","20241006","1"
"5426_262209","20241005","1"
"5426_262212","20241003","1"
"5426_262212","20241004","1"
"5426_262213","20241005","1"
"5426_262214","20241006","1"
"5426_262218","20241006","1"
"5426_262221","20241003","1"
"5426_262221","20241004","1"
"5426_262222","20241006","1"
"5426_262226","20241006","1"
"5426_262230","20241005","1"
"5426_262233","20241003","1"
"5426_262233","20241004","1"
"5426_262235","20241006","1"
"5426_262237","20241005","1"
"5426_262243","20241003","1"
"5426_262243","20241004","1"
"5426_262244","20241006","1"
"5426_262246","20241006","1"
"5426_262253","20241005","1"
"5426_262256","20241005","1"
"5426_262258","20241003","1"
"5426_262258","20241004","1"
"5426_262259","20241003","1"
"5426_262259","20241004","1"
"5426_262260","20241005","1"
"5426_262261","20241003","1"
"5426_262261","20241004","1"
"5426_262262","20241006","1"
"5426_262264","20241003","1"
"5426_262264","20241004","1"
"5426_262265","20241006","1"
"5426_262269","20241006","1"
"5426_262273","20241005","1"
"5426_262276","20241003","1"
"5426_262276","20241004","1"
"5426_262277","20241006","1"
"5426_262284","20241005","1"
"5426_262287","20241003","1"
"5426_262287","20241004","1"
"5426_262288","20241006","1"
"5426_262293","20241005","1"
"5426_262296","20241003","1"
"5426_262296","20241004","1"
"5426_262297","20241005","1"
"5426_262298","20241003","1"
"5426_262298","20241004","1"
"5426_262299","20241006","1"
"5426_262300","20241006","1"
"5426_262301","20241003","1"
"5426_262301","20241004","1"
"5426_262303","20241006","1"
"5426_262310","20241005","1"
"5426_262314","20241006","1"
"5426_262315","20241003","1"
"5426_262315","20241004","1"
"5426_262315","20241005","1"
"5426_262318","20241003","1"
"5426_262318","20241004","1"
"5426_262319","20241006","1"
"5426_262325","20241005","1"
"5426_262328","20241003","1"
