departure;arrival;starting_time;n_people
FI5350_600;FI1897_600;1717393500;44
FI5126_600;FI0612_600;1717393500;3
FI0054_600;FI0185_600;1717399800;1
FI3004_600;FI0614_600;1717393500;6
FI0248_600;FI1888_600;1717393500;1
FI5132_600;FI7140_600;1717393500;3
FI0639_600;FI1455_600;1717390800;70
FI2224_600;FI0050_600;1717397100;4
FI5350_600;FI0020_600;1717397100;6
FI1897_600;FI0352_600;1717393500;3
FI5126_600;FI0325_600;1717393500;11
FI5126_600;FI0427_600;1717397100;1
FI5350_600;FI0611_600;1717393500;1
FI5126_600;FI2226_600;1717393500;11
FI0248_600;FI3011_600;1717393500;1
FI1897_600;FI0331_600;1717393500;2
FI2224_600;FI0334_600;1717397100;7
FI5132_600;FI0606_600;1717393500;7
FI0639_600;FI0335_600;1717393500;1
FI5350_600;FI0695_600;1717393500;1
FI3004_600;FI0596_600;1717390800;4
FI0014_600;FI0356_600;1717399800;2
FI5127_600;FI0425_600;1717397100;2
FI0014_600;FI7088_600;1717393500;2
FI5127_600;FI0381_600;1717397100;2
FI5127_600;FI0201_600;1717399800;6
FI3004_600;FI8869_600;1717393500;86
FI5132_600;7@FM1333_600;1717393500;2
FI5127_600;FI1223_600;1717397100;1
FI5127_600;FI1217_600;1717390800;29
FI3004_600;FI1209_600;1717390800;2
FI5126_600;FI1204_600;1717397100;1
FI1897_600;FI0433_600;1717393500;9
FI0248_600;FI0108_600;1717397100;1
FI3004_600;FI2287_600;1717390800;2
FI0054_600;FI1431_600;1717390800;19
FI5126_600;FI1816_600;1717399800;3
FI0639_600;FI0060_600;1717393500;1
FI5126_600;FI1871_600;1717397100;1
FI5127_600;7@FM0769_600;1717393500;3
FI3004_600;FI1901_600;1717390800;6
FI5127_600;7@FM0999_600;1717393500;2
FI1897_600;7@FM1030_600;1717399800;5
FI0248_600;FI0670_600;1717393500;2
FI3004_600;FI1027_600;1717397100;10
FI0054_600;FI2130_600;1717393500;1
FI0248_600;7@FM8849_600;1717397100;10
FI5126_600;FI8857_600;1717393500;2
FI2224_600;FI0004_600;1717393500;2
FI0248_600;FI7210_600;1717393500;3
FI0054_600;FI0269_600;1717390800;18
FI5126_600;FI8877_600;1717393500;3
FI2224_600;FI0556_600;1717393500;3
FI1265_600;FI2413_600;1717390800;6
FI5126_600;FI0262_600;1717393500;4
FI3004_600;FI8812_600;1717399800;7
FI0054_600;FI0704_600;1717390800;1
FI1265_600;7@FM8821_600;1717397100;4
FI3004_600;FI0850_600;1717393500;6
FI0054_600;FI0128_600;1717397100;1
FI1265_600;FI0151_600;1717393500;3
FI3007_600;FI0163_600;1717397100;5
FI0639_600;SCD100_600;1717393500;2
FI5132_600;SCD931_600;1717390800;7
FI0248_600;SCD791_600;1717390800;1
FI1897_600;7@FM7113_600;1717393500;1
FI1265_600;SFN014_600;1717393500;1
FI0639_600;FSL377_600;1717393500;2
FI0639_600;FSL010_600;1717393500;2
FI5350_600;FSL595_600;1717393500;1
FI3004_600;7@FM1319_600;1717390800;1
FI0639_600;6@IMT048_600;1717393500;2
FI0639_600;PO1860_600;1717390800;1
FI0641_600;FI5126_600;1717390800;1
FI0640_600;FI0185_600;1717397100;6
FI0544_600;FI1873_600;1717393500;1
FI0778_600;FI1824_600;1717393500;8
FI5306_600;FI0489_600;1717390800;1
FI0640_600;FI0131_600;1717390800;7
FI0612_600;FI0423_600;1717393500;2
FI0544_600;FI0325_600;1717390800;2
FI0612_600;FI7202_600;1717393500;1
FI0779_600;FI8810_600;1717393500;2
FI0779_600;FI3011_600;1717390800;1
FI0778_600;FI0347_600;1717399800;1
FI5305_600;FI0649_600;1717393500;3
FI0640_600;FI5099_600;1717393500;1
FI0641_600;FI0712_600;1717390800;2
FI0544_600;FI0359_600;1717393500;3
FI0571_600;FI0567_600;1717393500;2
FI5306_600;FI2312_600;1717393500;2
FI0778_600;FI7094_600;1717393500;3
FI0640_600;FI0096_600;1717393500;4
FI0544_600;FI0390_600;1717390800;1
FI0779_600;FI0565_600;1717390800;31
FI0779_600;FI0528_600;1717397100;100
FI0778_600;FI0583_600;1717393500;3
FI0778_600;7@FM1255_600;1717390800;1
FI0544_600;FI0507_600;1717390800;1
FI0544_600;FI1245_600;1717399800;2
FI5306_600;FI1266_600;1717393500;1
FI0779_600;7@FM1295_600;1717397100;2
FI0640_600;FI0228_600;1717390800;1
FI0612_600;FI0125_600;1717390800;1
FI0544_600;FI1605_600;1717390800;12
FI0778_600;FI0138_600;1717393500;1
FI5306_600;FI0124_600;1717393500;1
FI0778_600;7@FM0283_600;1717393500;2
FI0778_600;FI1624_600;1717393500;4
FI0571_600;SFN750_600;1717397100;1
FI0571_600;7@FM1024_600;1717390800;1
FI0571_600;FI0557_600;1717397100;14
FI0640_600;FI0802_600;1717397100;21
FI0571_600;FI0561_600;1717393500;10
FI0571_600;FI7219_600;1717393500;1
FI0571_600;FI8822_600;1717390800;1
FI0778_600;7@FM1291_600;1717393500;1
FI0641_600;FI0632_600;1717390800;1
FI5306_600;7@FM1731_600;1717390800;1
FI0612_600;CBI214_600;1717393500;3
FI0779_600;FSL371_600;1717390800;1
FI5305_600;7@FM2029_600;1717393500;1
FI0571_600;7@FM1704_600;1717390800;14
FI0571_600;FSL732_600;1717393500;20
FI5306_600;FSL028_600;1717390800;11
FI0612_600;7@FM1578_600;1717393500;1
FI0641_600;6@IMT081_600;1717390800;6
FI0640_600;IMT032_600;1717393500;4
FI0779_600;PO1860_600;1717390800;1
FI0613_600;FI1897_600;1717397100;1
FI1880_600;FI0185_600;1717393500;1
FI0329_600;FI0614_600;1717393500;2
FI0613_600;FI0082_600;1717390800;93
FI0329_600;FI0079_600;1717393500;6
FI0185_600;FI1455_600;1717397100;14
FI0329_600;FI0558_600;1717393500;1
FI0613_600;FI8873_600;1717393500;1
FI1880_600;FI0325_600;1717393500;1
FI0613_600;FI0355_600;1717397100;1
FI1880_600;FI3011_600;1717393500;1
FI0185_600;FI0605_600;1717390800;1
FI1880_600;FI0356_600;1717399800;1
FI1880_600;FI0322_600;1717390800;1
FI0185_600;FI0093_600;1717390800;52
FI0185_600;7@FM1347_600;1717399800;1
FI0185_600;7@FM1252_600;1717393500;1
FI0613_600;FI1226_600;1717393500;10
FI0185_600;FI0397_600;1717399800;4
FI0329_600;FI0181_600;1717390800;1
FI1880_600;FI0561_600;1717393500;1
FI0185_600;6@IMT075_600;1717390800;1
FI0329_600;6@IMT104_600;1717390800;11
FI0613_600;IMT032_600;1717390800;7
FI1880_600;7@FM1860_600;1717393500;1
FI0017_600;FI3007_600;1717393500;2
FI0018_600;FI0778_600;1717393500;1
FI2230_600;FI8874_600;1717397100;1
FI0017_600;5@6013_600;1717390800;1
FI2230_600;FI1455_600;1717397100;3
FI0614_600;FI0701_600;1717399800;1
FI2230_600;FI0131_600;1717390800;2
FI0614_600;FI8873_600;1717390800;1
FI0614_600;FI0354_600;1717393500;5
FI0614_600;FI2259_600;1717397100;1
FI0614_600;FI0649_600;1717393500;4
FI0018_600;FI0604_600;1717393500;1
FI0017_600;FI8803_600;1717393500;6
FI2230_600;FI0403_600;1717393500;4
FI0018_600;FI0568_600;1717393500;3
FI0018_600;FI0463_600;1717393500;1
FI8874_600;FI0012_600;1717393500;6
FI0017_600;FI0487_600;1717393500;5
FI2230_600;7@FM1347_600;1717393500;3
FI2230_600;FI0531_600;1717393500;3
FI2230_600;7@FM1296_600;1717393500;8
FI0017_600;7@FM1294_600;1717390800;10
FI2230_600;FI0397_600;1717390800;1
FI0018_600;FI0225_600;1717390800;1
FI0614_600;FI0115_600;1717390800;1
FI1873_600;FI3021_600;1717390800;1
FI0614_600;FI0277_600;1717393500;2
FI0018_600;FI1816_600;1717393500;1
FI0018_600;FI0590_600;1717393500;2
FI0018_600;FI1637_600;1717399800;2
FI2230_600;FI8861_600;1717390800;1
FI2230_600;FI0298_600;1717393500;3
FI8874_600;7@FM0999_600;1717393500;2
FI0017_600;7@FM1030_600;1717393500;1
FI0614_600;FI0672_600;1717390800;4
FI1873_600;FI2130_600;1717393500;10
FI2230_600;FI0290_600;1717397100;1
FI0018_600;FI2024_600;1717399800;1
FI1873_600;FI2168_600;1717393500;1
FI2230_600;FI1183_600;1717399800;7
FI0017_600;FI1025_600;1717393500;1
FI2230_600;FI0555_600;1717393500;1
FI2230_600;FI8862_600;1717393500;3
FI0614_600;FI0263_600;1717393500;1
FI2230_600;FI0852_600;1717393500;3
FI0018_600;FI8811_600;1717393500;1
FI8874_600;FI0935_600;1717399800;1
FI8874_600;FI0168_600;1717390800;2
FI0018_600;FI0847_600;1717399800;4
FI8874_600;FI0631_600;1717393500;2
FI2230_600;FI0628_600;1717397100;1
FI0018_600;FI0166_600;1717393500;2
FI8874_600;SCD019_600;1717393500;4
FI2230_600;CBI161_600;1717390800;3
FI1873_600;SFN845_600;1717393500;1
FI8874_600;SFN151_600;1717393500;1
FI1873_600;FSL374_600;1717393500;1
FI8874_600;7@FM1714_600;1717397100;1
FI0017_600;7@FM1708_600;1717397100;1
FI0017_600;FSL748_600;1717393500;8
FI2230_600;BRP042_600;1717393500;1
FI0017_600;7@FM1319_600;1717393500;1
FI8874_600;7@FM6703_600;1717393500;1
FI8874_600;VAG827_600;1717390800;1
FI0614_600;BRP217_600;1717393500;1
FI0017_600;PO1860_600;1717390800;1
FI5141_600;FI1897_600;1717399800;3
FI5141_600;FI0614_600;1717397100;2
FI5141_600;FI0082_600;1717393500;1
FI0082_600;FI5751_600;1717390800;2
FI0082_600;FI1455_600;1717393500;4
FI3003_600;FI0131_600;1717399800;10
FI5141_600;FI0085_600;1717393500;8
FI0082_600;FI0497_600;1717390800;1
FI5141_600;FI3011_600;1717399800;1
FI0082_600;FI0589_600;1717393500;1
FI1888_600;FI1098_600;1717399800;4
FI1888_600;FI0604_600;1717393500;4
FI1888_600;FI0654_600;1717399800;4
FI2311_600;FI0656_600;1717393500;60
FI1888_600;FI0474_600;1717397100;1
FI3003_600;FI0245_600;1717397100;2
FI3003_600;FI0494_600;1717390800;1
FI0082_600;FI0097_600;1717393500;3
FI0082_600;FI0551_600;1717399800;1
FI2311_600;7@FM1347_600;1717393500;8
FI5141_600;FI0500_600;1717399800;6
FI1888_600;FI0539_600;1717393500;1
FI3003_600;7@FM1259_600;1717397100;1
FI1888_600;FI0507_600;1717390800;1
FI1888_600;FI5307_600;1717390800;1
FI3003_600;FI1266_600;1717397100;1
FI3003_600;FI0219_600;1717397100;13
FI3003_600;FI1074_600;1717393500;4
FI3003_600;FI0231_600;1717397100;1
FI0082_600;FI0397_600;1717393500;4
FI2311_600;FI0229_600;1717397100;2
FI3003_600;FI0777_600;1717397100;1
FI2311_600;FI0126_600;1717390800;2
FI2311_600;FI1596_600;1717390800;2
FI5141_600;FI1441_600;1717393500;1
FI2311_600;FI0123_600;1717393500;4
FI5141_600;7@FM1030_600;1717390800;1
FI5141_600;FI0672_600;1717397100;2
FI0082_600;7@FM0283_600;1717390800;2
FI3003_600;7@FM1000_600;1717397100;1
FI0082_600;FI1835_600;1717399800;1
FI2311_600;FI2403_600;1717393500;11
FI3003_600;FI2130_600;1717399800;1
FI5141_600;FI2023_600;1717393500;2
FI1888_600;FI0182_600;1717390800;1
FI1888_600;FI1718_600;1717397100;1
FI1888_600;FI8808_600;1717393500;1
FI2311_600;FI0802_600;1717397100;2
FI0082_600;FI8862_600;1717393500;2
FI5141_600;FI0854_600;1717393500;2
FI0082_600;FI0803_600;1717390800;23
FI1888_600;FI0805_600;1717397100;2
FI1888_600;FI7219_600;1717390800;1
FI2311_600;7@FM1290_600;1717393500;1
FI1888_600;FI0630_600;1717399800;9
FI0082_600;7@FM1908_600;1717393500;1
FI3003_600;7@FM1500_600;1717390800;1
FI3003_600;CBI064_600;1717390800;1
FI2311_600;7@FM2172_600;1717390800;1
FI2311_600;SFN112_600;1717393500;1
FI1888_600;CAL795_600;1717390800;1
FI0082_600;FSL374_600;1717390800;1
FI3003_600;7@FM2073_600;1717393500;1
FI2311_600;7@FM2107_600;1717390800;2
FI0082_600;7@FM1533_600;1717399800;1
FI1888_600;BRP012_600;1717393500;1
FI2311_600;7@FM1860_600;1717393500;1
FI7155_600;FI0014_600;1717390800;1
FI1889_600;FI8874_600;1717393500;1
FI7157_600;FI0667_600;1717393500;2
FI7140_600;FI1455_600;1717393500;2
FI0079_600;FI0453_600;1717393500;1
FI1824_600;FI3010_600;1717397100;1
FI0276_600;FI0331_600;1717393500;2
FI1889_600;FI0552_600;1717399800;5
FI7155_600;7@FM1333_600;1717393500;1
FI0522_600;FI0580_600;1717397100;42
5@6013_600;FI0574_600;1717393500;1
FI7157_600;FI0508_600;1717390800;1
FI1824_600;FI1214_600;1717393500;1
FI1889_600;FI0432_600;1717397100;1
FI1889_600;FI1074_600;1717399800;1
FI0079_600;FI0798_600;1717393500;1
FI7157_600;FI0862_600;1717393500;1
FI7155_600;FI0165_600;1717393500;1
FI7157_600;FI0301_600;1717390800;1
FI7155_600;7@FM0760_600;1717397100;2
FI0021_600;FI1642_600;1717393500;1
FI0667_600;7@FM8820_600;1717393500;1
FI1889_600;7@FM0999_600;1717393500;1
FI0276_600;FI1027_600;1717399800;1
FI7155_600;7@FM0211_600;1717393500;1
FI0021_600;FI1623_600;1717393500;2
FI7157_600;FI1902_600;1717399800;1
FI0667_600;FI2159_600;1717393500;1
FI0667_600;FI2168_600;1717393500;1
5@6013_600;7@FM1155_600;1717390800;1
FI7157_600;FI1151_600;1717390800;1
FI5751_600;7@FM1005_600;1717393500;1
FI0276_600;FI0022_600;1717393500;1
FI2400_600;FI0561_600;1717393500;2
FI1889_600;FI0856_600;1717390800;1
FI2400_600;FI0708_600;1717390800;1
FI7140_600;7@FM8822_600;1717393500;1
FI7155_600;7@FM1292_600;1717393500;1
FI5605_600;FI0632_600;1717399800;7
FI1824_600;FI0705_600;1717399800;1
FI7157_600;7@FM0894_600;1717390800;1
FI0079_600;7@FM0350_600;1717397100;1
FI1889_600;SFN113_600;1717390800;1
FI0079_600;7@FM1860_600;1717397100;1
FI1455_600;FI0054_600;1717399800;202
FI1455_600;FI0544_600;1717390800;4
FI1455_600;FI1873_600;1717390800;3
FI1455_600;FI5141_600;1717393500;3
FI1455_600;FI1889_600;1717393500;2
FI1455_600;FI0701_600;1717390800;5
FI1455_600;FI0131_600;1717393500;1
FI1455_600;FI8873_600;1717390800;3
FI1455_600;FI0323_600;1717393500;1
FI1455_600;FI0429_600;1717393500;41
FI1455_600;FI0511_600;1717390800;1
FI1455_600;FI3011_600;1717399800;5
FI1455_600;FI0348_600;1717390800;1
FI1455_600;FI8803_600;1717390800;1
FI1455_600;FI0466_600;1717393500;1
FI1455_600;FI0404_600;1717390800;4
FI1455_600;FI0566_600;1717390800;1
FI1455_600;FI0481_600;1717393500;41
FI1455_600;FI0684_600;1717390800;2
FI1455_600;FI7088_600;1717390800;2
FI1455_600;FI0385_600;1717399800;4
FI1455_600;FI1221_600;1717393500;6
FI1455_600;FI0510_600;1717393500;7
FI1455_600;7@FM1246_600;1717399800;7
FI1455_600;FI1218_600;1717393500;3
