City,s1_at,s1_at_log,s1_aw,s1_aw_log,s1_eta,s1_eta_log,s100_at,s100_at_log,s100_aw,s100_aw_log,s100_eta,s100_eta_log,s300_at,s300_at_log,s300_aw,s300_aw_log,s300_eta,s300_eta_log,s500_at,s500_at_log,s500_aw,s500_aw_log,s500_eta,s500_eta_log,s1k_at,s1k_at_log,s1k_aw,s1k_aw_log,s1k_eta,s1k_eta_log
Adelaide,470.689,2.673655748420804,1038.139,3.016673644665287,47.733,1.6878231473415282,185.683,2.271104771391268,189.647,2.2802299756537665,153.931,2.1901383240338133,13.98,1.1755118133634477,36.683,1.5761454703305553,2228.09,3.348127603569649,11.007,1.0794345106337437,13.646,1.1657190298008322,18931.148,4.277199890858923,4.182,0.714497408649806,1.012,0.3036279763838898,40155.798,4.603759075990263
Belfast,51.448,1.719728931890405,1958.207,3.2920803237989475,13.653,1.1659265496090965,95.216,1.9832472979621276,728.277,2.862892516962703,433.18,2.6376698143056703,13.829,1.1711118651804393,57.724,1.7688156299931999,5187.213,3.715017797563497,25.049,1.4157910557423417,58.073,1.7713890268991204,31246.945,4.494821461535897,17.26,1.2615007731982801,10.551,1.0626195838543415,65858.433,4.818617987444349
Berlin,304.567,2.4851064503887352,685.599,2.836703166560168,14.721,1.196480167700148,63.813,1.8116621241115671,543.789,2.7362283300215973,103.809,2.02039857732818,29.49,1.4841574243653808,44.091,1.6540898669248032,2182.024,3.3390585103359234,11.365,1.092194120697316,31.254,1.5085835816132884,15806.792,4.19887121280488,8.984,0.9993045723383488,12.546,1.1318110712703424,35957.953,4.555807038096169
Bordeaux,200.66,2.304619762853121,142.775,2.1576833762697625,19.934,1.3208522198317545,80.398,1.9106137341320193,219.957,2.3443077647270862,143.373,2.1594859809939333,34.064,1.5448614576459028,11.887,1.1101518285182714,2169.821,3.3366240141880756,18.987,1.3007476124662594,35.227,1.5590323710924758,17494.525,4.24292697918143,9.89,1.037027879755775,12.764,1.1387446639488925,32602.617,4.513265782767456
Brisbane,484.006,2.685747111284271,600.202,2.779020416671223,26.832,1.4445444157395326,66.51,1.8293681079888202,0.684,0.22634208716363075,260.47,2.4174218668864054,118.526,2.077462385855927,24.796,1.4115523682653042,2920.019,3.4655343818856754,11.428,1.094401244582937,18.59,1.2920344359947364,22737.634,4.356764371341987,12.592,1.133283365860989,9.669,1.0281237151288403,49611.875,4.695594394551959
Canberra,212.854,2.3301173778646613,202.258,2.308047647931449,10.96,1.077731179652392,21.826,1.3584298129300434,200.616,2.3045249942218136,158.313,2.2022512158382166,31.529,1.5122707124931252,42.646,1.63994444832731,1951.878,3.2906751129336502,25.446,1.4223599936000717,23.952,1.3971053617490874,14083.391,4.1487380731139485,5.353,0.8029788553352618,21.481,1.3518156256168907,32094.447,4.506443428572457
Detroit,29.14,1.479143247978613,382.456,2.5837155376370236,45.786,1.6701159164854888,44.364,1.656711341769704,91.46,1.965953889102063,249.968,2.3996183497304893,28.32,1.4671639659690903,66.735,1.8308131351407133,4099.51,3.612837875356639,1.52,0.4014005407815441,41.379,1.6271507046257008,27541.064,4.439996483133045,6.723,0.8877860348383715,76.209,1.8876679275704382,68716.197,4.837065436151183
Dublin,389.874,2.5920367831667877,81.042,1.914036238951041,19.222,1.3058241060526934,27.212,1.4504338751725643,63.474,1.809384614899159,124.818,2.0997427773688786,26.967,1.4466458824128967,49.537,1.7036094575657694,2062.67,3.3146402507859434,23.049,1.3810970223517989,3.808,0.681964458994683,14617.07,4.164890037212816,12.557,1.1321635960508643,16.624,1.2461044841427111,18339.064,4.263400846862811
Grenoble,1089.018,3.037433669716888,1705.943,3.2322190189479016,16.498,1.2429884121947947,129.588,2.11590327055908,12.883,1.142483323659504,199.013,2.3010582238878974,31.91,1.5173278822943734,60.736,1.7905384872418972,2193.872,3.3414091982389214,4.563,0.745309059940828,33.716,1.5405296796956078,16131.943,4.207713599383624,0.121,0.049605612594973154,12.185,1.120080134129453,23248.79,4.366419034548421
Helsinki,230.099,2.363798066225879,393.347,2.595878541273616,15.572,1.2193749246262562,147.911,2.1729267801084564,56.927,1.762881037265105,108.81,2.0406418915445363,10.467,1.0594498125079608,149.529,2.177620176519255,1565.91,3.195044052227446,14.328,1.1854854917344693,0.161,0.06483221973857385,12324.296,4.090797357938964,2.839,0.5842181121174049,44.312,1.6562132316736562,27173.078,4.434154817659704
Kuopio,111.197,2.0499812446129746,251.565,2.4023731666467327,4.345,0.7279477095447968,30.919,1.5040492767487137,55.033,1.7484438751637486,49.988,1.7074679771371393,13.727,1.1681142868195318,7.789,0.9439394644722164,687.33,2.837796698146687,7.247,0.9162959945631309,4.296,0.7239479764316435,5975.163,3.776422434362085,4.353,0.7285972433834316,3.186,0.6217992240026676,10583.711,4.024679004743839
Lisbon,115.485,2.066270004017423,408.435,2.612184964992728,10.157,1.047547433078635,39.117,1.6033284484720063,37.549,1.5860131164955393,55.573,1.752609209479315,30.846,1.503054890768019,72.887,1.8685680334569177,756.049,2.8791239901221473,16.208,1.235730397379406,56.108,1.7566969508463823,6342.196,3.8023081309786306,0.466,0.16613397030510912,11.802,1.1072778228597717,12319.185,4.090617229246907
Luxembourg,70.603,1.8549312186228195,550.557,2.7415904007404843,4.203,0.7162538258960366,54.137,1.7414431324826682,74.489,1.8778836723265981,51.144,1.717204343121069,8.494,0.9774492273823412,41.118,1.624467740253567,832.854,2.921090016411098,6.113,0.8520528086978506,18.105,1.2811470420244278,6373.086,3.8044179187350595,4.553,0.7445276734725665,8.794,0.9909600996821993,13136.097,4.118499406611127
