departure;arrival;starting_time;n_people
1507;1166;1481512614;1
18;4037;1481493125;1
1480;984;1481494444;1
7656;1933;1481492343;1
3643;4747;1481484678;1
2319;7384;1481481698;1
1795;7483;1481508915;1
7187;4676;1481493569;1
3434;3629;1481502204;1
4796;4902;1481492997;1
6163;127;1481513769;1
3185;6705;1481511345;1
6209;4495;1481511715;1
3177;5943;1481510280;1
6621;4060;1481490497;1
359;5503;1481516006;1
96;5347;1481505578;1
1204;5128;1481491537;1
2754;2179;1481500781;1
5280;3717;1481493666;1
5632;2646;1481498572;1
3438;4766;1481487966;1
244;6297;1481492349;1
2446;4415;1481500043;1
721;48;1481510694;1
5676;6841;1481513475;1
261;3138;1481481946;1
236;2207;1481512712;1
2838;6000;1481501637;1
3264;6581;1481504044;1
592;3817;1481514895;1
6035;5282;1481491031;1
40;3774;1481515655;1
2744;1939;1481515136;1
997;2465;1481501106;1
959;5543;1481512679;1
6341;7280;1481503680;1
5463;3686;1481494453;1
6327;3216;1481499182;1
4404;304;1481483794;1
2782;2919;1481505698;1
3506;7021;1481500947;1
4235;7589;1481509825;1
7130;704;1481485937;1
5624;7030;1481507611;1
2418;1718;1481493933;1
3618;6612;1481489198;1
4153;3392;1481488359;1
3024;4121;1481506054;1
2055;951;1481511340;1
5347;6591;1481510511;1
4883;386;1481493134;1
3177;1538;1481480182;1
7614;4652;1481485772;1
182;4448;1481494615;1
1364;2892;1481477576;1
2588;5142;1481485992;1
568;836;1481489718;1
3284;1206;1481505069;1
5452;1703;1481515601;1
4628;2140;1481491340;1
7267;317;1481515223;1
5876;6970;1481503931;1
7257;318;1481489025;1
3283;3439;1481481846;1
2119;3516;1481490708;1
2630;4633;1481506690;1
613;4024;1481515968;1
6407;7255;1481481884;1
4677;7130;1481502484;1
6151;3675;1481478978;1
6298;1882;1481489421;1
1096;5284;1481495774;1
2705;1270;1481506616;1
7186;5782;1481505460;1
7346;5888;1481497498;1
247;6761;1481490127;1
1071;4372;1481485149;1
1687;516;1481510720;1
7479;1686;1481502294;1
7401;5185;1481479648;1
7568;4851;1481477625;1
3266;7474;1481487917;1
4971;4371;1481490986;1
1094;3047;1481480315;1
1765;756;1481501483;1
