departure;arrival;starting_time;n_people
1256;2987;1461546109;20
6404;582;1461547557;66
2354;1483;1461567546;36
3500;6356;1461564255;8
6868;2977;1461548836;177
800;3015;1461568122;107
10407;2508;1461590458;193
1424;10793;1461549349;101
1866;2445;1461563200;42
670;1232;1461546037;30
1555;10829;1461578509;121
205;1786;1461564599;10
770;10480;1461546302;109
350;2013;1461552700;4
2127;2946;1461555158;78
2269;2206;1461566352;111
789;3192;1461559143;38
10696;879;1461560578;103
10868;8143;1461550762;141
1519;1799;1461570252;119
1522;818;1461583132;195
1514;1669;1461586640;183
8824;4799;1461567278;177
347;3003;1461578478;193
605;947;1461546108;26
1429;2927;1461550949;16
2192;2390;1461556974;44
2343;123;1461556784;171
10911;131;1461576064;56
2288;3027;1461579855;125
936;3100;1461555178;155
2948;1941;1461577775;137
4386;5592;1461566553;187
3051;1971;1461574416;88
4331;10492;1461580073;153
7619;2263;1461558966;54
546;349;1461580838;88
926;627;1461587749;133
169;8729;1461561210;34
2029;1687;1461551221;16
1751;439;1461552830;123
2013;1779;1461565403;58
4328;1450;1461565006;30
1334;923;1461548551;175
8945;6879;1461578773;139
1039;2588;1461584875;105
1775;6855;1461547951;78
2706;1361;1461588757;101
197;3136;1461548253;74
4665;7197;1461561131;46
1733;1460;1461587605;24
7585;548;1461545994;66
2360;2795;1461559373;175
2097;747;1461581693;64
5578;8131;1461558985;30
1839;2645;1461564153;123
1189;1302;1461546410;139
1998;10858;1461576176;183
410;2330;1461581237;105
1288;266;1461572328;189
1900;4291;1461579114;177
1402;3002;1461570506;46
3185;6564;1461576045;30
1115;8939;1461587525;74
2760;1501;1461570881;86
2084;4671;1461584856;129
3034;1950;1461549566;111
2525;10391;1461566163;129
10888;1382;1461585297;44
2326;10513;1461587751;16
2086;1590;1461582300;18
3053;2779;1461584509;34
838;1897;1461565265;133
2726;2984;1461560126;72
8773;8112;1461584819;157
8782;161;1461570022;22
1676;1140;1461558180;84
3489;826;1461565151;125
148;2657;1461574604;32
4289;3076;1461571185;177
2942;2214;1461557188;95
4657;4233;1461563479;131
1599;234;1461586422;56
3228;1609;1461583592;109
4275;788;1461564323;137
1482;2578;1461577756;147
2233;770;1461568581;32
2302;223;1461589706;195
1836;10904;1461575997;199
4657;2532;1461564234;175
2164;464;1461560234;171
1914;239;1461589686;86
8139;6842;1461587638;179
10723;2633;1461577421;143
1753;217;1461562894;161
6827;1653;1461552415;199
978;5573;1461567717;74
736;10425;1461555919;78
4670;1455;1461556218;54
7436;7600;1461587637;50
1645;2570;1461588519;90
1736;1629;1461552420;171
2620;1568;1461565927;127
3014;2111;1461550259;28
2817;790;1461552884;183
1810;2709;1461567494;48
2932;2896;1461589782;70
8908;10742;1461570720;8
6963;592;1461568265;48
1961;6302;1461557454;165
2589;8902;1461547134;30
2594;115;1461548537;2
985;2711;1461582118;46
1540;6900;1461565462;109
2402;368;1461573322;123
2139;336;1461562886;64
2095;10695;1461590560;20
8917;552;1461579802;16
10421;1774;1461561536;54
634;4686;1461588899;82
606;1513;1461590152;12
7358;455;1461557319;157
6284;230;1461557918;88
605;848;1461562933;127
8904;777;1461556654;78
3317;2461;1461552492;109
8851;260;1461549504;56
2543;2493;1461561132;18
2765;1745;1461585725;175
721;10723;1461579030;175
4313;1842;1461551402;157
3006;1968;1461582912;111
1265;7128;1461558269;103
1452;795;1461568003;189
7575;2693;1461559133;197
1832;7187;1461567035;30
2007;2715;1461550226;12
2972;7625;1461562740;137
1994;2250;1461570494;2
7566;1638;1461552122;185
10419;2928;1461547608;103
435;1594;1461563850;74
7329;2025;1461546902;90
4727;1497;1461588359;105
2177;2076;1461577976;8
10869;2718;1461556727;44
5574;2704;1461557031;99
1090;690;1461580912;70
8069;6402;1461567729;34
8137;2627;1461556951;165
