departure;arrival;starting_time;n_people
1203;3171;1481515094;8
916;1896;1481518289;10
1902;3113;1481528634;18
1248;2469;1481549926;12
1840;3099;1481547268;18
2669;984;1481520446;6
349;2867;1481530957;4
1833;2952;1481528582;12
2539;3097;1481524766;18
5191;393;1481544816;14
969;1133;1481511614;14
2167;1593;1481513271;8
1709;660;1481516284;2
5071;943;1481520842;2
2247;79;1481535818;10
2401;2983;1481525186;14
2628;2645;1481539366;12
2798;1630;1481538248;18
1129;8;1481541689;10
2453;1642;1481520970;10
2405;2091;1481514540;18
1344;1379;1481516585;2
1824;942;1481517143;2
394;361;1481517809;18
145;3226;1481520108;18
884;2150;1481543087;10
5096;3204;1481514785;10
1061;1424;1481524387;8
109;157;1481546445;14
752;3000;1481529759;8
3062;833;1481522200;4
1418;1895;1481531045;18
3204;158;1481545533;12
703;3095;1481541668;14
2001;3119;1481544191;14
594;1002;1481516129;6
93;440;1481531148;16
1508;2048;1481545135;8
1001;2408;1481539074;6
2368;5192;1481515016;16
1360;436;1481520713;16
2644;1430;1481538668;12
2048;543;1481528642;10
1179;1610;1481529413;10
2898;344;1481537239;12
1810;2607;1481521404;12
841;2789;1481536288;12
3119;2695;1481517481;4
972;80;1481511513;8
1498;1077;1481511949;4
1341;49;1481524415;6
1227;2569;1481518841;10
1072;1918;1481548103;4
1599;2067;1481538774;8
4;790;1481527428;18
467;1849;1481517125;14
924;2;1481521768;4
1630;1653;1481512430;6
1788;1336;1481545455;12
2138;1544;1481542987;8
2280;3010;1481516807;14
741;1302;1481524948;2
2193;2632;1481534670;8
5182;2967;1481520453;8
1000;1798;1481537476;8
754;293;1481548910;12
5146;2005;1481518300;14
188;1577;1481526761;6
363;2765;1481543951;10
5228;1388;1481515794;2
5100;264;1481518217;10
2541;49;1481543323;8
2904;1322;1481518486;4
2473;1726;1481510634;2
3055;1300;1481531840;10
1368;2653;1481538140;10
2668;2167;1481548133;2
1333;786;1481513680;18
1348;2170;1481542505;18
902;2885;1481518391;4
473;3240;1481537911;14
1024;1519;1481548202;8
2572;2238;1481528351;18
1814;2060;1481516713;12
5073;1522;1481534638;4
2465;3147;1481549324;12
2691;3160;1481546169;16
1369;2852;1481516488;8
2034;1511;1481547704;10
2466;594;1481548695;4
1063;1364;1481538888;6
1170;1353;1481515115;6
1328;1828;1481542055;18
1678;1862;1481519213;16
1452;2200;1481537487;10
1316;1850;1481511823;14
781;493;1481537162;16
675;5134;1481523667;14
1357;2086;1481546804;10
1274;1456;1481532658;18
3029;1283;1481519024;16
2048;1293;1481535540;16
837;2899;1481520574;14
2713;627;1481526103;8
906;742;1481528232;4
1175;1441;1481536360;16
1041;2480;1481544255;16
263;2447;1481535789;12
2480;2248;1481539554;2
627;2167;1481541979;16
3156;5185;1481515553;18
340;2013;1481538469;2
2820;473;1481510714;2
1728;1725;1481513633;6
2006;2534;1481528103;18
115;1848;1481514146;12
992;1011;1481513838;2
2063;1378;1481532374;6
1228;909;1481548568;8
2997;1213;1481534304;18
2664;5076;1481545687;18
511;1095;1481530320;2
1852;892;1481515262;8
1344;3145;1481534649;10
856;1363;1481548188;14
2636;2151;1481511430;4
2319;1271;1481515893;12
2470;1217;1481539311;4
1975;886;1481549567;10
1331;142;1481544687;12
582;190;1481543053;16
713;1951;1481520357;8
2379;5183;1481528993;16
3053;235;1481525354;10
784;820;1481527446;8
1563;3059;1481528941;10
3211;2625;1481511269;14
41;1802;1481535566;12
1727;2795;1481516906;16
392;1271;1481522082;6
2525;153;1481531703;6
2676;1968;1481531802;6
2768;2901;1481538546;12
1421;1406;1481530684;2
2924;2741;1481515481;8
461;1520;1481538080;6
2749;1948;1481542053;2
1436;346;1481534721;6
2054;555;1481531092;16
904;2601;1481528113;12
630;2192;1481544044;8
1008;1132;1481536299;14
3197;2372;1481514324;2
2682;1914;1481524010;16
5168;2901;1481511238;14
1137;375;1481542839;4
2561;1217;1481537043;2
27;1913;1481516591;14
2767;2601;1481547255;8
3188;673;1481514276;16
334;437;1481528835;16
146;2026;1481526377;4
503;2914;1481533175;4
758;2249;1481516474;6
3207;5038;1481514242;4
481;2649;1481536240;8
2988;2591;1481527167;2
2966;636;1481529506;2
2874;1579;1481535071;12
2614;897;1481510159;8
2574;839;1481544892;6
2622;385;1481544291;8
1250;2145;1481542380;12
395;418;1481522436;6
357;795;1481518041;18
2474;1274;1481532080;16
399;978;1481525884;10
1055;5206;1481541758;16
1151;1574;1481523012;4
813;2022;1481542315;16
1380;936;1481521928;4
2766;2938;1481522698;4
401;1006;1481516401;18
2555;2536;1481548103;4
963;2673;1481519729;12
1991;3133;1481546021;8
2230;1740;1481529463;8
909;1972;1481527394;8
2077;671;1481546283;12
272;2334;1481520138;2
926;124;1481543212;12
2504;3195;1481537105;16
1196;1531;1481534143;14
3004;2805;1481538567;18
127;2365;1481538371;18
2060;2784;1481539623;2
2615;5090;1481534802;10
2309;5184;1481536377;16
2252;1079;1481528640;14
918;3155;1481547748;10
2072;837;1481535059;18
2155;964;1481518807;14
