departure;arrival;starting_time;n_people
2346;9220;1481498054;32
10470;8770;1481476566;184
7072;11738;1481499678;83
5860;6558;1481484420;103
12672;7967;1481514102;71
9946;3132;1481494976;127
1384;5475;1481509572;60
2164;11689;1481514419;73
1902;11034;1481477020;155
9907;12059;1481503934;196
10192;11223;1481511311;87
687;568;1481506508;151
9651;1679;1481488662;163
1897;7687;1481481649;71
5342;153;1481505302;52
6082;1988;1481490449;145
920;8723;1481507708;18
7335;12613;1481488349;107
2727;8410;1481511165;169
7335;12159;1481489536;121
1942;11205;1481485626;52
2651;6272;1481509434;188
178;1401;1481508126;139
5701;1920;1481499240;181
10798;712;1481511741;87
365;6940;1481499042;14
11543;2999;1481494308;26
2538;7882;1481485069;22
7235;5498;1481483705;71
1143;8087;1481510532;83
6702;6650;1481479556;18
8116;2736;1481497717;99
1688;9228;1481488002;69
5305;2314;1481498120;54
1980;10026;1481493346;52
12467;5934;1481506398;107
11732;10773;1481483052;44
6483;12650;1481512790;85
11146;1225;1481479018;22
1857;8193;1481485048;165
662;553;1481493602;6
9545;7698;1481500973;184
1604;11777;1481494198;169
10731;5486;1481479903;133
41;11176;1481495793;194
12171;9784;1481505275;145
2373;2039;1481479909;155
7874;9567;1481487276;34
36;7488;1481485205;65
8056;6773;1481502520;177
10145;7107;1481499986;177
1356;1705;1481507430;188
883;12069;1481502845;190
2506;2768;1481507887;18
1245;11848;1481515053;65
12440;11167;1481515657;16
6345;7963;1481505516;192
1463;1275;1481491478;87
2553;10772;1481506624;52
7869;512;1481505019;117
10197;7859;1481496315;26
7404;21;1481515547;40
11297;5713;1481482025;14
1591;10148;1481488280;184
2612;9342;1481511469;131
5732;8152;1481501216;28
10694;2580;1481512436;105
7281;2948;1481500366;153
2678;5321;1481487107;10
3333;784;1481512534;192
2444;11585;1481489668;73
10181;8801;1481504129;26
2133;2469;1481507201;157
1077;10255;1481487304;26
10731;2678;1481485424;101
1367;8705;1481510597;125
2414;5391;1481494159;188
12019;11586;1481484483;63
9750;1823;1481501010;8
10794;1395;1481496386;95
7646;1557;1481484284;157
10787;12290;1481492223;87
5649;6241;1481494439;119
1389;5665;1481486899;173
2966;12376;1481497132;10
12360;10562;1481499492;12
2598;6627;1481494145;63
1809;8711;1481487664;34
10626;11765;1481504957;65
10978;7273;1481490627;173
8248;6749;1481486554;157
6708;561;1481511297;85
11013;12242;1481484184;157
7090;2181;1481503850;133
399;2677;1481480605;8
11817;8408;1481489664;173
9729;445;1481484740;111
531;9502;1481502341;153
6632;10574;1481499129;103
8613;12221;1481508935;8
9007;10391;1481490588;119
6238;724;1481499248;36
225;5706;1481487414;14
2052;12121;1481509560;8
11183;1353;1481508084;107
6994;11214;1481490323;46
5713;9600;1481482432;58
10503;8646;1481514461;186
12053;10323;1481514836;183
1828;11129;1481498593;99
10846;5618;1481494552;141
9941;2546;1481491388;12
7662;549;1481478488;58
2447;1085;1481483309;63
1152;12260;1481479456;48
11970;7022;1481507030;121
5856;10351;1481500983;73
12159;1420;1481497862;30
7561;2617;1481488067;60
10216;2906;1481484490;155
10834;893;1481502626;141
8340;654;1481480484;169
9889;8311;1481493106;151
11886;10984;1481501893;61
10627;11004;1481485597;143
10670;2661;1481505937;131
456;343;1481487114;123
323;11125;1481490624;192
12067;6259;1481515101;46
12435;10243;1481501989;93
5421;9996;1481513244;93
7679;1440;1481490983;139
12166;2282;1481500303;40
3053;8131;1481491298;75
5860;10849;1481481291;155
5266;11013;1481505840;99
3010;6752;1481507449;91
9350;11831;1481495250;99
1775;11834;1481487177;179
8855;331;1481483529;133
8698;5280;1481506209;188
1962;1636;1481483553;95
10725;12285;1481497107;50
9377;7068;1481511759;14
8986;2692;1481479429;192
11016;3113;1481513355;157
2381;5257;1481508230;61
11583;9804;1481492774;149
855;9522;1481481050;169
10486;8168;1481509748;83
9689;6991;1481485607;60
6904;5673;1481497290;113
548;3147;1481487543;141
6042;312;1481492392;36
5289;11098;1481479648;173
7726;11595;1481486816;183
8240;8580;1481489365;56
11537;2231;1481513363;10
11149;2106;1481479243;105
2424;134;1481505010;46
7595;1961;1481494827;46
5271;2792;1481508762;42
8616;1812;1481503212;151
49;10818;1481488775;183
463;937;1481498829;61
9493;6256;1481508145;179
11304;10324;1481490357;183
6545;2481;1481515270;60
10127;9368;1481502984;163
8217;12070;1481477405;71
11355;9920;1481487747;165
6460;11487;1481504671;103
8522;1672;1481495160;157
934;1331;1481489808;143
10374;5739;1481496859;149
2440;2485;1481513100;161
8055;1482;1481498312;22
10302;11897;1481478242;149
677;6428;1481512975;149
6770;3066;1481484523;119
8925;218;1481512157;125
2531;846;1481482308;12
1662;12436;1481482038;143
1714;5896;1481512410;10
6761;11256;1481508291;183
7431;9408;1481478388;95
6877;8982;1481500411;50
9810;10917;1481501758;22
1826;1677;1481486707;40
11448;2430;1481511641;175
1389;10211;1481480299;192
6546;11233;1481501227;20
12399;10029;1481508444;167
1565;6463;1481493027;121
6359;3045;1481499944;145
9551;11694;1481500698;133
11413;2492;1481512962;135
6317;10928;1481512387;159
2958;8066;1481496342;22
9810;11113;1481511620;165
2551;11450;1481497362;149
5370;12406;1481508140;2
10238;2885;1481482866;119
141;1287;1481479477;117
8320;5808;1481481533;12
9587;7045;1481510740;161
7342;11030;1481497666;190
42;10009;1481508002;175
141;12530;1481515649;46
10933;7383;1481511073;22
11409;10376;1481495228;169
12049;5998;1481494486;71
6413;6739;1481510668;149
6066;11353;1481488819;24
7792;12491;1481511337;22
11032;12024;1481492854;56
9996;11167;1481477843;16
1786;5892;1481481998;159
3021;1025;1481497923;6
11574;2294;1481483187;119
6561;12582;1481479174;125
10632;9728;1481513933;52
10350;11802;1481488748;119
9974;5362;1481496354;165
1989;2129;1481512094;40
5384;7182;1481487482;85
12616;10048;1481515243;32
10885;7883;1481484634;151
12265;11571;1481479523;95
6250;2077;1481502756;125
17;816;1481479049;179
2117;7335;1481515684;139
6151;10528;1481512052;28
8494;5875;1481492228;34
7737;6993;1481491569;10
9706;11083;1481496371;73
6354;10666;1481506563;48
7253;1466;1481479807;58
7046;9191;1481513609;135
5543;12298;1481508544;4
391;2960;1481488689;22
11859;6848;1481488091;34
8313;1978;1481481146;58
2307;7443;1481501339;2
12204;2900;1481481882;36
9880;10157;1481510989;188
7720;5550;1481496309;97
5509;711;1481500121;149
2150;10303;1481495639;65
12389;2083;1481486756;151
8603;5779;1481512513;177
5286;9982;1481497494;153
450;9672;1481510722;8
11911;8933;1481483078;50
8760;12047;1481514685;111
2863;8934;1481487841;145
472;11894;1481511681;32
8152;7537;1481506587;46
10971;6166;1481490691;121
11054;1954;1481504162;50
1882;3000;1481513478;155
383;10933;1481496112;87
2689;12521;1481488602;153
9964;11754;1481484317;8
5376;11334;1481505971;34
12371;9755;1481487988;131
7815;9231;1481514045;111
11275;6923;1481477394;93
11647;9733;1481476953;56
364;7263;1481490603;147
740;1539;1481483948;71
11302;5813;1481512505;184
6695;1909;1481490928;171
5889;9942;1481483872;46
7667;2169;1481493421;2
96;2784;1481507601;169
7467;11569;1481508104;56
5639;874;1481498338;12
1253;12142;1481484867;8
10909;7035;1481478854;22
3147;2934;1481514468;109
12480;8316;1481502359;42
6653;2287;1481488335;103
4092;204;1481477200;28
8870;6293;1481511112;46
1785;9607;1481478830;63
10064;2422;1481483731;155
12263;4498;1481497688;192
5498;7575;1481489492;103
1394;10402;1481501790;111
584;8607;1481480241;196
9644;2576;1481481008;149
6359;8844;1481496830;46
12670;10090;1481486979;161
7033;10871;1481495857;56
2327;10645;1481497782;36
641;9255;1481490893;38
8518;3011;1481499730;103
9265;12524;1481508622;192
8977;7362;1481500929;10
5869;11234;1481509918;157
11487;10040;1481495220;6
7956;2816;1481489474;65
7197;1661;1481492400;167
11822;7412;1481483258;196
9855;12228;1481480275;133
10033;6026;1481489869;67
10498;6565;1481500582;109
308;1961;1481506193;34
2236;9936;1481501176;123
2680;5745;1481505429;67
11045;6150;1481515795;121
11525;7177;1481491672;192
11883;12555;1481512921;40
11892;982;1481486067;119
12343;6265;1481494261;58
11361;9351;1481513272;79
6446;2400;1481493215;48
7688;6183;1481501919;61
10981;10677;1481496243;123
5937;6789;1481514126;20
10923;9353;1481497698;85
8659;11953;1481482589;77
11694;11139;1481486401;194
2967;12032;1481514350;186
1712;11245;1481484609;69
12019;6617;1481497640;121
7465;7405;1481480840;42
5835;9847;1481486449;196
8381;8191;1481492985;131
9610;465;1481496970;81
5315;11624;1481481258;30
1766;11739;1481504451;135
11926;6470;1481502720;14
2470;10909;1481492090;60
11765;691;1481507703;48
7334;2197;1481485269;139
12476;1933;1481515699;8
5857;9851;1481487366;196
1532;2393;1481512204;153
9823;394;1481497705;40
10487;6693;1481515682;131
8627;10714;1481484128;85
464;2266;1481503745;159
12636;6914;1481499763;125
7136;5556;1481514215;163
9634;12294;1481498672;56
10678;7359;1481507683;115
6544;1264;1481511593;38
255;12097;1481515229;52
1644;1530;1481495632;22
6284;8880;1481495355;135
10453;707;1481514636;175
496;7927;1481484783;103
10199;7481;1481509153;30
6046;5390;1481497516;123
1397;9428;1481496512;147
7516;1082;1481480483;24
5875;455;1481478051;95
16;2683;1481496709;50
8768;10272;1481481045;163
700;9859;1481512424;83
9928;5665;1481493831;184
7486;9499;1481481526;50
12036;1881;1481481454;186
2437;3098;1481493903;58
11396;1347;1481482591;58
5759;1633;1481487906;93
10100;3116;1481480169;89
2466;1045;1481515545;173
1977;9845;1481496720;157
5802;11925;1481491619;179
6987;11452;1481492697;85
11581;2912;1481515118;61
6638;11582;1481497815;101
1594;5881;1481492563;186
915;277;1481488475;133
8828;997;1481498670;30
1902;5595;1481508379;153
2624;1299;1481493902;111
9518;5392;1481504473;69
7406;5560;1481495514;8
7283;12335;1481490179;61
12469;2915;1481492109;159
10035;12608;1481477182;117
11142;159;1481502152;97
10757;10171;1481488017;61
5696;11572;1481508776;188
3109;9730;1481486773;196
11581;12412;1481508864;22
12023;5426;1481500625;145
8149;758;1481508018;147
11198;6913;1481495746;63
8085;7;1481509627;190
10856;541;1481515586;20
7511;779;1481514160;153
1833;6690;1481491335;89
8379;5492;1481491820;151
2993;5697;1481484356;44
1834;2231;1481480570;103
9545;7518;1481497941;119
9470;6299;1481482651;196
7744;1621;1481492654;163
12634;2399;1481487041;95
1677;7652;1481481032;173
5996;7104;1481482388;161
8672;5418;1481484594;52
5258;9614;1481485879;103
5354;6565;1481515643;145
1498;9575;1481481060;42
5655;1926;1481496274;147
1086;8820;1481477610;81
12625;1362;1481487318;113
7574;426;1481478365;147
157;3145;1481502083;143
7359;1386;1481506953;149
6927;2689;1481498887;81
11239;6166;1481502321;99
486;622;1481488116;173
5661;12556;1481507126;159
6261;8353;1481483961;167
7169;10170;1481491152;14
6544;5274;1481499223;75
886;8123;1481499493;179
2441;7922;1481495604;4
1318;9372;1481506543;169
11771;11475;1481508843;135
2449;10125;1481512311;54
5399;168;1481494010;173
10708;6893;1481493740;141
10025;10673;1481515529;28
824;5970;1481494442;99
3976;5939;1481490961;50
8510;1511;1481506521;143
1644;11506;1481484044;30
5318;626;1481515270;169
6757;1929;1481498839;171
11166;202;1481505996;54
7918;6189;1481490726;42
1285;2056;1481489603;87
191;9367;1481477481;157
6400;12264;1481492944;36
12644;1266;1481490883;141
1625;271;1481483005;133
2985;11395;1481499058;60
3037;7839;1481487300;135
10982;4515;1481489606;153
10423;8526;1481491328;60
7875;9178;1481490463;173
11117;7341;1481477516;40
1785;938;1481493584;121
5899;237;1481490526;65
10157;6534;1481494682;71
10972;6421;1481504491;14
10952;1141;1481511975;151
12677;1401;1481499123;69
941;11928;1481483938;141
807;2218;1481482811;10
1080;6769;1481505574;121
8204;521;1481482442;159
11657;1634;1481492300;67
2198;10578;1481494947;107
7566;6417;1481486904;63
10050;8653;1481507366;61
9245;10316;1481489104;135
9494;11671;1481507530;77
1953;11302;1481479875;111
12622;12358;1481492047;159
1867;5793;1481507609;171
2885;9362;1481478122;121
2193;5617;1481494084;95
11255;6072;1481510682;20
538;12453;1481512245;73
8150;7170;1481513961;139
11823;10762;1481510518;123
7133;11648;1481502776;145
7653;7096;1481511812;18
8187;11836;1481484562;149
1340;7435;1481489910;117
7925;8745;1481492810;56
2927;7666;1481485697;32
18;12167;1481476783;8
1497;8582;1481515215;8
3127;10585;1481479981;32
6846;7170;1481512764;63
2226;2339;1481487837;139
10462;10213;1481479675;107
10032;11639;1481486715;83
6938;10269;1481504276;151
6519;9448;1481481539;54
2879;12429;1481511429;196
669;924;1481509113;161
8620;10950;1481486922;91
9809;7549;1481509800;2
1073;2478;1481477416;171
10885;7440;1481512665;177
1676;624;1481506270;111
8429;5297;1481511306;105
1948;2845;1481490965;153
18;9219;1481494955;127
6407;11750;1481508614;42
1250;452;1481485504;149
5626;7007;1481486315;87
