departure;arrival;starting_time;n_people
797;2103;1483917256;154
1927;1694;1483921302;109
1490;356;1483914541;134
369;1569;1483899237;190
992;2102;1483902535;182
635;1669;1483915714;51
1474;733;1483919201;192
2115;2353;1483930968;99
1060;25;1483918461;166
596;1440;1483910614;180
1290;19;1483922792;8
1670;2019;1483903341;166
1774;1751;1483917204;107
423;2167;1483923704;47
2032;232;1483921094;51
508;829;1483929122;47
2032;1448;1483930517;176
1724;553;1483921736;156
2015;2056;1483904037;126
1901;1880;1483932500;196
1147;2319;1483903185;12
771;1511;1483912791;4
870;1947;1483910812;156
90;1899;1483915464;152
694;2377;1483902977;51
2032;1900;1483930045;192
2508;1485;1483931799;174
1353;2215;1483904800;53
956;1599;1483908830;85
2253;2507;1483926630;93
549;311;1483927419;128
631;1808;1483927625;178
2;851;1483921686;119
27917;2366;1483921811;180
2261;1600;1483917467;26
740;1082;1483930139;34
2300;2515;1483905349;63
200;2410;1483901629;95
625;929;1483900859;184
1556;1728;1483926088;186
13341;195;1483928143;176
2559;1505;1483917431;154
471;1330;1483911508;24
1233;1320;1483913860;119
2635;1077;1483904415;142
32489;1032;1483919345;69
1293;454;1483931744;125
2143;295;1483921233;178
179;1903;1483930701;178
362;710;1483900153;105
176;110;1483905031;69
1524;880;1483925281;16
1861;366;1483914888;140
2621;33117;1483911320;2
36241;585;1483924781;172
2176;1854;1483932386;101
116;862;1483907870;4
1764;1919;1483930059;34
485;12507;1483908871;12
278;1657;1483928407;59
2553;2351;1483917993;138
13337;2230;1483907246;154
97;615;1483912697;4
2471;2506;1483902955;105
49;1715;1483917277;152
1209;1554;1483912264;71
41449;1496;1483918443;28
1184;2292;1483903491;172
1729;2146;1483906231;117
2408;338;1483929971;121
22838;652;1483932517;87
776;2060;1483918704;126
2338;17774;1483917003;65
1413;1035;1483901439;156
2530;11854;1483903960;42
2605;1189;1483903023;134
2420;2496;1483932729;144
939;1872;1483914720;45
32492;10;1483932401;103
1509;2355;1483920028;79
1545;1753;1483905595;79
112;1105;1483927228;69
2341;2597;1483920537;42
2254;1267;1483909886;136
16471;168;1483906147;83
674;1264;1483909575;136
251;470;1483931243;162
3340;2084;1483931049;134
1773;1655;1483910557;126
342;32491;1483915141;69
1628;293;1483925419;138
723;2436;1483910942;10
1760;1099;1483924566;16
679;267;1483913222;30
1872;79;1483901205;146
1367;2022;1483916268;51
372;1817;1483908944;136
2069;587;1483931596;14
674;1680;1483914998;12
1727;878;1483917509;22
104;1990;1483900752;174
2288;2126;1483915631;75
331;293;1483931586;146
1642;124;1483902434;51
1093;1869;1483905833;144
1142;2340;1483913148;152
453;1710;1483899264;22
2385;778;1483927199;178
1531;377;1483922006;117
888;1513;1483908894;186
1359;2587;1483909101;194
898;2085;1483904480;85
2181;1672;1483928051;87
1952;1272;1483913675;186
2351;1622;1483909191;81
1563;2131;1483904078;63
2016;1500;1483929494;18
708;2352;1483916156;107
46;37314;1483899316;45
9030;334;1483911829;188
2108;1749;1483913168;105
161;242;1483919134;119
1828;1214;1483909255;14
1858;979;1483931328;164
32973;2374;1483928464;190
2042;1275;1483908837;49
1609;2500;1483921763;18
514;627;1483906604;136
398;628;1483899703;182
1155;748;1483921924;24
2515;2335;1483909435;134
120;454;1483904500;45
741;722;1483914274;12
385;1286;1483909321;6
29772;682;1483902726;53
372;241;1483912717;95
2509;2041;1483901908;178
2086;1070;1483909254;144
1632;2295;1483922434;73
305;2061;1483930202;63
1020;1761;1483911800;12
508;528;1483908987;67
1721;2490;1483899330;67
193;1924;1483906492;38
2178;1562;1483914601;101
1936;1853;1483914839;67
293;1923;1483920847;130
835;32;1483931926;107
38;367;1483928934;91
1161;947;1483909425;166
32488;1336;1483916467;146
1102;2127;1483902884;47
17985;1413;1483900482;134
365;2447;1483909146;192
493;236;1483903437;128
1002;2104;1483910606;148
1356;1787;1483911803;125
2252;1257;1483926725;142
341;693;1483919195;22
2616;36830;1483923670;140
614;236;1483927596;43
683;209;1483913101;180
2564;86;1483909520;188
1892;2551;1483916308;8
1714;1928;1483912470;192
426;32942;1483912943;144
680;1468;1483899336;190
898;87;1483931174;148
1361;1768;1483913273;2
242;1213;1483905324;144
2207;37311;1483915379;75
2188;34310;1483924843;83
1335;2257;1483930517;59
1680;1770;1483905566;170
1975;1954;1483932292;61
299;1946;1483922048;150
394;1826;1483917305;182
999;1480;1483924364;176
1561;2580;1483913072;30
1678;222;1483928043;8
1110;2421;1483932510;87
1857;960;1483926901;182
735;187;1483905051;134
2208;2059;1483915819;89
2393;1895;1483906132;111
468;1515;1483923197;158
2008;2258;1483910531;38
142;16477;1483914157;148
1332;1817;1483922065;156
2383;2092;1483900301;28
2105;12;1483920777;26
1744;1414;1483901060;20
2571;531;1483916688;174
750;711;1483922857;174
2516;1207;1483920399;10
2221;2200;1483913144;34
1085;1782;1483922992;154
107;902;1483904585;109
1771;55;1483902451;190
1049;2538;1483925160;91
1444;22432;1483902354;142
971;1518;1483916636;170
1210;2156;1483916991;34
154;2782;1483929545;186
1285;1549;1483911401;158
503;28426;1483923911;178
1525;241;1483928675;95
2061;288;1483903636;65
2190;27571;1483906637;126
313;1315;1483911973;158
898;1467;1483931734;194
1809;2414;1483903532;109
2419;2481;1483907029;182
382;78;1483914745;79
1537;1723;1483928131;99
41;277;1483903129;47
367;2352;1483905962;101
328;2395;1483905321;42
2207;1527;1483929705;61
21789;1356;1483917227;4
1397;1840;1483901928;123
881;2040;1483901029;2
1033;241;1483919701;28
1676;2160;1483908766;126
1258;1868;1483919671;130
2079;2286;1483914098;71
2586;1215;1483927707;89
1535;1145;1483927885;57
12507;2012;1483905191;150
1671;489;1483927045;28
10372;13088;1483929400;73
687;2231;1483915402;53
2080;1090;1483907738;45
494;2564;1483924308;81
8002;2225;1483915332;89
2093;860;1483912442;79
2151;1643;1483932708;144
1292;1766;1483926723;115
2193;2253;1483904874;172
504;16469;1483921072;49
2044;624;1483899940;73
17776;33860;1483926305;115
2005;1357;1483903326;184
2242;1365;1483921128;14
1074;1670;1483901912;61
1298;187;1483931564;47
2189;1264;1483908878;38
946;2188;1483931321;32
1329;778;1483920329;190
225;750;1483904594;45
1009;2138;1483932494;89
166;137;1483924093;138
2583;2087;1483906721;174
2497;2124;1483930207;65
1141;747;1483921888;164
2133;3341;1483904788;93
1643;2009;1483899867;55
1590;2373;1483910562;113
1846;697;1483909856;28
1385;648;1483911234;134
1903;2201;1483914569;132
2308;2402;1483921661;160
2004;2453;1483919952;93
1653;2033;1483905939;166
1153;16253;1483913341;196
1202;2078;1483932064;138
621;41448;1483931872;190
937;892;1483930200;83
1474;1872;1483922874;113
848;47;1483904093;77
1808;1912;1483919712;18
1483;1702;1483902966;182
1254;1394;1483927498;142
1015;1427;1483927844;190
1698;38892;1483927094;30
902;28426;1483900347;38
2479;1303;1483929600;150
843;2482;1483922777;22
938;1915;1483904455;81
2351;882;1483909491;65
2384;732;1483908043;140
1085;245;1483908997;142
1812;2149;1483906163;61
1134;137;1483929439;53
2123;1431;1483902902;6
1165;787;1483928936;192
2093;2197;1483925675;170
2328;629;1483923447;126
2113;9027;1483915435;121
819;229;1483923422;69
619;2307;1483912452;69
17774;4;1483911536;42
1291;1047;1483929306;156
895;2322;1483919442;83
101;1397;1483900761;174
492;29771;1483907407;194
2467;1585;1483913135;109
563;71;1483930197;45
620;36243;1483924842;156
1972;830;1483920075;95
2410;20;1483909670;75
1624;809;1483928973;65
454;739;1483911475;154
1755;29771;1483929329;188
164;2099;1483932625;178
31146;31;1483921024;194
279;13084;1483905649;134
1958;948;1483930790;8
529;957;1483932662;115
50;1544;1483918574;95
358;250;1483923624;132
702;1663;1483900007;130
1978;266;1483906502;69
6631;273;1483918943;79
2622;734;1483926373;117
2386;2177;1483922549;57
643;287;1483906327;186
2138;2448;1483926300;154
861;1338;1483915653;55
1626;1285;1483903323;38
900;1973;1483929523;180
1534;2153;1483918761;190
7998;16474;1483921053;32
288;1485;1483931698;140
758;674;1483927377;194
28927;1787;1483926265;166
2276;1846;1483915451;140
2038;117;1483924715;150
1965;33854;1483912764;119
212;973;1483908470;26
262;18180;1483909779;158
928;7206;1483927528;113
610;287;1483919922;36
1658;1409;1483928166;34
13084;849;1483905875;125
30;2277;1483906149;170
478;875;1483922929;6
1970;1722;1483923019;192
1722;1028;1483903756;30
979;1236;1483931577;77
613;2376;1483913606;32
552;691;1483922463;77
2235;1544;1483906031;42
665;1418;1483902240;10
1849;98;1483925271;152
325;1777;1483914630;144
2145;148;1483909015;67
1894;415;1483919845;45
15;32493;1483903402;4
732;313;1483903698;144
1536;1344;1483931133;51
2540;1857;1483899117;30
751;788;1483928872;10
1766;1238;1483901524;168
1724;942;1483930268;144
511;497;1483925250;65
176;2245;1483926191;109
18181;440;1483919222;105
508;773;1483914200;115
204;2260;1483931214;128
152;2253;1483931549;125
1919;919;1483923508;47
1550;292;1483901096;91
582;998;1483917539;77
1391;574;1483915421;59
765;358;1483915361;75
262;1677;1483921269;121
2071;32496;1483906976;10
2190;2063;1483909325;55
1332;32495;1483923779;75
68;1960;1483905727;63
32;352;1483913838;63
2029;150;1483923916;57
1681;120;1483900647;77
1790;697;1483902208;105
2275;1640;1483917987;140
1269;2443;1483928649;93
1620;450;1483901245;170
1934;2220;1483910809;53
521;2325;1483908676;117
2130;2255;1483913741;4
2257;1221;1483930301;115
13409;1077;1483932285;101
715;1853;1483914807;192
259;470;1483918351;63
850;205;1483916969;170
819;1080;1483918793;63
568;1914;1483905355;150
1408;2524;1483907851;172
2220;722;1483920941;77
1307;2224;1483914515;97
79;2414;1483903019;142
1633;1654;1483926357;132
148;770;1483918290;101
1536;170;1483908093;180
1550;496;1483912602;142
821;1514;1483916184;61
2033;2556;1483931518;125
1297;949;1483905016;180
1353;1462;1483919075;154
953;1891;1483904313;103
900;2440;1483930648;190
494;1558;1483922327;16
2073;1457;1483923604;176
1641;1055;1483899869;121
22;1212;1483900775;12
370;2541;1483910985;49
2253;1702;1483902217;43
2418;8001;1483926089;150
2416;2198;1483920564;115
1573;31;1483909802;192
197;661;1483929393;180
1894;2469;1483926084;26
653;242;1483917061;125
93;1432;1483903519;162
894;2429;1483901620;142
32677;2043;1483912483;186
1739;1386;1483922485;196
985;494;1483903813;144
2259;22272;1483924525;109
1142;1757;1483928212;148
2308;1620;1483902932;123
308;1499;1483926140;188
336;738;1483917632;42
781;2097;1483900509;109
1655;660;1483908700;160
1164;9073;1483903453;79
566;1115;1483915351;146
1605;1290;1483920634;8
467;2171;1483925241;49
1122;2307;1483932573;6
1217;22272;1483918570;83
916;1773;1483900477;28
180;385;1483923643;113
1485;190;1483901117;150
1263;241;1483910243;178
2385;1450;1483912209;24
1103;1856;1483900002;87
141;1747;1483923747;83
312;1641;1483908389;99
2450;1756;1483921393;154
692;2008;1483914755;99
1122;1347;1483926454;186
849;453;1483920967;164
2487;2251;1483911553;85
551;80;1483928966;18
1063;1333;1483920754;63
1799;1989;1483911704;178
1943;1746;1483925996;67
11419;28063;1483932323;138
38506;493;1483909896;95
898;2154;1483928293;111
210;2800;1483916706;115
2533;330;1483902679;154
7247;1869;1483904293;97
1581;37408;1483912778;180
2428;882;1483911713;107
1187;610;1483902671;172
1931;1637;1483912872;111
559;1062;1483932163;10
1581;1463;1483906525;156
2576;40151;1483930410;55
846;2586;1483914160;134
41793;2556;1483906322;138
1474;2377;1483928025;196
890;2063;1483909865;75
114;2262;1483916718;176
2138;2029;1483910665;73
1628;1920;1483907585;101
2124;883;1483928294;12
1418;110;1483915337;97
27915;161;1483923211;121
524;502;1483903602;22
2598;1981;1483932483;150
1515;1448;1483929817;138
33860;1099;1483916845;182
1372;126;1483925942;55
2570;2072;1483908923;158
1899;2089;1483908872;186
1717;2429;1483899386;126
2018;1069;1483916570;91
852;1199;1483900351;6
989;6632;1483910496;188
142;18181;1483930490;14
1494;1069;1483924156;148
1808;943;1483903786;140
1330;2023;1483908365;176
27917;750;1483930645;188
1556;440;1483922581;8
13399;36;1483914492;125
820;2300;1483901301;24
1115;900;1483900607;119
1909;1626;1483919974;105
2201;2507;1483919005;140
115;929;1483927011;67
1164;498;1483928425;8
884;1636;1483915650;146
33119;1390;1483911387;176
14026;366;1483930107;150
1538;747;1483903735;61
1493;269;1483926969;188
37246;322;1483909561;77
604;866;1483931544;61
1134;2445;1483925811;182
2577;328;1483914862;69
1521;1944;1483912931;53
2174;417;1483900859;172
2448;13334;1483922611;45
1182;3338;1483924143;85
2513;40154;1483899084;138
1484;690;1483916831;105
532;357;1483925541;184
373;1748;1483930675;43
773;339;1483926776;115
1059;817;1483929108;186
2359;1766;1483911081;196
598;270;1483931071;43
2168;2416;1483917980;192
870;490;1483900441;109
1729;1609;1483919744;113
1592;1961;1483911883;144
2083;1371;1483915972;4
1527;36789;1483910536;117
13340;1574;1483927002;146
2064;1906;1483931711;160
801;1605;1483924919;132
75;858;1483924973;117
47;22353;1483932367;8
1745;1862;1483916106;32
593;381;1483925905;196
1190;1018;1483913936;83
2387;535;1483902028;8
2287;2339;1483926293;196
1539;1769;1483908012;190
713;1705;1483931988;148
