departure;arrival;starting_time;n_people
1856;2151;1481546128;16
3535;3971;1481573489;4
649;2980;1481569380;2
781;467;1481571557;2
1011;89;1481573385;14
5565;914;1481556269;16
483;5525;1481549127;16
193;4063;1481554001;12
5189;2399;1481567944;4
1575;4206;1481531270;6
2948;2090;1481545592;18
1264;911;1481554757;14
5660;632;1481535622;10
4027;1515;1481532166;8
2790;1237;1481567237;6
2764;4759;1481539573;4
5559;3966;1481531806;4
206;4337;1481543823;12
3264;5093;1481572950;8
2511;2593;1481558177;18
713;1851;1481570888;12
2476;1893;1481564619;2
5108;1532;1481540942;12
863;368;1481541417;4
3070;1475;1481551329;2
2460;1592;1481566772;12
2321;2388;1481540856;18
4077;3847;1481554120;18
1114;1284;1481570703;12
4500;2079;1481562774;18
576;1117;1481531275;4
1084;4292;1481531681;18
1976;2456;1481565662;2
301;4846;1481541691;16
4904;3605;1481533411;8
4557;1421;1481567431;12
394;5253;1481560283;12
1098;5466;1481565409;4
4625;1560;1481528253;2
3490;3780;1481545607;6
5093;2834;1481565361;2
2831;2754;1481537143;12
1529;2363;1481564270;10
4613;2529;1481561188;14
1660;1369;1481569191;8
3572;613;1481555664;18
3034;2700;1481565481;10
848;3983;1481558931;6
760;4610;1481543212;18
5586;1264;1481532631;6
4953;1243;1481536669;16
1513;843;1481533379;4
5186;3679;1481568766;12
2105;1752;1481554656;12
5542;4998;1481573976;14
316;2736;1481566002;4
382;1743;1481565922;12
1259;340;1481529229;14
3968;356;1481552674;18
5440;3865;1481564986;6
1892;539;1481533098;6
5451;4832;1481533656;10
3765;3610;1481531739;10
5686;5504;1481540091;12
5576;569;1481560402;2
1206;3645;1481544888;18
1113;4843;1481550097;14
462;832;1481540853;10
5086;2099;1481561080;8
4876;1628;1481541281;2
5012;584;1481536376;12
2009;3320;1481545187;16
2687;4271;1481557244;10
4158;1336;1481546457;18
1291;4569;1481561104;16
4419;3115;1481543604;8
3994;571;1481539428;2
1289;549;1481549832;14
970;3274;1481533381;2
5460;2167;1481550425;4
1719;956;1481562928;8
2934;4116;1481534679;6
443;3435;1481531913;10
4633;4612;1481546810;2
2342;898;1481553921;4
1466;1909;1481561812;6
1395;4804;1481547065;14
1127;4290;1481538749;12
3269;1491;1481540314;2
3544;3416;1481536214;10
2669;1265;1481540364;12
1815;2624;1481547407;2
1406;1794;1481547494;14
2196;2308;1481554481;6
2575;1261;1481569887;14
3542;5279;1481550399;4
884;4514;1481530038;8
389;4165;1481568748;18
2089;2370;1481529636;18
3718;4951;1481565598;6
1845;3249;1481537756;10
5443;3914;1481535318;16
367;3224;1481559839;8
5547;2062;1481546037;14
981;2863;1481572111;10
1034;982;1481544973;2
4165;2347;1481546865;2
5240;2893;1481557713;6
4632;1330;1481534899;18
2890;2397;1481546154;8
4250;5621;1481542228;12
4635;343;1481551743;4
3623;714;1481551018;6
5498;264;1481549379;10
5401;1372;1481528776;14
2787;3096;1481568573;18
1183;4162;1481545805;18
2073;1665;1481533638;2
505;5312;1481548831;16
3124;3991;1481529318;10
3404;1160;1481541188;14
5269;1726;1481568972;14
3003;1675;1481567622;14
3541;4526;1481537693;4
2163;1067;1481559720;4
4398;3024;1481531982;2
4250;2995;1481561980;2
4822;4116;1481554772;2
3557;2950;1481571750;4
5136;620;1481547809;10
5148;5286;1481536311;12
1929;1306;1481558744;12
5366;749;1481567369;6
1984;1388;1481562870;16
120;956;1481543866;18
2090;1320;1481541249;6
564;3241;1481549782;16
4961;2977;1481530572;10
5179;529;1481557207;16
5000;5033;1481561524;6
3304;1316;1481542313;2
1525;2863;1481538374;2
1094;1134;1481569166;10
5177;1067;1481556161;4
2064;1252;1481561612;14
473;4931;1481564232;6
4823;334;1481541337;2
82;3052;1481552632;2
4261;5306;1481571773;12
5018;5189;1481570099;6
504;4643;1481539062;10
1879;380;1481544304;8
127;3497;1481548366;14
5631;1677;1481560023;12
3332;2350;1481565169;16
162;3642;1481542690;10
2639;1558;1481557409;12
1118;5117;1481536186;14
2854;1219;1481556921;10
392;3967;1481567116;6
5667;1122;1481567092;14
694;325;1481566907;14
4328;1786;1481530417;12
1377;1495;1481530906;10
1490;2474;1481536159;6
3759;453;1481554985;18
927;4985;1481546864;10
1117;1569;1481538553;18
1531;2165;1481554990;2
3218;5010;1481562559;10
4153;2880;1481544296;18
4998;3495;1481553602;4
120;3673;1481572417;4
1337;3913;1481547623;6
3128;1854;1481571223;6
4147;5445;1481559017;16
4621;370;1481561642;16
1971;4021;1481564813;6
1105;3854;1481555488;6
5508;4486;1481559113;14
1485;318;1481567083;10
1938;4970;1481564262;14
1247;1866;1481563108;18
5245;1194;1481534433;6
5300;3257;1481548518;18
1326;40;1481565109;8
1763;4405;1481571890;2
1215;4052;1481546237;10
3270;3148;1481540730;16
3625;514;1481556807;12
4670;1540;1481573355;14
3697;4208;1481529881;8
1400;4341;1481539239;10
1843;2994;1481566827;14
2579;4767;1481569811;12
1909;1504;1481556103;16
977;3506;1481540041;4
2940;638;1481540966;6
4303;3005;1481565184;4
3188;854;1481558466;4
161;1377;1481563107;2
1685;1336;1481551598;18
449;2540;1481567383;8
4554;5581;1481570804;12
4195;5561;1481571384;16
4184;1582;1481540237;10
2674;501;1481539348;18
5077;5344;1481542071;8
4034;986;1481543405;4
3143;3062;1481572998;12
4207;1404;1481562591;2
1937;1966;1481531175;18
735;4969;1481557975;18
4988;4688;1481569248;2
2872;5091;1481570780;2
3831;2771;1481539004;6
285;5500;1481559787;14
4091;3214;1481555999;12
4270;1957;1481564632;4
2382;1456;1481529742;4
2124;5324;1481569671;18
2272;3431;1481533689;10
3969;5171;1481536565;10
3247;1709;1481531630;2
2377;4389;1481534269;8
1453;821;1481573474;16
2404;2992;1481558474;4
691;4210;1481561460;2
4078;5207;1481539697;6
3117;4711;1481564274;16
4593;5570;1481543678;8
5472;4786;1481545431;6
5178;5590;1481539942;10
4918;239;1481551693;12
5061;2513;1481567809;6
3261;4376;1481572310;10
3738;1992;1481552583;10
4964;5463;1481546624;6
2607;4258;1481556026;4
3976;2094;1481568575;2
2446;4339;1481573680;18
5141;1483;1481572144;10
1014;1331;1481566539;12
5563;1671;1481543683;10
3849;2270;1481544225;2
3522;5032;1481544491;10
5345;4010;1481535980;10
1235;4056;1481540806;2
4199;1101;1481572583;4
1073;4831;1481571987;10
1986;254;1481570306;16
2482;2204;1481536984;16
3220;5054;1481529064;6
3027;2970;1481548296;6
2019;4777;1481568907;18
5157;2313;1481545109;10
2541;205;1481559979;16
1411;3577;1481572127;16
2429;1735;1481530682;16
5605;591;1481541391;4
5271;3699;1481551621;14
5333;2354;1481554548;16
2823;2091;1481565717;10
871;5074;1481545269;4
3502;5268;1481540377;18
4500;5451;1481528215;16
627;832;1481564890;8
2160;4898;1481531503;6
3971;3096;1481543987;16
4603;2872;1481543892;12
3471;4499;1481546224;18
3521;686;1481556189;10
4903;2545;1481536977;2
2722;2999;1481528376;4
1582;3432;1481562202;18
5198;4248;1481564382;10
2802;3557;1481529671;16
3026;1337;1481559500;14
3393;1036;1481555169;2
3836;2865;1481553505;10
3170;3290;1481529591;10
2575;4940;1481572854;10
1502;5268;1481538370;8
245;1738;1481535848;8
5567;2880;1481544665;12
4294;5112;1481536130;2
4257;416;1481541876;16
794;1365;1481541065;8
4002;544;1481556734;8
2710;5650;1481530503;14
4244;3324;1481558840;2
2825;4513;1481542636;6
4301;2540;1481541316;10
3591;4084;1481567135;8
2095;4522;1481536348;8
2710;832;1481530573;16
5032;3976;1481534083;6
3296;5058;1481566905;18
431;232;1481533226;8
2365;4290;1481543695;16
5088;828;1481562914;10
4026;1683;1481550759;18
1013;3847;1481531751;8
49;3810;1481549640;16
684;3513;1481539127;8
3836;2272;1481571993;16
3900;5146;1481533232;14
5575;5376;1481549339;14
1567;3609;1481551120;16
2987;3395;1481573551;12
303;3234;1481549218;16
1615;5235;1481548531;14
2401;4748;1481532580;10
1857;1408;1481557637;6
1126;4171;1481545752;16
1622;1382;1481567618;12
3703;2308;1481571109;8
4301;706;1481527858;12
954;2044;1481535970;4
4797;4508;1481564067;4
