departure;arrival;starting_time;n_people
2004;3491;1481534269;16
3715;1589;1481535301;4
4047;4283;1481546059;4
4360;707;1481542636;12
3611;3605;1481532570;18
1890;4242;1481516089;14
1386;3892;1481516641;14
3994;998;1481516132;18
3766;2449;1481547688;18
3384;2283;1481552832;14
1083;4001;1481548422;6
1203;5156;1481537089;14
1058;3373;1481537418;14
370;33;1481535970;4
3082;1046;1481553388;8
4040;407;1481524481;2
1778;2289;1481541367;8
2526;2308;1481553344;16
2470;1340;1481550730;12
2777;1886;1481520785;14
1244;2653;1481529274;16
1847;1331;1481551070;6
1870;4411;1481519041;12
1792;790;1481535833;6
3872;1141;1481532690;4
298;671;1481522871;4
2261;307;1481532617;18
4241;79;1481521976;8
1390;2269;1481546139;2
1139;1153;1481526332;10
2138;4030;1481526750;16
4254;522;1481517551;4
1140;1310;1481525682;10
2569;2843;1481531925;14
5185;2758;1481526015;10
922;700;1481529061;4
4144;380;1481534136;4
1009;4500;1481543401;2
2718;391;1481553464;6
4031;725;1481526113;16
2519;1098;1481539507;6
3896;3657;1481550446;2
656;1739;1481540411;8
928;4146;1481545269;10
2555;2519;1481517680;4
4326;4509;1481536457;8
2331;2530;1481522290;4
3736;3821;1481534211;14
1750;3376;1481537841;14
1664;1808;1481523904;8
3491;459;1481537997;6
466;3117;1481538484;2
3436;5196;1481517286;16
4250;5162;1481551932;12
1909;3332;1481523999;16
555;4326;1481537372;12
4083;1475;1481551873;16
3954;2851;1481515569;16
307;3427;1481528707;2
5116;1112;1481536543;8
1189;640;1481525177;10
2373;3455;1481550723;18
1734;4035;1481520265;18
3833;3716;1481545393;2
2095;819;1481538356;10
3398;2228;1481524526;12
63;744;1481542337;2
2631;3850;1481552751;14
4259;2909;1481519722;6
4103;643;1481553442;16
1555;2729;1481542417;12
1028;3989;1481544841;2
965;2419;1481529168;14
3707;2893;1481549673;16
4161;3447;1481548727;16
349;4365;1481517441;2
2931;2136;1481516772;18
402;3046;1481536217;4
3058;1463;1481528898;10
3696;4181;1481552492;10
3565;362;1481545179;18
2587;806;1481544850;10
4791;3677;1481518119;2
2693;4721;1481517838;12
2033;4151;1481547594;2
1831;3866;1481535934;10
2100;285;1481536041;4
2320;1569;1481531818;2
1882;631;1481535718;4
3028;3040;1481545724;14
1161;2244;1481545295;4
5167;2254;1481531155;12
4119;1884;1481522586;6
3756;3626;1481547949;8
3112;3989;1481542551;6
1094;20;1481546338;4
2031;2375;1481532289;14
101;560;1481551952;2
2551;186;1481526933;4
1159;371;1481535539;8
418;4705;1481528425;6
178;2675;1481533562;12
2866;754;1481522026;18
1725;4191;1481518667;14
725;2535;1481528154;14
4057;2896;1481516071;16
3050;3323;1481548438;12
5101;1500;1481524376;12
474;3340;1481526585;10
4345;2621;1481542263;10
81;1808;1481550969;2
2045;2689;1481543502;4
23;679;1481519843;6
1101;4351;1481515325;18
513;852;1481534004;2
2657;899;1481520068;10
1471;2234;1481518424;2
1410;2753;1481517262;4
4013;1914;1481532373;12
4178;931;1481533748;14
2270;2922;1481521897;10
1657;3802;1481521197;12
4395;2885;1481539090;12
973;2090;1481526079;16
2872;2967;1481525975;10
1089;3258;1481518530;16
3299;233;1481529116;2
4345;1023;1481519411;4
4793;2469;1481522442;4
3475;5;1481529879;16
3777;3453;1481532522;16
715;4338;1481515489;10
4726;4239;1481519359;6
3474;4036;1481521645;4
1303;760;1481522434;14
1311;3747;1481549887;14
1474;4191;1481536800;16
1647;2719;1481542178;8
852;1987;1481541571;18
3319;2152;1481528702;6
780;4031;1481553523;16
526;3710;1481545576;18
2994;5097;1481524589;12
3270;5126;1481526066;18
3959;2046;1481545048;8
2747;3601;1481549142;16
1818;4808;1481518147;16
3682;2307;1481549286;14
852;2994;1481529284;10
826;1402;1481542346;18
2183;138;1481529445;16
2324;4032;1481534954;10
2540;4300;1481523664;12
102;5199;1481544824;4
3881;3849;1481516580;14
4294;1415;1481521487;18
1048;5185;1481531757;10
1956;1371;1481548306;16
3263;1981;1481524479;12
280;3475;1481522191;14
1670;2266;1481527093;16
1348;2811;1481543770;12
1856;3490;1481516015;18
1676;3431;1481530816;10
3285;1670;1481545104;10
3665;3638;1481518524;18
355;3135;1481520777;4
3863;923;1481551933;12
2577;427;1481552276;12
2209;1162;1481546427;10
3692;2328;1481525150;16
3009;141;1481539582;4
2796;2547;1481531878;8
68;1530;1481525591;2
2841;601;1481532949;12
4155;1108;1481544072;10
4825;1114;1481542519;4
3724;2029;1481542211;6
1916;3118;1481543972;10
1515;2856;1481522455;8
27;1821;1481549594;8
