departure;arrival;starting_time;n_people
FI5126_600;FI5350_600;1717393500;44
FI5350_600;FI0612_600;1717393500;3
FI5350_600;FI0613_600;1717393500;1
FI0639_600;FI8874_600;1717393500;6
FI5126_600;FI0082_600;1717397100;1
FI2224_600;FI5605_600;1717397100;3
FI5127_600;FI1455_600;1717390800;70
FI0014_600;FI0453_600;1717393500;4
FI0639_600;FI0131_600;1717393500;6
FI2224_600;FI0423_600;1717390800;3
FI3004_600;FI0325_600;1717393500;11
FI0639_600;FI0353_600;1717399800;1
FI5126_600;FI0546_600;1717393500;1
FI2224_600;FI0543_600;1717397100;11
FI3007_600;FI2259_600;1717399800;1
FI5127_600;FI0331_600;1717397100;2
FI5127_600;FI1529_600;1717393500;7
FI1897_600;FI0649_600;1717393500;7
FI1897_600;FI0335_600;1717393500;1
FI5132_600;FI0695_600;1717393500;1
FI0014_600;FI0596_600;1717393500;4
FI0248_600;FI0426_600;1717399800;2
FI5350_600;FI0550_600;1717393500;2
FI5132_600;FI2114_600;1717393500;2
FI3007_600;FI0239_600;1717393500;2
FI3007_600;FI0012_600;1717399800;6
FI0639_600;FI0486_600;1717393500;86
FI3007_600;FI0586_600;1717397100;2
FI5132_600;FI0501_600;1717393500;1
FI0248_600;FI1198_600;1717397100;29
FI5350_600;FI1209_600;1717390800;2
FI5132_600;FI1243_600;1717393500;1
FI5126_600;7@FM1332_600;1717390800;9
FI1897_600;FI0110_600;1717393500;1
FI2224_600;FI0188_600;1717390800;2
FI0639_600;FI1431_600;1717393500;19
FI5126_600;FI1430_600;1717390800;3
FI1265_600;FI2019_600;1717390800;1
FI3007_600;FI0125_600;1717393500;1
FI5350_600;FI0117_600;1717393500;3
FI5350_600;FI0173_600;1717393500;6
FI2224_600;7@FM0999_600;1717399800;2
FI1265_600;7@FM1030_600;1717393500;5
FI0639_600;FI0672_600;1717390800;2
FI0248_600;FI1027_600;1717397100;10
FI5132_600;FI2130_600;1717393500;1
FI1897_600;FI0307_600;1717397100;10
FI1265_600;7@FM1021_600;1717393500;2
FI0014_600;FI1003_600;1717393500;2
FI3007_600;FI7201_600;1717393500;3
FI0639_600;FM9030_103;1717393500;18
FI0248_600;FI0557_600;1717397100;3
FI1265_600;FM9031_103;1717390800;3
FI5132_600;FI8815_600;1717393500;6
FI5127_600;FI0260_600;1717397100;4
FI2224_600;FI8812_600;1717397100;7
FI0639_600;7@FM8822_600;1717390800;1
FI1897_600;7@FM1292_600;1717393500;4
FI1897_600;FI0810_600;1717393500;6
FI2224_600;FI0633_600;1717390800;1
FI0014_600;FI0705_600;1717397100;3
FI0054_600;FI1626_600;1717390800;5
FI0014_600;7@FM0099_600;1717399800;2
FI1265_600;7@FM0196_600;1717393500;7
FI5127_600;SCD732_600;1717390800;1
FI0014_600;CBI113_600;1717393500;1
FI0248_600;SFN992_600;1717397100;1
FI2224_600;FSL371_600;1717390800;2
FI0248_600;7@FM2074_600;1717399800;2
FI0014_600;7@FM2108_600;1717393500;1
FI0054_600;7@FM1319_600;1717399800;1
FI1897_600;6@IMT105_600;1717390800;2
FI1897_600;7@FM1860_600;1717393500;1
FI0779_600;FI5126_600;1717393500;1
FI0612_600;FI0613_600;1717397100;6
FI5305_600;FI0614_600;1717393500;1
FI0571_600;FI1824_600;1717393500;8
FI0779_600;FI1834_600;1717393500;1
FI0641_600;FI0131_600;1717393500;7
FI5305_600;FI8873_600;1717397100;2
FI5305_600;FI0325_600;1717393500;2
FI5306_600;FI7202_600;1717393500;1
FI0641_600;FI0429_600;1717397100;2
FI0571_600;FI0513_600;1717397100;1
FI0544_600;FI0348_600;1717397100;1
FI5306_600;FI0606_600;1717393500;3
FI0641_600;FI5099_600;1717393500;1
FI5306_600;FI0692_600;1717393500;2
FI0571_600;FI0320_600;1717390800;3
FI0571_600;FI0568_600;1717390800;2
FI0778_600;FI0492_600;1717393500;2
FI5305_600;FI0369_600;1717393500;3
FI0612_600;FI1926_600;1717390800;4
FI0641_600;FI0389_600;1717390800;1
FI0779_600;FI0552_600;1717397100;31
FI5306_600;FI0528_600;1717393500;100
FI5305_600;FI0584_600;1717390800;3
FI5305_600;7@FM1256_600;1717393500;1
FI5306_600;FI0507_600;1717393500;1
FI5305_600;FI1201_600;1717393500;2
FI5305_600;FI1266_600;1717399800;1
FI0778_600;FI0399_600;1717393500;2
FI5306_600;FI0227_600;1717390800;1
FI0612_600;FI1871_600;1717393500;1
FI0640_600;FI7217_600;1717393500;12
FI0612_600;FI3016_600;1717393500;1
FI5305_600;FI0414_600;1717390800;1
FI0544_600;7@FM0283_600;1717390800;2
FI5306_600;FI0764_600;1717399800;4
FI5305_600;7@FM1021_600;1717393500;1
FI0544_600;7@FM1005_600;1717393500;1
FI0640_600;FI8870_600;1717390800;14
FI0779_600;FI0802_600;1717397100;21
FI0641_600;FI0556_600;1717397100;10
FI5306_600;FM9035_103;1717390800;1
FI0640_600;FI0169_600;1717390800;1
FI5306_600;FI1292_600;1717393500;1
FI5306_600;FI0630_600;1717393500;1
FI0571_600;7@FM0906_600;1717397100;1
FI0778_600;CBI350_600;1717399800;3
FI5306_600;FSL371_600;1717390800;1
FI0641_600;7@FM1713_600;1717390800;1
FI5305_600;7@FM1708_600;1717393500;14
FI5306_600;FSL021_600;1717390800;20
FI5306_600;7@FM2050_600;1717390800;11
FI0778_600;7@FM1511_600;1717393500;1
FI0779_600;6@IMT100_600;1717390800;6
FI0544_600;IMT032_600;1717397100;4
FI5305_600;PO1860_600;1717390800;1
FI1880_600;FI1897_600;1717390800;1
FI0185_600;FI1880_600;1717393500;1
FI0185_600;FI1873_600;1717399800;2
FI0185_600;FM9049_103;1717393500;93
FI1880_600;6@FI_001_600;1717393500;6
FI1880_600;FM9050_103;1717390800;14
FI0185_600;FI8809_600;1717393500;1
FI1880_600;FI0326_600;1717399800;1
FI0613_600;FI0323_600;1717393500;1
FI0329_600;FI0355_600;1717390800;1
FI0329_600;FI3010_600;1717393500;1
FI0185_600;FI0606_600;1717397100;1
FI0185_600;FI0404_600;1717393500;1
FI1880_600;FI0405_600;1717397100;1
FI0329_600;FI0091_600;1717393500;52
FI0185_600;FI0528_600;1717393500;1
FI1880_600;7@FM1256_600;1717390800;1
FI0613_600;FI1245_600;1717390800;10
FI0613_600;FI0078_600;1717393500;4
FI0185_600;FI0179_600;1717390800;1
FI0613_600;FI0555_600;1717397100;1
FI0329_600;6@IMT077_600;1717397100;1
FI0185_600;6@IMT104_600;1717397100;11
FI1880_600;IMT032_600;1717393500;7
FI0185_600;PO1860_600;1717393500;1
