departure;arrival;starting_time;n_people
FI1897_600;FI0054_600;1717393500;44
FI0014_600;FI0640_600;1717393500;3
FI3004_600;FI8873_600;1717393500;1
FI5350_600;FI8874_600;1717399800;6
FI0014_600;FI2311_600;1717393500;1
FI3007_600;FI1824_600;1717399800;3
FI0248_600;FM9050_103;1717397100;70
FI3007_600;FI1834_600;1717397100;4
FI5126_600;FI0020_600;1717393500;6
FI0014_600;FI0407_600;1717393500;3
FI5132_600;FI0425_600;1717399800;11
FI3007_600;FI0323_600;1717390800;1
FI3007_600;FI0641_600;1717397100;1
FI0014_600;FI0543_600;1717397100;11
FI5126_600;FI5141_600;1717393500;1
FI5127_600;FI1529_600;1717393500;2
FI0054_600;FI0333_600;1717390800;7
FI5126_600;FI0235_600;1717393500;7
FI5126_600;FI0654_600;1717393500;1
FI5350_600;FI2325_600;1717397100;1
FI0014_600;FI0596_600;1717390800;4
FI5127_600;FI0548_600;1717393500;2
FI1265_600;FI0566_600;1717393500;2
FI1265_600;FI7094_600;1717393500;2
FI3007_600;FI0239_600;1717397100;2
FI1265_600;FI0089_600;1717393500;6
FI3004_600;FI0485_600;1717393500;86
FI0014_600;FI0586_600;1717399800;2
FI3007_600;FI1222_600;1717393500;1
FI3004_600;FI1218_600;1717393500;29
FI3007_600;FI1202_600;1717393500;2
FI1265_600;FI1216_600;1717399800;1
FI0248_600;FI0078_600;1717393500;9
FI5127_600;FI0108_600;1717397100;1
FI0014_600;FI2287_600;1717393500;2
FI3004_600;FI2022_600;1717393500;19
FI3007_600;FI0865_600;1717393500;3
FI0054_600;FI0053_600;1717393500;1
FI3007_600;FM9051_103;1717393500;1
FI1265_600;FI0125_600;1717399800;1
FI0054_600;7@FM1647_600;1717390800;3
FI3007_600;FI1901_600;1717397100;6
FI3007_600;FM9055_103;1717393500;2
FI5132_600;7@FM1030_600;1717393500;5
FI1897_600;FI0677_600;1717399800;2
FI5350_600;FI0307_600;1717393500;10
FI0014_600;FI2130_600;1717393500;1
FI5350_600;FI0003_600;1717390800;10
FI5126_600;FI8851_600;1717393500;2
FI3004_600;FM9060_103;1717393500;3
FI1897_600;FI0269_600;1717393500;18
FI5126_600;FI0116_600;1717393500;3
FI5127_600;FI0556_600;1717390800;3
FI3007_600;FM9042_103;1717393500;6
FI3007_600;FI0262_600;1717393500;4
FI5350_600;FI0259_600;1717393500;7
FI3007_600;FI0704_600;1717393500;1
FI5126_600;FI1292_600;1717390800;4
FI1265_600;FI1277_600;1717390800;6
FI5126_600;FI0622_600;1717393500;1
FI5127_600;FI0151_600;1717393500;3
FI1897_600;FI0163_600;1717397100;5
FI1265_600;SCD198_600;1717390800;2
FI5126_600;SCD932_600;1717390800;7
FI1265_600;7@FM1731_600;1717393500;1
FI5132_600;7@FM7113_600;1717399800;1
FI5132_600;SFN014_600;1717393500;1
FI5126_600;FSL374_600;1717393500;2
FI3007_600;7@FM2073_600;1717393500;2
FI5132_600;7@FM2105_600;1717393500;1
FI1897_600;7@FM1302_600;1717390800;1
FI5127_600;6@IMT084_600;1717393500;2
FI0612_600;FI3004_600;1717390800;1
FI0639_600;FI8873_600;1717390800;6
FI0329_600;FI0050_600;1717390800;1
FI0612_600;FI0276_600;1717393500;8
FI0640_600;FI1834_600;1717397100;1
FI0571_600;FI0558_600;1717393500;7
FI0329_600;FI0407_600;1717393500;2
FI0639_600;FI0425_600;1717397100;2
FI0779_600;FI7203_600;1717397100;1
FI0612_600;FI0572_600;1717393500;2
FI1880_600;FI3006_600;1717399800;1
FI2224_600;FI0349_600;1717397100;1
FI0639_600;FI0235_600;1717397100;3
FI0612_600;FI5334_600;1717390800;1
FI2224_600;FI0691_600;1717390800;2
FI1880_600;FI0320_600;1717397100;3
FI0639_600;FI0550_600;1717393500;2
FI0778_600;FI0494_600;1717393500;2
FI0329_600;FI0384_600;1717393500;3
FI0612_600;FI0096_600;1717393500;4
FI0778_600;FI0011_600;1717393500;1
FI0639_600;FI8877_600;1717393500;31
FI0778_600;7@FM1347_600;1717393500;100
FI1880_600;FI0530_600;1717399800;3
FI0571_600;7@FM1253_600;1717393500;1
FI1880_600;7@FM1254_600;1717393500;1
FI0639_600;FI1202_600;1717397100;2
FI0639_600;FI1267_600;1717390800;1
FI0571_600;FI0398_600;1717393500;2
FI0639_600;FI3014_600;1717399800;1
FI1880_600;FM9051_103;1717399800;1
FI1880_600;FI1871_600;1717393500;1
FI1880_600;FI1605_600;1717390800;12
FI0571_600;7@FM3023_600;1717393500;1
FI0612_600;FI0794_600;1717393500;1
FI0640_600;7@FM0283_600;1717393500;2
FI0612_600;FI2404_600;1717390800;4
FI0778_600;FI1014_600;1717393500;1
FI0612_600;FI0116_600;1717393500;14
FI0571_600;FI0802_600;1717397100;21
FI0639_600;FI0556_600;1717393500;10
FI0612_600;FI0933_600;1717393500;1
FI0779_600;FI0129_600;1717390800;1
FI0639_600;7@FM2008_600;1717397100;1
FI0639_600;FI0622_600;1717393500;1
FI1880_600;SCD883_600;1717397100;1
FI0329_600;7@FM0350_600;1717390800;3
FI0778_600;FSL374_600;1717390800;1
FI0640_600;7@FM2027_600;1717393500;1
FI0778_600;7@FM1706_600;1717393500;14
FI0571_600;FSL731_600;1717399800;20
FI1880_600;7@FM1373_600;1717393500;11
FI0571_600;7@FM1521_600;1717390800;1
FI0639_600;6@IMT101_600;1717397100;6
FI0613_600;FI3004_600;1717390800;1
