departure;arrival;starting_time;n_people
1271;551;1479116527;132
171;81;1479111783;150
891;704;1479120312;39
1592;1086;1479095117;166
1028;622;1479115454;28
931;1370;1479093614;10
1194;416;1479116716;12
1047;945;1479121873;182
306;1081;1479120376;55
22;50;1479092589;115
807;691;1479101114;107
1103;705;1479112204;59
1539;742;1479121110;77
192;1198;1479123770;168
136;1212;1479125003;154
1140;712;1479118007;124
36;871;1479108171;43
481;1479;1479132164;120
41;1255;1479103228;109
1444;684;1479098068;158
644;325;1479097548;30
907;704;1479125287;95
1118;1274;1479121822;164
107;694;1479113475;8
739;1190;1479096538;194
352;1612;1479111192;81
764;1037;1479103839;118
1016;523;1479094298;126
719;493;1479114723;109
725;281;1479103360;39
581;911;1479111215;170
1368;845;1479115741;91
1441;267;1479096666;59
1055;1279;1479106040;99
210;275;1479112140;156
1469;968;1479096851;6
1089;845;1479109545;188
1176;1373;1479129526;140
1468;389;1479115981;14
746;1109;1479114480;109
1291;994;1479122189;107
118;1054;1479118043;142
900;867;1479128933;53
1188;905;1479113474;136
819;1398;1479112949;170
1536;530;1479124471;122
1078;1178;1479095061;142
1110;421;1479100419;136
681;668;1479117659;101
1091;498;1479127252;36
439;1082;1479122400;77
615;1119;1479113226;156
1478;1202;1479125292;51
1424;1589;1479110351;111
1308;1242;1479092989;138
42;420;1479107433;184
857;898;1479103081;65
204;450;1479097627;164
380;867;1479095320;140
1104;665;1479096869;22
155;617;1479124946;138
468;659;1479117229;12
411;578;1479129490;79
891;300;1479106661;178
752;451;1479113709;53
402;714;1479120585;188
1118;661;1479099620;146
1195;1400;1479098924;53
478;52;1479097944;154
1416;1300;1479122236;24
1278;632;1479131083;116
484;390;1479097000;138
1468;100;1479105276;12
1345;1498;1479123753;53
1;1324;1479101508;61
127;30;1479104862;83
1645;1052;1479125230;71
107;871;1479109543;109
537;597;1479106300;32
1095;578;1479119603;43
1395;121;1479126902;192
1501;742;1479115991;118
1234;1183;1479101558;186
1586;252;1479112194;34
933;1476;1479128409;109
639;305;1479111166;61
1241;785;1479110684;10
380;1456;1479126591;115
814;1174;1479094778;182
322;336;1479097905;73
424;1520;1479102037;132
559;1151;1479116983;164
205;1442;1479121825;41
1375;1099;1479131443;55
138;843;1479131632;178
708;280;1479109317;53
882;1123;1479107313;22
1169;83;1479107155;115
695;1104;1479113619;136
132;651;1479103637;154
102;505;1479111415;170
1423;919;1479096869;65
703;1593;1479101997;16
1137;170;1479103028;81
474;147;1479127970;138
218;245;1479113414;109
963;564;1479099117;176
557;608;1479116675;79
275;605;1479127143;164
1037;1484;1479094148;168
948;1480;1479128640;81
386;850;1479092548;113
814;1191;1479119550;160
548;1414;1479121385;81
933;869;1479109799;190
1056;1603;1479096987;186
1152;1176;1479123810;192
1016;879;1479097790;12
1196;532;1479129951;71
1196;67;1479124093;166
1190;682;1479127214;22
1422;953;1479120948;111
941;278;1479130782;162
904;1236;1479100054;67
28;290;1479122115;186
908;1371;1479127898;79
1200;240;1479098435;166
87;238;1479117443;77
652;799;1479097520;166
1068;62;1479107061;118
621;452;1479129795;16
534;343;1479116030;93
615;1250;1479116743;73
895;183;1479103057;162
631;397;1479118299;20
1367;114;1479124061;150
1496;67;1479121687;113
10;910;1479120087;160
1283;162;1479112359;192
1413;779;1479116542;79
973;1513;1479109655;126
370;1240;1479093970;122
677;742;1479107237;65
1358;337;1479121079;41
642;561;1479130658;24
375;148;1479129755;53
1217;51;1479108957;63
744;868;1479114313;113
684;64;1479126469;6
978;960;1479131369;95
1588;728;1479101608;128
282;575;1479101252;152
405;190;1479109747;38
343;1190;1479128497;182
1462;1605;1479129349;194
303;832;1479107324;136
293;890;1479116057;16
1311;1478;1479114019;107
1363;284;1479118804;8
1497;1437;1479125717;16
623;216;1479113295;166
255;567;1479118856;188
79;412;1479117305;97
1209;648;1479130590;61
157;421;1479103263;30
1438;97;1479130651;38
444;948;1479099751;89
793;1592;1479099638;61
1240;390;1479110588;6
624;1034;1479120388;99
253;1106;1479101720;6
1017;227;1479096513;120
1286;554;1479117330;73
884;326;1479119082;2
698;1138;1479107521;55
813;961;1479123472;14
538;655;1479093916;144
1081;682;1479118014;71
149;550;1479126598;172
811;1143;1479099236;115
503;1445;1479102723;164
1311;12;1479121194;160
65;868;1479099689;128
982;589;1479107178;38
416;639;1479096819;95
43;1181;1479129414;47
661;322;1479107115;152
746;1363;1479104251;41
1470;180;1479096545;99
835;1289;1479104344;194
262;1586;1479126125;160
998;323;1479108102;188
953;331;1479096994;45
156;1034;1479120570;130
552;984;1479094111;2
842;448;1479108328;55
795;245;1479116370;126
713;703;1479127971;97
589;1187;1479100852;178
152;161;1479099215;63
1438;185;1479118873;164
169;48;1479124620;115
1157;447;1479129629;4
155;1273;1479124327;168
784;821;1479103322;154
1292;1235;1479130766;152
587;253;1479122790;63
705;917;1479104664;97
497;1259;1479117708;176
1434;681;1479097293;49
972;1150;1479096098;172
456;135;1479093831;134
261;1144;1479094927;195
1312;1301;1479108265;12
617;1491;1479129660;45
1033;698;1479096469;118
167;1459;1479114770;156
470;1645;1479114754;14
44;677;1479097648;113
1264;1178;1479104970;128
524;440;1479113892;194
634;516;1479132206;36
608;480;1479117795;152
424;621;1479113320;130
668;1032;1479098831;39
689;1659;1479122631;71
1334;1459;1479099327;51
1096;97;1479116203;115
750;1447;1479107407;164
1120;132;1479101435;101
199;987;1479093394;22
137;798;1479117202;10
1422;1480;1479118718;79
898;959;1479117009;69
1250;216;1479102323;93
850;285;1479094637;184
686;1352;1479128409;111
515;1074;1479118856;148
100;471;1479129349;89
301;362;1479093756;71
605;1047;1479132032;105
1399;509;1479095466;14
681;424;1479096617;166
252;231;1479118104;12
