departure;arrival;starting_time;n_people
2047;4102;1481535697;18
5273;3224;1481525941;14
3586;3740;1481517649;4
740;4079;1481539980;18
5779;4171;1481527965;12
5114;5914;1481537231;10
894;658;1481528479;4
5436;6335;1481534259;8
398;5222;1481536619;16
3649;868;1481544521;18
7078;7180;1481525269;18
7372;4512;1481541934;16
3122;4890;1481540900;18
2730;4587;1481520119;14
5340;2893;1481522640;12
4999;3561;1481514214;4
6755;3935;1481539326;18
6834;213;1481531123;14
3508;905;1481510864;10
1428;7126;1481532656;2
4386;5562;1481535626;6
3656;4597;1481508336;14
705;5994;1481511398;2
5048;5259;1481532318;14
2771;4322;1481519609;14
1554;2670;1481545671;12
4029;1024;1481541891;6
7013;7418;1481521022;12
4475;1461;1481509231;8
4235;477;1481538339;6
2387;2064;1481541317;18
1633;4741;1481528110;6
6609;5979;1481535292;2
4059;3714;1481519768;14
1238;5584;1481542487;18
4920;5452;1481520265;6
554;4808;1481538458;4
784;3815;1481535340;12
2656;1744;1481528094;16
2687;4496;1481523180;18
6775;5086;1481520800;2
1871;6988;1481542323;12
1837;2974;1481535828;18
346;3837;1481528951;10
1667;4839;1481515527;4
1584;4434;1481529600;18
3657;5878;1481512876;16
4606;5346;1481544070;8
6350;5698;1481545724;10
354;6633;1481522439;18
3722;5839;1481538728;10
6251;4027;1481514483;6
3528;274;1481504656;6
421;2057;1481532319;16
1952;3935;1481537392;12
3663;3757;1481533825;8
3712;4572;1481545439;10
3990;5621;1481518435;2
6965;16;1481512715;12
85;2951;1481543422;10
1623;2733;1481507222;14
642;6256;1481509816;14
1137;4691;1481535230;8
4400;569;1481527123;12
2385;7035;1481536901;16
2094;5063;1481511589;14
4567;3487;1481536961;4
6787;1390;1481521834;18
3857;1724;1481532618;12
1037;5754;1481527969;2
6219;173;1481542823;16
4358;134;1481528861;4
4352;2168;1481526246;12
1805;6391;1481513682;4
2713;4464;1481522413;6
5132;5805;1481525363;16
5750;3245;1481518663;6
6109;2369;1481536918;10
4262;2896;1481519733;10
3286;593;1481511708;6
1220;3463;1481536429;2
169;3248;1481536300;2
458;1765;1481504372;2
1019;807;1481543951;12
770;2661;1481521586;14
3723;430;1481510124;12
2252;6349;1481544435;12
3795;3222;1481538652;14
4670;1837;1481504274;16
3259;5311;1481514016;12
1105;6202;1481546348;2
1475;4584;1481515555;8
149;2050;1481539695;2
4439;5902;1481542957;4
5077;459;1481516218;12
3676;1249;1481510672;6
6680;4511;1481528654;8
4704;3834;1481540808;10
450;5405;1481532254;2
4017;2429;1481534428;14
6086;1773;1481512973;18
5656;1470;1481537852;4
2086;2543;1481537034;18
1169;300;1481525187;4
4568;490;1481513807;6
6840;2105;1481535302;14
1674;309;1481542402;8
2587;797;1481519008;10
640;2784;1481538895;8
622;4094;1481526414;16
717;483;1481528451;10
6012;2336;1481515109;18
5977;1787;1481541785;14
1934;3833;1481517348;4
6511;2948;1481512328;16
7420;7019;1481546422;10
5234;6531;1481516972;12
3465;5457;1481509139;8
1521;3198;1481505772;4
6300;3569;1481540878;8
3340;5111;1481530546;8
2266;4578;1481542499;16
710;1448;1481540871;18
7111;7087;1481513858;14
5181;3120;1481511166;6
6627;2899;1481519648;18
2919;94;1481504733;16
506;5506;1481517832;18
4637;4490;1481506563;6
4679;586;1481511183;6
3322;4314;1481529245;4
4895;5993;1481526781;18
5992;2995;1481536675;10
6086;3681;1481509101;14
45;7152;1481546914;16
1257;4695;1481515677;16
4589;2340;1481507217;12
395;1790;1481503381;8
3467;6680;1481527097;8
4335;4605;1481519209;10
7439;2119;1481544473;10
5668;2591;1481538001;6
5926;354;1481516325;14
5010;6915;1481509175;16
4657;430;1481540923;8
2186;5879;1481537594;6
7058;2062;1481524853;14
5418;2670;1481535702;12
5622;1613;1481546802;16
2865;3059;1481519151;2
2491;302;1481547072;10
2341;1243;1481506524;6
4906;1549;1481542409;6
6977;5090;1481512452;6
5076;7091;1481544577;8
4275;4648;1481523172;6
1084;5517;1481515387;16
3153;7042;1481523422;8
2075;5020;1481526123;18
3980;3539;1481515437;4
2138;3387;1481529337;10
4792;2485;1481520553;6
6851;537;1481533337;16
514;4485;1481537489;14
7258;1858;1481521974;2
1135;742;1481517062;18
3060;2356;1481511774;6
2340;2714;1481538109;10
1446;3352;1481541614;8
728;4582;1481539178;18
4070;411;1481513979;8
5879;2668;1481504715;12
6110;752;1481503272;10
1945;1107;1481543608;14
5048;6443;1481512318;12
4115;4116;1481530571;12
3024;4042;1481525043;12
3767;1514;1481540402;8
1691;6860;1481523063;2
3788;1239;1481542046;12
3392;5403;1481531600;12
1831;7379;1481511020;18
5123;2253;1481541475;8
4241;2982;1481526406;12
656;4241;1481511608;18
5094;1208;1481544399;14
230;4232;1481541439;8
3790;877;1481512334;14
6909;3439;1481504889;16
1121;6473;1481515515;6
2973;4547;1481520910;4
6090;7097;1481527490;4
4551;2792;1481526607;8
3870;1984;1481544281;14
560;6582;1481529732;4
4871;2909;1481537227;16
4978;1532;1481523816;2
2183;7351;1481526853;18
6225;7004;1481503897;10
3067;7243;1481505011;8
5594;5904;1481536599;10
546;2809;1481506902;2
7177;1833;1481536703;6
4847;3272;1481536096;4
4075;4512;1481522203;2
2925;7240;1481537103;18
3895;5913;1481533305;2
5568;2486;1481520098;2
3005;1933;1481546028;16
6308;5000;1481535962;8
6425;5;1481530114;18
7068;4864;1481521017;6
47;2066;1481528857;18
1498;3155;1481542072;6
830;3597;1481542375;10
3782;3104;1481514266;18
6091;509;1481544411;14
5582;5139;1481511271;18
7087;5157;1481528420;6
7341;4169;1481514371;8
7016;3036;1481510625;6
6596;2995;1481531692;2
6420;5143;1481505297;14
1181;4282;1481543717;18
984;1208;1481539610;4
7343;3376;1481532586;6
3747;7395;1481507589;12
3283;5986;1481546868;8
1669;380;1481508672;8
3413;5735;1481544211;12
813;513;1481514800;8
5501;822;1481503466;14
3298;2526;1481522880;8
2658;5285;1481526092;18
2003;1283;1481515536;10
