from_stop_I;to_stop_I;dep_time_ut;arr_time_ut;route_type;trip_I;seq;route_I
108;117;1481511600;1481511660;3;238;1;3
117;115;1481511660;1481511661;3;238;2;3
115;344;1481511661;1481511720;3;238;3;3
344;75;1481511720;1481511780;3;238;4;3
75;49;1481511780;1481511840;3;238;5;3
49;51;1481511840;1481511900;3;238;6;3
51;399;1481511900;1481512500;3;238;7;3
343;353;1481512200;1481512201;3;761;1;38
343;353;1481512200;1481512260;3;1824;1;5
353;235;1481512201;1481512260;3;761;2;38
235;237;1481512260;1481512261;3;761;3;38
353;379;1481512260;1481512320;3;1824;2;5
237;395;1481512261;1481512262;3;761;4;38
395;421;1481512262;1481512320;3;761;5;38
379;360;1481512320;1481512380;3;1824;3;5
421;423;1481512320;1481512321;3;761;6;38
423;425;1481512321;1481512322;3;761;7;38
425;427;1481512322;1481512380;3;761;8;38
360;295;1481512380;1481512440;3;1824;4;5
1349;1348;1481512380;1481512440;3;828;1;29
427;430;1481512380;1481512381;3;761;9;38
430;373;1481512381;1481512382;3;761;10;38
373;371;1481512382;1481512440;3;761;11;38
371;363;1481512440;1481512441;3;761;12;38
295;293;1481512440;1481512500;3;1824;5;5
1348;445;1481512440;1481512500;3;828;2;29
363;369;1481512441;1481512500;3;761;13;38
293;291;1481512500;1481512501;3;1824;6;5
445;439;1481512500;1481512560;3;828;3;29
369;375;1481512500;1481512501;3;761;14;38
399;65;1481512500;1481512560;3;238;8;3
291;287;1481512501;1481512560;3;1824;7;5
375;440;1481512501;1481512502;3;761;15;38
440;446;1481512502;1481513100;3;761;16;38
65;52;1481512560;1481512620;3;238;9;3
287;297;1481512560;1481512620;3;1824;8;5
439;374;1481512560;1481512620;3;828;4;29
52;98;1481512620;1481512680;3;238;10;3
129;130;1481512620;1481512680;3;585;1;41
374;366;1481512620;1481512621;3;828;5;29
297;299;1481512620;1481512740;3;1824;9;5
479;481;1481512620;1481512621;3;879;1;30
481;469;1481512621;1481512680;3;879;2;30
366;364;1481512621;1481512680;3;828;6;29
130;131;1481512680;1481512681;3;585;2;41
469;467;1481512680;1481512740;3;879;3;30
364;391;1481512680;1481512681;3;828;7;29
98;1131;1481512680;1481512860;3;238;11;3
131;132;1481512681;1481512740;3;585;3;41
391;380;1481512681;1481512740;3;828;8;29
380;80;1481512740;1481512741;3;828;9;29
299;301;1481512740;1481512800;3;1824;10;5
132;133;1481512740;1481512741;3;585;4;41
467;1143;1481512740;1481512800;3;879;4;30
133;134;1481512741;1481512800;3;585;5;41
80;238;1481512741;1481512800;3;828;10;29
134;135;1481512800;1481512801;3;585;6;41
238;236;1481512800;1481512860;3;828;11;29
301;303;1481512800;1481512920;3;1824;11;5
1143;456;1481512800;1481512920;3;879;5;30
135;136;1481512801;1481512860;3;585;7;41
136;137;1481512860;1481512920;3;585;8;41
1131;455;1481512860;1481512980;3;238;12;3
236;354;1481512860;1481512920;3;828;12;29
354;356;1481512920;1481513100;3;828;13;29
137;138;1481512920;1481512921;3;585;9;41
303;305;1481512920;1481512980;3;1824;12;5
456;1132;1481512920;1481513100;3;879;6;30
138;142;1481512921;1481512980;3;585;10;41
455;466;1481512980;1481513040;3;238;13;3
142;119;1481512980;1481513040;3;585;11;41
305;307;1481512980;1481513040;3;1824;13;5
119;117;1481513040;1481513100;3;585;12;41
466;468;1481513040;1481513100;3;238;14;3
307;309;1481513040;1481513100;3;1824;14;5
1132;99;1481513100;1481513220;3;879;7;30
117;115;1481513100;1481513160;3;585;13;41
356;358;1481513100;1481513101;3;828;14;29
446;438;1481513100;1481513160;3;761;17;38
309;285;1481513100;1481513220;3;1824;15;5
358;342;1481513101;1481513160;3;828;15;29
342;1130;1481513160;1481513340;3;828;16;29
438;442;1481513160;1481513161;3;761;18;38
115;344;1481513160;1481513220;3;585;14;41
442;444;1481513161;1481513162;3;761;19;38
444;448;1481513162;1481513220;3;761;20;38
344;75;1481513220;1481513221;3;585;15;41
448;436;1481513220;1481513280;3;761;21;38
99;97;1481513220;1481513340;3;879;8;30
240;242;1481513220;1481513280;3;1508;1;38
285;313;1481513220;1481513280;3;1824;16;5
75;49;1481513221;1481513280;3;585;16;41
436;196;1481513280;1481513340;3;761;22;38
49;51;1481513280;1481513340;3;585;17;41
313;263;1481513280;1481513340;3;1824;17;5
227;230;1481513280;1481513340;3;1138;1;6
242;160;1481513280;1481513340;3;1508;2;38
1130;406;1481513340;1481513400;3;828;17;29
51;25;1481513340;1481513700;3;585;18;41
230;231;1481513340;1481513341;3;1138;2;6
263;265;1481513340;1481513400;3;1824;18;5
97;77;1481513340;1481513400;3;879;9;30
196;16;1481513340;1481513400;3;761;23;38
160;159;1481513340;1481513400;3;1508;3;38
231;233;1481513341;1481513400;3;1138;3;6
406;404;1481513400;1481513401;3;828;18;29
45;44;1481513400;1481513460;3;541;1;29
159;402;1481513400;1481513460;3;1508;4;38
234;232;1481513400;1481513460;3;363;1;7
184;183;1481513400;1481513460;3;580;1;36
1329;1331;1481513400;1481513460;3;1160;1;6
77;79;1481513400;1481513700;3;879;10;30
16;194;1481513400;1481513460;3;761;24;38
265;289;1481513400;1481513460;3;1824;19;5
113;112;1481513400;1481513401;3;1343;1;44
233;257;1481513400;1481513460;3;1138;4;6
343;353;1481513400;1481513401;3;88;1;37
353;235;1481513401;1481513460;3;88;2;37
404;418;1481513401;1481513460;3;828;19;29
112;110;1481513401;1481513460;3;1343;2;44
194;192;1481513460;1481513520;3;761;25;38
257;255;1481513460;1481513520;3;1138;5;6
418;121;1481513460;1481513580;3;828;20;29
402;1320;1481513460;1481513461;3;1508;5;38
232;229;1481513460;1481513461;3;363;2;7
235;239;1481513460;1481513461;3;88;3;37
289;210;1481513460;1481513520;3;1824;20;5
44;42;1481513460;1481513461;3;541;2;29
1331;361;1481513460;1481513461;3;1160;2;6
110;107;1481513460;1481513520;3;1343;3;44
183;182;1481513460;1481513520;3;580;2;36
229;228;1481513461;1481513520;3;363;3;7
239;81;1481513461;1481513520;3;88;4;37
1320;94;1481513461;1481513520;3;1508;6;38
42;40;1481513461;1481513520;3;541;3;29
361;390;1481513461;1481513520;3;1160;3;6
94;97;1481513520;1481513580;3;1508;7;38
210;208;1481513520;1481513580;3;1824;21;5
228;226;1481513520;1481513640;3;363;4;7
40;38;1481513520;1481513580;3;541;4;29
182;181;1481513520;1481513580;3;580;3;36
107;105;1481513520;1481513580;3;1343;4;44
192;4;1481513520;1481514000;3;761;26;38
81;381;1481513520;1481513521;3;88;5;37
255;253;1481513520;1481513521;3;1138;6;6
390;388;1481513520;1481513521;3;1160;4;6
381;392;1481513521;1481513580;3;88;6;37
388;351;1481513521;1481513580;3;1160;5;6
253;250;1481513521;1481513580;3;1138;7;6
351;349;1481513580;1481513581;3;1160;6;6
208;206;1481513580;1481513581;3;1824;22;5
181;180;1481513580;1481513581;3;580;4;36
97;77;1481513580;1481513640;3;1508;8;38
121;140;1481513580;1481513640;3;828;21;29
392;365;1481513580;1481513640;3;88;7;37
38;144;1481513580;1481513640;3;541;5;29
105;103;1481513580;1481513581;3;1343;5;44
250;249;1481513580;1481513581;3;1138;8;6
249;247;1481513581;1481513640;3;1138;9;6
206;203;1481513581;1481513640;3;1824;23;5
349;347;1481513581;1481513582;3;1160;7;6
103;101;1481513581;1481513582;3;1343;6;44
180;163;1481513581;1481513700;3;580;5;36
101;153;1481513582;1481513640;3;1343;7;44
347;340;1481513582;1481513640;3;1160;8;6
77;344;1481513640;1481513760;3;1508;9;38
