departure;arrival;starting_time;n_people
1271;112;1481510920;145
409;391;1481515294;175
1223;269;1481530249;167
414;390;1481529848;81
16;348;1481535575;169
314;60;1481529747;28
456;304;1481533123;125
208;416;1481526047;115
273;1223;1481545137;91
11;371;1481539325;197
289;375;1481543863;87
429;174;1481540829;133
20;380;1481541332;36
420;89;1481532505;133
456;152;1481513852;173
10;34;1481535951;10
763;262;1481511389;81
1131;158;1481516486;89
12;144;1481521506;81
261;411;1481516588;22
315;289;1481539767;129
815;395;1481536756;44
405;456;1481512884;78
411;415;1481529654;85
132;338;1481514583;16
28;192;1481539896;64
1336;1224;1481539652;193
402;316;1481532188;32
239;235;1481541701;50
298;249;1481531488;54
246;227;1481533760;85
246;852;1481531119;89
358;405;1481528501;76
140;302;1481534137;141
31;413;1481545346;66
319;251;1481545671;78
761;479;1481542718;151
79;349;1481522237;171
756;423;1481544879;8
89;122;1481523010;50
814;208;1481509845;36
108;853;1481518929;36
294;286;1481515848;78
12;456;1481527301;60
432;172;1481545361;14
45;765;1481534519;161
5;427;1481528320;78
458;1130;1481531340;127
405;1331;1481524693;36
5;437;1481517852;133
145;424;1481535021;26
310;437;1481522179;103
104;296;1481529210;54
283;273;1481531995;187
423;109;1481532003;64
1333;117;1481536341;173
1320;854;1481537459;193
762;358;1481520606;62
116;311;1481522268;117
222;55;1481519351;105
107;254;1481530705;139
306;312;1481544151;143
1056;846;1481512079;147
233;88;1481528645;8
1;94;1481526670;8
124;206;1481527234;60
444;111;1481516912;54
127;345;1481513042;115
407;759;1481531249;34
48;19;1481510624;161
75;250;1481537735;2
814;392;1481524406;50
248;37;1481522969;139
298;4;1481519631;62
762;340;1481512453;10
275;142;1481524943;32
479;126;1481538609;121
1271;115;1481545477;91
184;226;1481512098;107
771;265;1481513122;133
845;272;1481515988;119
51;775;1481512733;62
1334;61;1481523800;56
767;368;1481524540;26
122;297;1481529137;159
360;137;1481511473;76
434;306;1481519628;72
458;347;1481544060;115
123;254;1481516880;169
292;432;1481538713;169
10;85;1481534924;187
16;455;1481535878;133
373;86;1481525880;129
765;68;1481546253;2
72;441;1481527393;101
285;758;1481532090;151
102;209;1481531475;56
56;82;1481517844;149
6;232;1481538118;147
144;468;1481513025;2
101;16;1481535447;105
333;14;1481542858;91
91;769;1481521560;4
158;292;1481524571;12
760;100;1481542369;111
1056;111;1481513754;143
148;467;1481513043;32
385;372;1481516533;26
1329;262;1481536540;195
361;70;1481538104;129
88;138;1481515881;87
431;374;1481547543;74
261;316;1481544369;171
153;25;1481534130;30
152;1350;1481544416;8
282;442;1481547353;169
311;116;1481535942;24
380;362;1481530221;191
271;70;1481510939;60
763;427;1481516497;191
1329;53;1481535185;179
287;1223;1481525674;187
429;152;1481529227;197
304;172;1481538952;89
848;434;1481535367;64
