departure;arrival;starting_time;n_people
2576;6092;1479707823;14
3904;6712;1479731249;4
1585;937;1479707992;2
1384;7443;1479722219;8
6618;2085;1479707918;18
1551;469;1479715373;18
3298;5874;1479727400;4
5643;3307;1479699937;12
6769;2438;1479717274;6
3998;1259;1479696848;18
7547;2154;1479729595;10
3442;3301;1479716238;12
5271;3145;1479720978;12
4044;5919;1479731691;18
3744;486;1479718801;4
4226;4266;1479732272;4
2741;7141;1479705041;6
1771;341;1479725433;8
5182;2491;1479710549;16
4040;5571;1479716799;4
275;2474;1479715502;14
51;32;1479726264;6
5786;1440;1479702363;14
7885;1789;1479731990;2
83;5453;1479704647;6
2937;5320;1479714201;18
6981;2394;1479723761;18
2741;5793;1479709357;18
3011;568;1479724986;4
3478;5275;1479707929;2
896;2193;1479698962;14
7828;457;1479699407;4
1866;5246;1479739325;8
744;1087;1479732694;18
3611;4875;1479696247;10
1613;5088;1479733700;4
3371;1991;1479712436;14
5225;6825;1479732530;8
1447;128;1479708575;12
2428;2293;1479732560;2
6818;6073;1479738795;10
3304;7835;1479729372;12
6080;7051;1479710170;6
3169;731;1479703943;2
4651;3238;1479700453;2
308;2241;1479736292;10
7594;835;1479701619;2
5895;1672;1479697810;16
7158;2096;1479698222;2
6478;646;1479739126;12
6653;6438;1479719669;8
6740;1032;1479734672;14
3605;3017;1479731463;14
2633;4317;1479704449;8
1820;4730;1479707468;8
6730;2297;1479710532;8
4421;1611;1479700902;4
2908;6194;1479731828;4
3438;5639;1479724881;14
4770;3462;1479703275;8
6801;7890;1479722062;4
781;4202;1479709542;6
444;187;1479695451;12
4835;2414;1479708429;12
775;1858;1479711097;14
6434;5049;1479700692;8
3321;3702;1479706886;2
3124;7703;1479713417;12
784;6134;1479733541;18
375;4915;1479738344;10
4285;3183;1479721806;10
3624;4276;1479736125;10
1793;1766;1479697949;4
4896;3302;1479732071;4
5078;526;1479713779;18
3036;2713;1479700360;6
753;3513;1479720371;16
1949;6441;1479702553;4
6257;5182;1479738785;2
6573;5733;1479737464;10
4582;828;1479697640;12
4543;871;1479736673;6
5034;3575;1479724330;4
2855;6864;1479723464;8
749;6778;1479704229;2
2476;5450;1479729333;6
5016;1424;1479730516;16
1570;5212;1479723055;14
7039;3979;1479720795;18
4768;1427;1479729817;18
1185;6238;1479724945;4
6473;7048;1479717362;16
2244;957;1479713775;4
6275;3387;1479728026;14
172;1328;1479706131;2
1902;1435;1479700415;18
5299;3074;1479715074;6
441;7188;1479723994;10
2349;3624;1479732186;6
4539;1455;1479701094;6
6062;4615;1479702679;6
4911;1620;1479739848;12
7113;5336;1479705173;2
5705;5577;1479702494;6
3231;4862;1479715792;12
7618;1290;1479714317;14
1740;6744;1479720045;18
3283;1732;1479735718;10
2555;2427;1479735144;2
2132;4057;1479700480;18
1078;1787;1479720774;6
506;3466;1479736650;2
1307;3834;1479710562;16
7814;3797;1479739242;2
2161;4922;1479733072;2
6206;2970;1479717550;14
3969;4494;1479699263;6
7491;6803;1479698120;4
1336;3246;1479736886;12
2994;4388;1479712681;18
7339;3770;1479730068;10
6646;1004;1479733719;2
7771;5830;1479723602;10
1139;3291;1479725963;18
5850;2615;1479709566;6
7834;499;1479721605;8
1575;1264;1479722567;6
1955;3741;1479739232;14
2716;5476;1479726593;8
158;4800;1479701685;8
2292;3321;1479737994;12
6200;989;1479725775;14
5015;1185;1479726742;14
5761;4128;1479716391;8
5744;293;1479729617;6
6611;3518;1479714227;6
4577;1041;1479731962;12
6289;6594;1479739098;18
793;6569;1479719049;6
1878;5894;1479698014;10
1442;2021;1479721073;4
2349;5593;1479722261;14
2635;6082;1479710193;10
2890;1013;1479698034;14
3320;2471;1479728578;16
4493;3059;1479715659;8
6074;2739;1479732809;12
4257;791;1479730434;2
7681;5390;1479708027;8
7039;3640;1479726575;16
7379;6409;1479699304;18
1779;1860;1479715745;6
2499;2222;1479736285;14
852;3352;1479732212;14
4160;4958;1479733693;2
4269;1486;1479717471;16
330;2329;1479717454;6
6531;3335;1479702651;14
536;3503;1479717861;14
7063;7682;1479715208;2
1405;4780;1479706049;14
811;1234;1479715649;8
379;921;1479736241;6
6861;339;1479727178;8
1946;7081;1479722382;14
1846;1755;1479716531;6
5065;827;1479737269;10
6592;6818;1479724759;2
4187;552;1479717968;14
6299;3009;1479716192;16
2536;2944;1479737755;2
3157;4801;1479717160;4
7188;6911;1479737655;8
2415;3935;1479707719;4
2775;7698;1479711958;18
2927;2818;1479726926;14
5403;2213;1479737300;2
2224;2323;1479701848;10
7901;3130;1479718410;2
4458;3835;1479736607;14
5248;4108;1479696425;10
7851;5368;1479719159;10
890;5503;1479733715;18
4209;983;1479735894;12
7139;7823;1479726234;2
14;6784;1479723916;4
7012;3679;1479724432;10
1250;5358;1479723597;6
2098;285;1479725343;8
2474;1287;1479699573;2
6823;6847;1479701907;4
538;3937;1479736100;14
6701;4025;1479731227;8
3577;895;1479734500;8
207;1401;1479728169;8
2824;7473;1479702381;12
637;2049;1479704056;6
811;503;1479715848;6
103;352;1479707233;4
4689;746;1479715422;4
2176;6895;1479710378;14
2614;5858;1479712037;12
4178;6628;1479711574;16
1237;3752;1479710470;12
1194;668;1479708629;6
749;129;1479714072;6
958;3122;1479723233;18
3695;2436;1479715829;12
3387;1808;1479725813;2
7139;703;1479699715;14
3284;6581;1479705760;8
2352;3038;1479696630;4
892;746;1479701644;10
4024;142;1479701401;8
7552;2442;1479736112;2
3605;6581;1479720331;4
5200;2207;1479696717;10
1631;4426;1479699167;8
461;5176;1479713969;18
3251;7809;1479733419;8
4267;461;1479715616;12
4080;6627;1479722780;18
1186;5326;1479716122;14
1983;1861;1479735416;10
4246;3964;1479718074;14
4234;88;1479715353;12
1773;7853;1479710777;12
3459;6386;1479699980;18
3325;2447;1479722072;18
7849;6198;1479698393;2
3621;477;1479737416;6
6615;3;1479696733;8
123;4794;1479700980;14
1327;474;1479713595;18
5796;3736;1479702134;12
942;3080;1479695858;18
3909;4318;1479715969;6
1800;3777;1479707575;14
7358;3554;1479722045;18
2075;4552;1479722301;8
343;387;1479709981;2
3603;1940;1479730797;12
6948;1964;1479696989;14
3657;6192;1479715028;6
3553;1176;1479739900;12
7116;5091;1479720115;14
