departure;arrival;starting_time;n_people
1743;781;1480338686;12
1393;942;1480327087;14
1181;890;1480335542;4
215;1125;1480338289;6
1420;1010;1480320129;8
48;1208;1480338279;6
2308;2088;1480333083;4
982;1313;1480334454;8
1903;124;1480336520;4
1147;364;1480302086;8
94;4;1480332997;8
239;2209;1480333776;14
1754;2294;1480334451;8
1843;1222;1480333701;4
1591;1659;1480335181;6
893;1944;1480328429;6
1145;2332;1480310717;8
1173;2259;1480325657;4
460;1551;1480309708;6
2478;1127;1480336259;8
806;254;1480321306;2
1842;241;1480318372;8
361;238;1480316299;18
1940;1811;1480326989;6
1444;1939;1480306022;10
342;699;1480335909;10
717;2383;1480310390;10
2265;2110;1480308396;8
694;2060;1480337195;18
750;1755;1480304494;10
1430;2493;1480308987;14
576;1215;1480320660;4
1326;1767;1480324572;12
1255;1857;1480322382;12
208;1359;1480314710;4
1516;924;1480319381;10
1242;402;1480336884;14
436;103;1480315631;4
2299;1799;1480319288;10
258;2439;1480334236;12
2034;257;1480334278;6
2309;1212;1480314977;16
564;784;1480330900;14
1322;2282;1480320195;8
631;837;1480320579;4
2357;596;1480307270;14
673;1903;1480338392;16
2001;19;1480322349;2
264;1718;1480335177;16
203;1136;1480308694;14
1788;2374;1480320847;6
830;1797;1480316395;2
342;1235;1480322808;18
2487;804;1480317757;2
307;1829;1480318225;4
960;1461;1480333072;4
785;1640;1480303553;2
788;816;1480324901;10
2299;1682;1480304799;6
67;2186;1480334433;2
560;2299;1480316902;6
185;1414;1480334674;8
83;1503;1480337303;8
1806;716;1480316826;6
385;1235;1480335739;16
204;1178;1480338535;18
1997;1343;1480304134;16
1162;119;1480317781;16
1752;589;1480322684;4
118;1783;1480304628;14
1135;2372;1480333966;4
1419;109;1480320308;18
2179;2448;1480324249;2
2270;1967;1480328224;8
1490;1818;1480330459;6
2383;673;1480338530;18
311;1646;1480304637;4
1137;265;1480336276;10
2295;1659;1480303110;6
225;1720;1480306738;8
578;122;1480312750;14
1783;1769;1480319926;2
34;1284;1480314228;16
1933;246;1480323502;16
1949;494;1480307673;12
804;720;1480336995;6
444;1243;1480313972;8
2471;1245;1480307441;16
277;813;1480316198;2
2006;2269;1480320172;8
1233;1404;1480306468;2
120;1496;1480325942;8
2196;207;1480336464;16
268;254;1480320893;2
674;800;1480335296;12
586;1712;1480303040;2
2364;1712;1480317677;6
1265;33;1480329024;12
2198;2213;1480311512;10
1012;2147;1480315073;6
23;1121;1480315111;16
1943;685;1480338757;14
63;2087;1480318823;16
1498;1793;1480330979;8
1640;2231;1480326519;16
1675;1504;1480333921;18
1328;477;1480328665;2
2298;349;1480308714;2
1219;893;1480305128;8
2266;1772;1480329100;12
1354;2012;1480330211;18
338;1891;1480330498;14
586;1410;1480311976;6
478;251;1480320731;14
1887;46;1480328288;10
214;676;1480338644;2
1136;1368;1480302159;2
1757;695;1480327165;10
2055;2186;1480302621;12
1899;1978;1480306052;16
2475;763;1480305898;6
721;264;1480315003;18
791;1028;1480325709;18
1560;931;1480317060;10
57;1942;1480323310;8
1990;1603;1480306661;18
2266;1229;1480306459;16
199;1768;1480333789;12
2472;1596;1480331571;6
787;1910;1480325879;4
604;929;1480315079;2
631;1354;1480302328;10
76;724;1480335428;8
1757;325;1480326731;12
1811;1813;1480325286;12
892;1472;1480309929;12
2148;78;1480330470;12
1885;1105;1480313951;14
119;1112;1480318560;18
2179;1714;1480313735;10
2466;1790;1480314196;10
2181;1147;1480325843;6
1354;1398;1480336852;2
1166;2249;1480314092;10
2358;572;1480327686;18
1220;1895;1480335419;8
1261;157;1480302200;2
1839;1163;1480337422;8
1112;1504;1480305223;10
2036;1121;1480306134;12
603;2354;1480309255;16
316;438;1480335578;16
1340;1153;1480324134;12
450;21;1480328862;16
2502;1342;1480310257;2
1403;2021;1480309868;6
2320;168;1480334726;6
363;459;1480328670;18
250;1628;1480331584;12
209;756;1480303906;10
682;68;1480310931;8
811;2347;1480327131;2
1615;2297;1480304006;14
1471;1459;1480337714;4
331;812;1480323212;10
1619;2283;1480314197;8
84;1512;1480312469;6
425;1554;1480306808;10
2062;210;1480330475;4
803;545;1480325105;10
705;1339;1480336735;6
