departure;arrival;starting_time;n_people
19865;8984;1481471854;4
18542;526;1481502974;18
17511;5794;1481478132;8
9060;16022;1481496207;16
1930;11723;1481500798;2
12157;20144;1481471410;14
19553;8900;1481506783;6
18472;15292;1481485216;6
6865;6321;1481507228;18
13389;5895;1481473036;4
6386;1801;1481492873;12
4212;2144;1481507637;8
15838;7907;1481484075;14
17151;2140;1481509792;6
19830;14704;1481512055;12
10981;309;1481480011;2
18374;6598;1481496650;4
493;12388;1481508389;10
17140;5507;1481483918;6
12323;3159;1481503165;8
12294;5891;1481488617;16
599;7973;1481505023;18
11953;6652;1481480464;14
9790;4739;1481473865;4
16915;11909;1481503006;14
9666;5999;1481494332;2
2946;16316;1481502185;12
14355;12591;1481483135;2
33;17525;1481500657;12
14888;1470;1481509981;18
8882;18368;1481504407;2
2726;3944;1481502099;8
6214;13795;1481487659;4
6963;11483;1481479355;12
10049;9146;1481475665;8
4069;20063;1481495943;6
10070;5951;1481480648;14
15838;14755;1481476460;16
18255;16796;1481499852;6
13134;20860;1481473396;18
11035;19609;1481498251;16
17992;2432;1481509316;10
20275;9647;1481473825;10
18062;20837;1481501601;16
7449;4283;1481513896;2
11376;10093;1481504159;8
13811;21738;1481499478;14
5821;3624;1481480354;12
13742;9057;1481471348;6
19745;20096;1481503524;18
11899;3517;1481507976;12
16387;10225;1481502624;10
2450;3706;1481488567;16
6754;14236;1481481396;12
17613;13955;1481501127;14
612;8940;1481479404;12
8670;2693;1481472433;6
16420;15386;1481475170;18
479;11082;1481474815;12
10493;20976;1481474828;10
4848;21273;1481494736;14
19816;12775;1481510045;14
3040;8811;1481512739;16
15982;6022;1481472060;18
14197;18098;1481495029;18
7242;4899;1481507302;8
5953;20657;1481498815;18
8572;14509;1481484809;18
14744;18355;1481482875;6
12806;3511;1481480591;12
2042;9949;1481478608;4
17708;13119;1481495872;10
9105;8994;1481491171;16
20715;3399;1481482169;16
9004;1047;1481503555;12
20583;13950;1481514174;8
19933;5244;1481481601;8
12278;7846;1481473617;10
18450;10516;1481513642;18
6206;13009;1481511143;16
15695;14511;1481499620;10
19498;1266;1481489508;18
8571;14599;1481501338;4
20703;11617;1481514190;16
9160;8962;1481510382;12
21172;3346;1481496140;12
9017;7241;1481504884;6
15604;614;1481501359;2
3486;4954;1481471391;6
17340;8783;1481512218;14
14585;20377;1481511767;2
12077;15372;1481497245;12
1973;5140;1481509833;8
20050;14229;1481498248;2
20181;1775;1481495992;2
711;17792;1481510576;10
12821;6434;1481487474;4
9578;5662;1481472080;6
5399;4180;1481484968;14
12155;19707;1481486438;18
14196;4403;1481487263;4
5447;18303;1481511174;12
3506;9364;1481507640;12
5618;12684;1481489642;6
1052;8828;1481487299;14
1300;11778;1481509117;2
11603;11875;1481509883;18
173;2723;1481491060;8
13916;7931;1481480279;14
5248;4822;1481500773;6
19596;5551;1481474930;14
4101;5390;1481475254;2
16722;14524;1481475871;10
21222;16806;1481500648;4
17420;9804;1481513651;16
6988;3230;1481493258;18
15780;13892;1481512263;2
9574;11719;1481494718;4
17328;4432;1481489740;12
17144;806;1481482126;6
21226;1168;1481478802;2
22569;17129;1481487087;16
5284;7711;1481472265;18
13757;15524;1481482729;18
21080;4711;1481513709;4
11903;16966;1481476169;2
8028;20258;1481474896;12
356;15281;1481485350;16
2620;4433;1481501265;10
1867;14894;1481503569;18
3010;20296;1481505991;12
1071;5363;1481493990;8
18380;13099;1481507685;10
9365;15499;1481482277;14
14042;2059;1481481289;16
16909;11267;1481491006;18
11096;13085;1481478576;12
7859;6884;1481489547;4
1667;14353;1481506569;2
17756;1024;1481497703;4
