departure;arrival;starting_time;n_people
51;1324;1411365757;1
1313;1488;1411384391;1
1334;1176;1411370835;1
888;1678;1411349635;1
1612;1542;1411374990;1
4;754;1411350907;1
345;1279;1411382864;1
1373;1041;1411361696;1
766;1312;1411350932;1
335;1067;1411356973;1
971;2092;1411381245;1
825;663;1411372759;1
685;1394;1411382038;1
165;2167;1411377223;1
1886;1879;1411377574;1
696;715;1411378698;1
282;1929;1411356914;1
1534;90;1411386869;1
1907;2027;1411350512;1
522;968;1411352209;1
1492;1452;1411368003;1
1221;1111;1411352737;1
1390;1788;1411365865;1
282;378;1411379839;1
1219;407;1411363016;1
1421;2139;1411370774;1
2162;746;1411387094;1
2126;748;1411366765;1
158;977;1411366699;1
1501;783;1411368294;1
269;2118;1411375527;1
1922;1888;1411368616;1
395;1509;1411387516;1
91;462;1411369542;1
211;546;1411349278;1
1856;340;1411382262;1
601;888;1411352604;1
1109;1526;1411350424;1
1782;353;1411357202;1
1628;7;1411373609;1
1832;365;1411366681;1
1354;2078;1411356208;1
760;1403;1411372231;1
1175;1037;1411351959;1
756;386;1411378961;1
1535;316;1411353369;1
1988;1479;1411358745;1
2137;690;1411359020;1
960;462;1411377431;1
527;1946;1411366365;1
305;1782;1411371405;1
193;256;1411377641;1
2152;1100;1411377370;1
1531;1642;1411356054;1
434;300;1411352722;1
982;491;1411368504;1
306;1202;1411377419;1
2142;529;1411354586;1
871;1283;1411379170;1
1828;1156;1411358942;1
109;898;1411387170;1
878;515;1411374616;1
93;373;1411365953;1
867;1599;1411349289;1
40;2139;1411379749;1
1384;1346;1411384572;1
888;859;1411371657;1
2136;1153;1411382691;1
576;568;1411356437;1
847;143;1411358792;1
1745;1955;1411379894;1
946;30;1411374453;1
414;1885;1411376400;1
131;656;1411382701;1
1836;556;1411367594;1
1127;659;1411377766;1
615;400;1411373344;1
203;441;1411387461;1
667;2087;1411354679;1
1194;1871;1411368710;1
1720;1845;1411380290;1
1841;87;1411355806;1
290;1590;1411365380;1
2079;423;1411379149;1
1201;265;1411362143;1
1311;614;1411367799;1
885;616;1411383956;1
536;177;1411353393;1
1156;1547;1411383519;1
2029;1919;1411373273;1
398;306;1411376818;1
1022;1408;1411377469;1
2110;785;1411383826;1
823;1589;1411377107;1
783;507;1411379447;1
1610;1228;1411368594;1
804;255;1411387047;1
697;1799;1411353993;1
2103;465;1411349373;1
941;359;1411349891;1
1470;1505;1411373435;1
674;540;1411361263;1
250;2133;1411365421;1
1166;765;1411386667;1
344;826;1411363712;1
818;1646;1411355868;1
1998;1829;1411361745;1
906;776;1411377798;1
1356;592;1411382617;1
1742;2022;1411360766;1
257;116;1411373860;1
1586;2151;1411371666;1
804;1829;1411385897;1
2016;2029;1411364451;1
1128;536;1411381368;1
1635;1100;1411384617;1
829;915;1411354367;1
1789;1753;1411377932;1
764;21;1411386201;1
1993;2029;1411387850;1
379;575;1411382360;1
347;781;1411374076;1
1432;1171;1411374054;1
630;1532;1411387558;1
680;958;1411368144;1
619;1285;1411358143;1
1849;601;1411354578;1
1973;1127;1411358713;1
2044;1704;1411381315;1
1576;711;1411358016;1
1031;1394;1411387479;1
1514;1255;1411370251;1
1930;925;1411386447;1
409;1194;1411381088;1
1870;285;1411386364;1
1853;464;1411386595;1
1528;321;1411372089;1
1993;211;1411371937;1
1576;1192;1411354846;1
954;29;1411366795;1
1052;2143;1411376511;1
1738;1218;1411387866;1
536;54;1411374519;1
1125;840;1411385360;1
297;736;1411356169;1
1752;537;1411371749;1
89;1743;1411374343;1
1834;139;1411381254;1
733;1246;1411374461;1
1362;611;1411380417;1
510;90;1411357767;1
958;1737;1411359053;1
879;310;1411380477;1
581;708;1411383834;1
1537;232;1411369971;1
2174;2035;1411384132;1
1417;477;1411357252;1
847;2059;1411370092;1
