departure;arrival;starting_time;n_people
23037;21798;1481531913;144
362;15317;1481521672;122
10256;12698;1481527081;76
10070;13177;1481544883;118
12057;1798;1481544114;40
5259;8657;1481536019;52
1575;15010;1481541070;142
4783;7872;1481541835;6
6786;2022;1481513920;140
6718;23114;1481519690;134
405;342;1481540620;177
14515;8175;1481527054;140
17001;5730;1481550836;2
8531;5508;1481549592;181
27055;6547;1481542576;54
22147;8874;1481514088;160
3;14699;1481514628;66
11896;1158;1481540792;26
109;10564;1481526647;120
21282;69;1481547648;96
213;7545;1481543805;2
8491;24931;1481528700;92
9298;4005;1481537150;197
7966;1374;1481528872;28
13197;2171;1481534348;138
2464;9980;1481548204;191
11748;15752;1481543257;120
19937;987;1481546723;84
5477;4951;1481517159;34
3386;9356;1481516955;92
9163;8877;1481531996;90
20937;2835;1481515419;104
14981;11415;1481535587;164
10613;2746;1481524500;78
4962;15226;1481525956;84
155;11071;1481547938;191
3418;12012;1481548991;12
11138;7387;1481549554;132
18806;12557;1481513640;20
6951;6976;1481549475;156
6503;5628;1481539435;98
12731;8836;1481523604;94
1608;7774;1481547192;171
3597;201;1481549180;181
17526;8035;1481513471;40
4747;6524;1481537232;185
14117;15109;1481539804;158
23970;17398;1481535984;164
11776;16049;1481513629;72
6495;19520;1481531856;106
6015;22651;1481538309;177
9442;2128;1481549207;34
9832;25368;1481533956;68
5440;12519;1481543319;112
5614;5979;1481541581;88
1324;6353;1481518068;138
9656;9982;1481520618;144
17461;19276;1481534481;66
15312;21313;1481542520;56
9896;5927;1481550857;22
2273;8175;1481526168;126
206;1981;1481538062;146
24374;4038;1481529333;138
7973;7159;1481525879;167
7517;889;1481510459;28
17444;25054;1481510504;52
436;9149;1481543672;193
10728;17770;1481546825;78
19043;7715;1481541958;72
18835;6325;1481530772;185
1684;4768;1481514335;14
17156;6409;1481543017;36
14651;5110;1481535598;78
19852;11744;1481536887;140
27040;14209;1481515616;28
7776;17566;1481527440;64
11593;16038;1481548865;2
15962;13212;1481513976;126
27314;17391;1481534142;70
13677;23352;1481510252;20
6711;20192;1481547105;44
1084;19297;1481518568;171
9684;11565;1481521292;179
8704;9433;1481544991;187
8464;7265;1481523419;42
5639;7935;1481536395;50
27047;6331;1481524279;84
8427;19571;1481524859;36
8400;12376;1481529832;134
19286;27403;1481520281;173
3279;6178;1481537446;185
9298;7012;1481534556;80
8580;8553;1481538092;90
6989;27230;1481515489;162
4728;11902;1481525824;164
8598;19306;1481525991;58
9486;22585;1481509877;128
6020;5976;1481522237;16
12310;213;1481550092;44
7489;6133;1481517931;160
6714;10985;1481542594;118
6021;6582;1481532597;160
14875;10181;1481513714;181
5927;17502;1481543440;197
4582;1771;1481526454;32
47;1251;1481529108;82
6400;3740;1481542478;14
7011;14904;1481536169;72
22445;20397;1481543140;50
1799;15082;1481525604;124
11617;292;1481527243;116
17381;7053;1481537900;98
8146;7925;1481547414;102
