departure;arrival;starting_time;n_people
428;1302;1482129651;170
61;42;1482137571;97
773;353;1482136374;107
970;360;1482126649;170
192;657;1482136854;119
521;1251;1482134810;150
1054;1116;1482149644;172
1089;667;1482134448;44
293;1033;1482130588;44
1277;678;1482151744;36
932;760;1482128695;63
87;457;1482132293;129
228;138;1482148208;26
266;532;1482141130;61
991;874;1482144449;14
644;415;1482135816;194
1121;1090;1482137612;16
755;398;1482140712;180
1065;1375;1482128606;156
521;880;1482140026;44
715;1330;1482138152;67
1237;538;1482119128;59
488;751;1482120943;47
458;442;1482119336;8
342;500;1482154289;160
1399;788;1482145703;188
209;904;1482139105;133
712;1246;1482151884;44
746;1381;1482126428;42
769;562;1482137510;127
1017;855;1482138942;196
16;1002;1482127311;109
223;1331;1482119605;24
305;1194;1482134757;26
1302;593;1482119535;40
1162;533;1482126354;36
1039;652;1482120689;12
1322;239;1482134975;127
1076;408;1482126130;14
1026;594;1482152174;123
603;58;1482145101;162
510;851;1482154743;28
625;282;1482145151;125
226;785;1482143272;140
64;288;1482143157;69
1397;711;1482127434;73
130;526;1482139648;140
543;943;1482132995;87
1182;212;1482142957;125
1290;1260;1482120135;28
693;1283;1482133706;83
1244;1104;1482136948;178
1087;180;1482120804;142
1196;490;1482138858;170
652;1204;1482154309;20
986;1174;1482138371;51
702;692;1482148165;30
153;416;1482151809;160
403;855;1482133231;73
1234;1385;1482136719;121
1266;779;1482153695;32
418;743;1482147262;131
1121;341;1482132714;83
1278;232;1482135638;117
1093;569;1482129250;184
559;521;1482147183;8
681;840;1482140729;4
130;181;1482153272;97
658;1147;1482139945;63
839;512;1482132651;89
74;352;1482145823;22
538;124;1482145310;172
1015;847;1482155196;95
1300;702;1482127596;40
107;1349;1482126357;144
44;1010;1482146754;99
201;1143;1482135151;99
532;814;1482137859;24
1215;668;1482118250;168
893;644;1482127707;75
1000;607;1482144567;36
577;226;1482150156;111
267;83;1482147834;135
1218;792;1482130786;67
54;1184;1482155363;186
392;142;1482139085;192
1248;290;1482148507;34
312;650;1482139980;10
1336;80;1482120925;26
594;171;1482121344;121
1183;1397;1482150183;178
920;114;1482147987;34
229;1039;1482134227;182
1210;516;1482129451;166
100;1325;1482131410;162
573;599;1482121835;125
237;1240;1482151131;14
1412;49;1482137646;192
616;1042;1482120136;146
650;964;1482154835;83
2;250;1482130923;164
604;194;1482151643;30
1257;561;1482141200;109
318;1003;1482130379;16
870;617;1482131907;14
845;1235;1482128044;168
605;1304;1482148578;109
605;655;1482130310;89
1217;187;1482152786;22
1203;86;1482121982;172
357;828;1482121405;160
1005;264;1482126721;111
738;1224;1482152131;156
45;833;1482121811;10
183;1285;1482120208;138
993;1307;1482117971;150
589;289;1482145861;53
1352;730;1482129877;87
584;363;1482147515;150
833;385;1482141320;127
1087;551;1482133337;174
109;1180;1482133606;53
381;118;1482145944;22
501;1054;1482142131;73
449;1193;1482140444;20
1302;501;1482122965;51
841;106;1482132190;162
923;757;1482127549;95
781;407;1482143356;55
542;295;1482133441;18
92;1136;1482140012;44
1332;358;1482134514;77
437;911;1482143196;101
602;816;1482132453;99
292;593;1482138085;51
1153;1211;1482121963;184
297;1167;1482119389;57
1267;1344;1482145252;129
1429;237;1482152421;129
714;1092;1482134650;28
537;733;1482130687;2
115;161;1482121320;6
1266;458;1482134424;6
1064;1287;1482139784;44
1101;136;1482118494;172
224;847;1482142894;119
1093;448;1482120443;75
1335;126;1482147661;34
1009;569;1482123139;28
1016;965;1482120958;105
1169;487;1482122553;73
10;161;1482143257;103
415;1005;1482118029;158
177;380;1482143247;109
148;211;1482139287;133
1413;1309;1482133528;85
883;1408;1482129039;18
756;816;1482140968;40
954;38;1482123899;49
396;55;1482146925;69
1235;420;1482122987;34
714;863;1482130551;135
587;1066;1482131934;156
1083;873;1482154696;133
133;867;1482155044;158
447;281;1482140411;121
110;881;1482122921;138
151;411;1482142540;69
1082;1131;1482151113;71
889;671;1482152452;192
120;1125;1482149671;168
269;384;1482138577;67
1378;1308;1482127094;4
1373;862;1482149299;148
821;1073;1482130264;186
971;444;1482131322;63
188;1331;1482152629;184
1128;340;1482147158;174
1111;330;1482120986;2
14;1140;1482127807;4
1069;1409;1482128277;113
573;1343;1482131106;44
1264;10;1482146407;36
1384;109;1482119859;53
448;781;1482133102;26
1173;1323;1482121955;160
2;1066;1482126721;34
853;1345;1482146312;140
275;904;1482120336;38
1015;370;1482149659;146
911;336;1482153826;140
73;317;1482119813;75
1325;290;1482153245;142
20;610;1482130029;135
1083;163;1482151996;144
358;779;1482123468;164
652;101;1482143199;129
131;1219;1482133089;63
1354;722;1482124948;103
413;738;1482147636;111
272;870;1482148114;63
932;800;1482129624;20
865;629;1482140398;79
1109;489;1482144138;47
847;669;1482131258;123
554;818;1482126056;172
1070;1167;1482141132;144
385;768;1482119827;111
1167;685;1482147297;53
1190;277;1482150729;59
833;1325;1482136640;4
