departure;arrival;starting_time;n_people
1733;1442;1509936479;4
2630;7138;1509962244;8
3200;525;1509939900;18
1057;268;1509940660;12
6643;1545;1509935458;16
901;7008;1509957549;2
6714;6522;1509976639;18
5774;6151;1509954474;14
1519;3273;1509953169;12
7270;951;1509942829;16
7009;7019;1509953603;6
4833;7784;1509975240;8
2804;1526;1509940937;10
1332;4360;1509957692;14
3231;2073;1509951997;18
3592;128;1509944884;4
8230;4315;1509934710;4
7084;449;1509947910;14
127;7304;1509958997;8
659;968;1509974253;4
2693;8017;1509973911;14
2059;8592;1509939519;14
3557;4794;1509939165;2
3595;4074;1509949671;2
347;3368;1509972805;6
7141;297;1509968327;6
8071;2454;1509949167;6
6805;3797;1509940427;2
2379;1107;1509965142;16
3031;4121;1509940575;8
5634;3288;1509959141;10
8369;6860;1509973443;4
6489;411;1509939158;2
3844;1626;1509957704;4
3403;6991;1509935509;14
1971;2462;1509945624;4
3112;664;1509949774;10
6150;7570;1509960729;2
7097;3439;1509963515;14
5282;1826;1509966763;16
7516;6342;1509974114;16
6554;954;1509969837;12
3541;7187;1509949890;6
3706;647;1509970278;10
488;2852;1509960245;16
5593;1706;1509962763;8
317;5645;1509959942;12
6214;6903;1509935417;4
7139;1471;1509939169;18
6484;6299;1509950447;16
7842;4218;1509975349;10
4808;6857;1509965353;12
1470;1192;1509952024;6
4206;8219;1509976117;2
2365;4580;1509945549;12
7826;2559;1509961421;16
430;7338;1509943026;12
1193;6493;1509950530;12
1529;5487;1509931957;16
1927;7958;1509941515;14
6918;1597;1509966806;6
2784;1724;1509955184;16
381;2798;1509967265;10
1202;2231;1509976546;14
8116;3389;1509940743;6
1544;4350;1509944682;18
6798;1357;1509974248;10
419;7360;1509936074;2
2443;1603;1509956068;6
5453;5042;1509934677;16
7497;994;1509952841;4
8160;8489;1509938983;2
6317;4379;1509955443;6
4111;7189;1509945192;8
6067;6457;1509949144;2
3953;2409;1509945361;18
3831;4344;1509962131;18
1106;6171;1509939054;12
7665;3050;1509947879;18
3475;4918;1509954592;2
3262;5370;1509941556;10
2549;594;1509946235;2
4783;4550;1509962567;8
6549;5087;1509963910;14
7631;1575;1509938562;16
8094;4965;1509972212;10
8034;6331;1509939312;4
6750;298;1509932095;18
5284;2951;1509974140;8
6256;7490;1509953859;12
8575;3179;1509962947;4
3298;6946;1509936065;14
3614;4575;1509933715;12
5540;354;1509973829;12
3754;3098;1509955830;14
5338;3079;1509953556;2
6347;2867;1509965451;6
7118;6299;1509958998;4
6042;8135;1509945011;4
4773;1192;1509939838;8
3040;7082;1509933036;2
732;892;1509976357;16
4124;7304;1509942313;8
7870;6419;1509969516;8
43;2805;1509956871;10
5073;1474;1509946068;8
7213;6009;1509942142;10
3618;8235;1509968823;4
2545;546;1509951102;12
742;3409;1509966110;8
4067;4567;1509942876;2
4809;2377;1509976090;12
3304;4672;1509938479;18
415;6743;1509977695;2
4024;3010;1509948933;18
8154;5402;1509952854;10
7342;3118;1509948968;2
5449;2398;1509946156;4
1289;5028;1509940466;18
6173;359;1509934192;6
7739;4123;1509965591;6
7056;825;1509969844;10
722;265;1509945831;16
655;2186;1509944324;6
5298;8365;1509964425;4
6329;3886;1509949381;2
6783;6498;1509943606;8
6610;1366;1509945590;2
7648;1010;1509935624;6
4518;8042;1509962667;6
5010;4506;1509949481;8
2451;3187;1509934998;2
3146;2460;1509969477;10
6658;3807;1509971696;2
4911;4864;1509962607;14
5993;4078;1509965752;12
2565;3821;1509946352;14
1033;1634;1509940450;16
2450;2832;1509965984;8
1762;7261;1509942036;12
2365;3556;1509953821;14
8564;7934;1509950672;4
4852;3544;1509975983;16
3260;7444;1509975583;4
2811;5610;1509975071;14
3420;8529;1509948872;18
4230;4079;1509964306;18
1518;1116;1509950040;12
4135;7798;1509957757;16
4518;4049;1509938434;14
976;2945;1509939531;2
7577;8278;1509939324;18
7213;3509;1509940287;14
2342;2034;1509956985;16
4758;3390;1509953033;18
7362;7842;1509972287;4
4043;8078;1509948488;4
3900;5356;1509941993;6
8518;4414;1509955469;2
876;1319;1509950752;12
5728;899;1509933813;16
8266;579;1509959561;16
706;7776;1509939633;2
7453;2296;1509954266;8
4743;1807;1509952205;16
4167;3249;1509935837;16
807;1246;1509944459;10
7923;8086;1509935651;10
8199;6955;1509975943;8
7860;3665;1509976102;4
1296;6745;1509938690;18
979;1322;1509938127;4
8064;6995;1509935233;4
301;5545;1509956226;8
410;3298;1509964267;18
1870;7458;1509970280;6
6290;6307;1509937099;4
7774;3340;1509953641;16
1670;3038;1509952524;2
1835;2140;1509947796;6
1810;4894;1509954109;10
3486;2332;1509963603;18
3298;3148;1509959413;14
1424;73;1509976170;18
4077;6892;1509948209;8
8208;5082;1509932499;2
845;1603;1509949435;18
757;808;1509943498;12
2138;6401;1509937380;16
4260;1552;1509943934;4
5010;3228;1509949680;14
7744;7380;1509940779;10
6430;3347;1509954358;18
2646;7780;1509971488;8
993;5009;1509951856;14
6011;521;1509951153;14
1982;4659;1509938670;8
389;4524;1509966920;8
7014;849;1509933785;16
4115;4758;1509941398;10
8041;2425;1509948316;16
2192;8123;1509946459;10
8168;1612;1509939204;6
1118;877;1509972947;6
4665;95;1509969816;2
4582;2765;1509973766;4
7910;6985;1509940954;18
7320;5615;1509936395;2
4259;8427;1509947369;6
