Adelaide & 7548 & 404256 & 75480 & 754800 & 3 & 4508.664 & 4430.440 & 78.224 & 2449.530 & 0.553 & 1446.499 & 906.000 & 540.499 & 1577.772 & 1.741 & 14.377519239s & 7.484873ms & 7.485 & 1920.852 
Belfast & 1917 & 122693 & 19170 & 191700 & 3 & 3320.031 & 3837.560 & 517.529 & 1577.385 & 0.411 & 4428.981 & 6318.000 & 1889.019 & 9571.347 & 1.515 & 1.060497703s & 1.988684ms & 1.989 & 533.240 
Berlin & 4601 & 1048185 & 46010 & 460100 & 3 & 2925.437 & 2989.160 & 63.723 & 1358.047 & 0.454 & 1333.995 & 1200.000 & 133.995 & 3618.950 & 3.016 & 30.317579308s & 4.571426ms & 4.571 & 6631.862 
Bordeaux & 3435 & 236595 & 34350 & 343500 & 3 & 3606.340 & 2796.680 & 809.660 & 2266.000 & 0.810 & 1150.740 & 546.000 & 604.740 & 743.831 & 1.362 & 3.892470368s & 3.770014ms & 3.770 & 1032.460 
Brisbane & 9645 & 392805 & 96450 & 964500 & 3 & 4912.544 & 4570.720 & 341.824 & 3010.867 & 0.659 & 1822.326 & 2196.000 & 373.674 & 3862.640 & 1.759 & 18.189157619s & 9.475886ms & 9.476 & 1919.491 
Canberra & 2764 & 124305 & 27640 & 276400 & 3 & 3167.875 & 3292.740 & 124.865 & 1919.477 & 0.583 & 1513.958 & 2046.000 & 532.042 & 5935.662 & 2.901 & 1.487900103s & 2.686105ms & 2.686 & 553.906 
Detroit & 5683 & 214863 & 56830 & 568300 & 3 & 5736.236 & 5458.220 & 278.016 & 3113.070 & 0.570 & 2828.221 & 2868.000 & 39.779 & 5638.136 & 1.966 & 6.061816625s & 6.560961ms & 6.561 & 923.909 
Dublin & 4571 & 407111 & 45710 & 457100 & 3 & 3193.753 & 2961.160 & 232.593 & 2225.460 & 0.752 & 1173.258 & 984.000 & 189.258 & 2017.856 & 2.051 & 8.282053815s & 4.494564ms & 4.495 & 1842.650 
Grenoble & 1547 & 114492 & 15470 & 154700 & 3 & 2402.910 & 2680.740 & 277.830 & 2986.328 & 1.114 & 2454.791 & 1806.000 & 648.791 & 3726.522 & 2.063 & 860.996307ms & 1.337946ms & 1.338 & 643.483 
Helsinki & 6986 & 686417 & 69860 & 698600 & 3 & 3367.553 & 3120.120 & 247.433 & 1678.783 & 0.538 & 1615.475 & 798.000 & 817.475 & 1864.456 & 2.336 & 28.231264896s & 7.025731ms & 7.026 & 4018.218 
