Adelaide & 7548 & 404256 & 75480 & 754800 & 1 & 4508.664 & 4509.180 & 0.516 & 158.674 & 0.035 & 1446.499 & 1460.264 & 13.765 & 229.789 & 0.157 & 13.909686345s & 5.921073589s & 5921.074 & 2.349 \\
Belfast & 1917 & 122693 & 19170 & 191700 & 1 & 3320.031 & 3319.756 & 0.275 & 103.170 & 0.031 & 4428.981 & 4446.880 & 17.899 & 471.572 & 0.106 & 1.041366662s & 2.937380895s & 2937.381 & 0.355 \\
Berlin & 4601 & 1048185 & 46010 & 460100 & 1 & 2925.437 & 2924.615 & 0.821 & 77.664 & 0.027 & 1333.995 & 1326.134 & 7.861 & 338.377 & 0.255 & 31.171156254s & 2.386014132s & 2386.014 & 13.064 \\
Bordeaux & 3435 & 236595 & 34350 & 343500 & 1 & 3606.340 & 3611.053 & 4.712 & 128.031 & 0.035 & 1150.740 & 1147.287 & 3.453 & 196.317 & 0.171 & 3.821449775s & 3.139453684s & 3139.454 & 1.217 \\
Brisbane & 9645 & 392805 & 96450 & 964500 & 1 & 4912.544 & 4909.806 & 2.738 & 191.811 & 0.039 & 1822.326 & 1824.849 & 2.523 & 211.389 & 0.116 & 18.055830711s & 5.421772379s & 5421.772 & 3.330 \\
Canberra & 2764 & 124305 & 27640 & 276400 & 1 & 3167.875 & 3169.550 & 1.675 & 118.053 & 0.037 & 1513.958 & 1513.234 & 0.724 & 240.805 & 0.159 & 1.417941986s & 2.52745798s & 2527.458 & 0.561 \\
Detroit & 5683 & 214863 & 56830 & 568300 & 1 & 5736.236 & 5734.968 & 1.267 & 172.723 & 0.030 & 2828.221 & 2830.115 & 1.894 & 347.855 & 0.123 & 5.973136602s & 10.509116936s & 10509.117 & 0.568 \\
Dublin & 4571 & 407111 & 45710 & 457100 & 1 & 3193.753 & 3191.441 & 2.312 & 139.563 & 0.044 & 1173.258 & 1193.039 & 19.781 & 226.092 & 0.190 & 8.436478156s & 3.392120706s & 3392.121 & 2.487 \\
Grenoble & 1547 & 114492 & 15470 & 154700 & 1 & 2402.910 & 2399.436 & 3.474 & 164.897 & 0.069 & 2454.791 & 2449.959 & 4.832 & 333.722 & 0.136 & 844.158041ms & 1.430877864s & 1430.878 & 0.590 \\
Helsinki & 6986 & 686417 & 69860 & 698600 & 1 & 3367.553 & 3373.555 & 6.002 & 115.174 & 0.034 & 1615.475 & 1618.531 & 3.056 & 280.180 & 0.173 & 27.998902294s & 4.003034574s & 4003.035 & 6.994 \\
Kuopio & 549 & 32122 & 5490 & 54900 & 1 & 1543.260 & 1546.855 & 3.595 & 65.614 & 0.042 & 963.902 & 964.796 & 0.894 & 162.643 & 0.169 & 73.685116ms & 1.07409133s & 1074.091 & 0.069 \\
Lisbon & 7073 & 526169 & 70730 & 707300 & 1 & 1066.023 & 1064.678 & 1.345 & 132.729 & 0.125 & 1156.085 & 1161.512 & 5.427 & 233.869 & 0.201 & 18.778498807s & 1.436784222s & 1436.784 & 13.070 \\
Luxembourg & 1367 & 186752 & 13670 & 136700 & 1 & 2405.136 & 2404.206 & 0.930 & 62.052 & 0.026 & 909.470 & 911.259 & 1.789 & 149.227 & 0.164 & 862.705342ms & 1.297592932s & 1297.593 & 0.665 \\
Melbourne & 19493 & 1098227 & 194930 & 1949300 & 1 & 8569.206 & 8578.260 & 9.054 & 327.566 & 0.038 & 1800.190 & 1792.849 & 7.341 & 209.890 & 0.117 & 171.513744606s & 14.548214062s & 14548.214 & 11.789 \\
Nantes & 2353 & 196376 & 23530 & 235300 & 1 & 3171.421 & 3177.509 & 6.088 & 133.674 & 0.042 & 2247.782 & 2262.785 & 15.003 & 316.722 & 0.140 & 2.232042411s & 2.890359278s & 2890.359 & 0.772 \\
Palermo & 2176 & 226215 & 21760 & 217600 & 1 & 2718.609 & 2714.597 & 4.012 & 73.215 & 0.027 & 496.122 & 502.918 & 6.796 & 65.234 & 0.130 & 1.769968104s & 2.875808183s & 2875.808 & 0.615 \\
Paris & 11950 & 1823872 & 11950 & 1195000 & 1 & 4296.455 & 4292.279 & 4.176 & 225.364 & 0.053 & 441.501 & 444.324 & 2.823 & 116.338 & 0.262 & 112.764377522s & 3.6839748s & 3683.975 & 30.609 \\
Prague & 5147 & 670421 & 51470 & 514700 & 1 & 3713.360 & 3713.038 & 0.322 & 180.360 & 0.049 & 3078.589 & 3097.973 & 19.384 & 491.599 & 0.159 & 19.630251197s & 3.023728638s & 3023.729 & 6.492 \\
Rennes & 1407 & 109075 & 14070 & 140700 & 1 & 2879.312 & 2878.530 & 0.783 & 111.443 & 0.039 & 864.149 & 859.630 & 4.519 & 155.351 & 0.181 & 585.670646ms & 1.997447069s & 1997.447 & 0.293 \\
Rome & 7869 & 1051211 & 78690 & 786900 & 1 & 3915.730 & 3920.817 & 5.087 & 128.515 & 0.033 & 817.100 & 821.700 & 4.600 & 265.164 & 0.323 & 55.076453542s & 6.095142s & 6095.142 & 9.036 \\
Sydney & 24063 & 1265135 & 240630 & 2406300 & 1 & 6058.332 & 6061.508 & 3.177 & 260.231 & 0.043 & 2709.395 & 2711.017 & 1.622 & 336.876 & 0.124 & 241.104542064s & 10.329285386s & 10329.285 & 23.342 \\
Toulouse & 3329 & 224354 & 33290 & 332900 & 1 & 4668.833 & 4669.626 & 0.792 & 151.695 & 0.032 & 2027.361 & 2026.946 & 0.415 & 269.564 & 0.133 & 3.589617752s & 4.989389543s & 4989.390 & 0.719 \\
Turku & 1850 & 133512 & 18500 & 185000 & 1 & 1995.165 & 1996.283 & 1.118 & 70.011 & 0.035 & 1169.335 & 1166.741 & 2.594 & 238.477 & 0.204 & 960.572599ms & 2.31748311s & 2317.483 & 0.414 \\
Venice & 1874 & 118519 & 18740 & 187400 & 1 & 1925.388 & 1924.426 & 0.962 & 98.699 & 0.051 & 2591.814 & 2599.414 & 7.600 & 317.887 & 0.122 & 1.031490389s & 1.834903007s & 1834.903 & 0.562 \\
Winnipeg & 5079 & 333882 & 50790 & 507900 & 1 & 3184.980 & 3185.422 & 0.442 & 75.767 & 0.024 & 1132.216 & 1132.653 & 0.437 & 206.561 & 0.182 & 7.05124601s & 5.7458892s & 5745.889 & 1.227 \\
