Adelaide & 7548 & 404256 & 75480 & 754800 & 0.100 & 1124 & 4509.749 & 4517.977 & 8.228 & 77.533 & 0.017 & 2647.601 & 2638.967 & 8.634 & 135.417 & 0.051 & 351.154827575s & 47.480445137s & 47480.445 & 7.396 \\
Belfast & 1917 & 122693 & 19170 & 191700 & 0.100 & 987 & 3319.852 & 3322.267 & 2.415 & 65.293 & 0.020 & 5935.627 & 5913.207 & 22.419 & 290.564 & 0.049 & 55.25467892s & 62.086589277s & 62086.589 & 0.890 \\
Berlin & 4601 & 1048185 & 46010 & 460100 & 0.100 & 1074 & 2925.373 & 2929.912 & 4.539 & 42.979 & 0.015 & 2267.659 & 2241.073 & 26.586 & 174.379 & 0.078 & 528.330832932s & 34.934086624s & 34934.087 & 15.124 \\
Bordeaux & 3435 & 236595 & 34350 & 343500 & 0.100 & 1045 & 3593.320 & 3619.483 & 26.163 & 69.831 & 0.019 & 2342.405 & 2364.202 & 21.796 & 125.924 & 0.053 & 105.801291707s & 39.388306157s & 39388.306 & 2.686 \\
Brisbane & 9645 & 392805 & 96450 & 964500 & 0.100 & 1148 & 4895.054 & 4896.956 & 1.903 & 92.744 & 0.019 & 3242.002 & 3244.704 & 2.702 & 126.951 & 0.039 & 508.538014713s & 56.256355178s & 56256.355 & 9.040 \\
Canberra & 2764 & 124305 & 27640 & 276400 & 0.100 & 1023 & 3154.094 & 3159.990 & 5.896 & 73.742 & 0.023 & 2518.062 & 2536.518 & 18.457 & 137.684 & 0.054 & 42.618753231s & 32.663885647s & 32663.886 & 1.305 \\
Detroit & 5683 & 214863 & 56830 & 568300 & 0.100 & 1095 & 5731.740 & 5709.532 & 22.208 & 76.918 & 0.013 & 4311.664 & 4305.076 & 6.589 & 169.976 & 0.039 & 179.869204319s & 65.676040572s & 65676.042 & 2.739 \\
Dublin & 4571 & 407111 & 45710 & 457100 & 0.100 & 1074 & 3178.734 & 3179.164 & 0.430 & 81.512 & 0.026 & 2143.318 & 2156.155 & 12.837 & 127.156 & 0.059 & 237.408219026s & 31.263440572s & 31263.441 & 7.594 \\
Grenoble & 1547 & 114492 & 15470 & 154700 & 0.100 & 965 & 2377.902 & 2365.711 & 12.191 & 94.016 & 0.040 & 3241.497 & 3221.474 & 20.024 & 188.552 & 0.059 & 34.15727359s & 34.357611338s & 34357.611 & 0.994 \\
Helsinki & 6986 & 686417 & 69860 & 698600 & 0.100 & 1116 & 3372.619 & 3362.006 & 10.612 & 54.220 & 0.016 & 2937.547 & 2929.708 & 7.839 & 167.859 & 0.057 & 446.765457068s & 31.601062078s & 31601.062 & 14.138 \\
Kuopio & 549 & 32122 & 5490 & 54900 & 0.100 & 862 & 1561.357 & 1568.104 & 6.747 & 32.909 & 0.021 & 1627.485 & 1639.049 & 11.564 & 102.453 & 0.063 & 2.379255684s & 10.031066396s & 10031.066 & 0.237 \\
Lisbon & 7073 & 526169 & 70730 & 707300 & 0.100 & 1117 & 1075.165 & 1078.118 & 2.953 & 71.117 & 0.066 & 1640.455 & 1645.340 & 4.885 & 144.297 & 0.088 & 318.94053698s & 16.359232847s & 16359.233 & 19.496 \\
Luxembourg & 1367 & 186752 & 13670 & 136700 & 0.100 & 953 & 2401.183 & 2392.938 & 8.245 & 29.940 & 0.013 & 1693.977 & 1699.700 & 5.724 & 91.965 & 0.054 & 21.946704885s & 15.069934527s & 15069.935 & 1.456 \\
Melbourne & 19493 & 1098227 & 194930 & 1949300 & 0.100 & 1219 & 8569.033 & 8606.278 & 37.244 & 154.481 & 0.018 & 3831.942 & 3811.811 & 20.131 & 119.860 & 0.031 & 2130.250873672s & 46.267267395s & 46267.267 & 46.042 \\
Nantes & 2353 & 196376 & 23530 & 235300 & 0.100 & 1007 & 3177.761 & 3173.741 & 4.021 & 81.634 & 0.026 & 3680.255 & 3680.667 & 0.413 & 213.181 & 0.058 & 49.549626752s & 42.449055878s & 42449.056 & 1.167 \\
Palermo & 2176 & 226215 & 21760 & 217600 & 0.100 & 999 & 2728.444 & 2727.414 & 1.030 & 32.071 & 0.012 & 1550.607 & 1551.188 & 0.581 & 40.645 & 0.026 & 32.817460376s & 18.693919082s & 18693.919 & 1.756 \\
Paris & 11950 & 1823872 & 11950 & 1195000 & 0.100 & 939 & 4293.460 & 4322.583 & 29.124 & 114.289 & 0.026 & 1520.934 & 1546.846 & 25.912 & 81.032 & 0.052 & 310.794368918s & 18.824312865s & 18824.313 & 16.510 \\
Prague & 5147 & 670421 & 51470 & 514700 & 0.100 & 1085 & 3713.296 & 3717.760 & 4.464 & 106.781 & 0.029 & 4261.713 & 4228.635 & 33.079 & 258.707 & 0.061 & 339.035784656s & 41.88603482s & 41886.035 & 8.094 \\
