Adelaide & 7548 & 404256 & 75480 & 754800 & 0.106 & 1000 & 4509.749 & 4505.567 & 4.182 & 90.005 & 0.020 & 2647.601 & 2648.613 & 1.012 & 135.406 & 0.051 & 402.715282196s & 40.155797744s & 40155.798 & 10.029 \\
Belfast & 1917 & 122693 & 19170 & 191700 & 0.099 & 1000 & 3319.852 & 3302.592 & 17.260 & 50.688 & 0.015 & 5935.627 & 5946.178 & 10.551 & 281.309 & 0.047 & 46.981159733s & 65.858432489s & 65858.433 & 0.713 \\
Berlin & 4601 & 1048185 & 46010 & 460100 & 0.104 & 1000 & 2925.373 & 2934.357 & 8.984 & 44.996 & 0.015 & 2267.659 & 2280.205 & 12.546 & 170.141 & 0.075 & 558.420541335s & 35.957953299s & 35957.953 & 15.530 \\
Bordeaux & 3435 & 236595 & 34350 & 343500 & 0.102 & 1000 & 3593.320 & 3603.210 & 9.890 & 72.042 & 0.020 & 2342.405 & 2329.642 & 12.764 & 119.910 & 0.051 & 84.682366837s & 32.602617033s & 32602.617 & 2.597 \\
Brisbane & 9645 & 392805 & 96450 & 964500 & 0.107 & 1000 & 4895.054 & 4907.646 & 12.592 & 93.302 & 0.019 & 3242.002 & 3232.333 & 9.669 & 125.437 & 0.039 & 554.251735758s & 49.611874891s & 49611.875 & 11.172 \\
Canberra & 2764 & 124305 & 27640 & 276400 & 0.101 & 1000 & 3154.094 & 3159.447 & 5.353 & 65.776 & 0.021 & 2518.062 & 2539.543 & 21.481 & 135.921 & 0.054 & 42.560874043s & 32.094446825s & 32094.447 & 1.326 \\
Detroit & 5683 & 214863 & 56830 & 568300 & 0.105 & 1000 & 5731.740 & 5738.462 & 6.723 & 92.104 & 0.016 & 4311.664 & 4387.873 & 76.209 & 198.041 & 0.045 & 199.329433646s & 68.71619708s & 68716.197 & 2.901 \\
Dublin & 4571 & 407111 & 45710 & 457100 & 0.104 & 1000 & 3178.734 & 3191.291 & 12.557 & 74.157 & 0.023 & 2143.318 & 2159.942 & 16.624 & 126.291 & 0.058 & 199.609254913s & 18.339064088s & 18339.064 & 10.884 \\
Grenoble & 1547 & 114492 & 15470 & 154700 & 0.098 & 1000 & 2377.902 & 2378.023 & 0.121 & 80.007 & 0.034 & 3241.497 & 3253.682 & 12.185 & 187.338 & 0.058 & 19.129138561s & 23.248789468s & 23248.790 & 0.823 \\
Helsinki & 6986 & 686417 & 69860 & 698600 & 0.106 & 1000 & 3372.619 & 3375.457 & 2.839 & 55.340 & 0.016 & 2937.547 & 2981.859 & 44.312 & 175.082 & 0.059 & 398.728228975s & 27.173077938s & 27173.078 & 14.674 \\
Kuopio & 549 & 32122 & 5490 & 54900 & 0.093 & 1000 & 1561.357 & 1557.003 & 4.353 & 31.991 & 0.021 & 1627.485 & 1624.299 & 3.186 & 81.393 & 0.050 & 2.302201565s & 10.583710954s & 10583.711 & 0.218 \\
Lisbon & 7073 & 526169 & 70730 & 707300 & 0.106 & 1000 & 1075.165 & 1075.631 & 0.466 & 74.895 & 0.070 & 1640.455 & 1628.652 & 11.802 & 128.860 & 0.079 & 261.9869743s & 12.319185114s & 12319.185 & 21.267 \\
Luxembourg & 1367 & 186752 & 13670 & 136700 & 0.098 & 1000 & 2401.183 & 2405.736 & 4.553 & 32.559 & 0.014 & 1693.977 & 1685.183 & 8.794 & 98.882 & 0.059 & 13.160735304s & 13.136097432s & 13136.097 & 1.002 \\
Melbourne & 19493 & 1098227 & 194930 & 1949300 & 0.110 & 1000 & 8569.033 & 8555.087 & 13.947 & 197.739 & 0.023 & 3831.942 & 3833.357 & 1.415 & 153.052 & 0.040 & 2100.995145721s & 37.852713518s & 37852.714 & 55.504 \\
Nantes & 2353 & 196376 & 23530 & 235300 & 0.100 & 1000 & 3177.761 & 3188.662 & 10.900 & 67.787 & 0.021 & 3680.255 & 3662.447 & 17.808 & 164.747 & 0.045 & 49.402177077s & 30.003123044s & 30003.123 & 1.647 \\
