departure;arrival;starting_time;n_people
450;26810;1482108723;14
24569;19744;1482113401;4
33486;236;1482098793;10
35974;27177;1482111921;8
38805;2994;1482088523;8
2524;8136;1482092155;14
28286;25741;1482099958;4
34894;16427;1482109472;8
27142;19369;1482113373;8
16027;6872;1482106336;8
12257;16842;1482088739;12
6525;33989;1482075277;10
36327;4003;1482075016;14
12050;36290;1482106991;4
24934;32817;1482104157;4
34975;4851;1482116325;4
26129;16400;1482088413;18
9662;37987;1482120543;18
33482;8093;1482114918;4
37378;26718;1482103252;14
33830;23375;1482076112;6
16573;19203;1482097686;12
22736;5367;1482087459;12
39038;18823;1482088689;10
8620;4871;1482097936;2
3507;13006;1482085116;4
29702;11577;1482078692;2
27637;548;1482091139;12
20315;17706;1482090312;18
29051;4924;1482083368;2
13521;28765;1482118212;8
6854;9695;1482087501;2
21509;2914;1482089969;6
29036;1656;1482105019;2
34890;18308;1482108422;4
35136;16925;1482101096;12
14051;7070;1482095422;10
6944;11966;1482096271;14
19346;14121;1482119261;16
34576;9710;1482099640;2
11923;24734;1482095686;14
2416;29255;1482084434;16
14482;36920;1482111685;12
8898;8431;1482106991;2
17360;9794;1482120567;8
25753;8682;1482094915;8
8980;3173;1482092816;2
1846;17591;1482090934;8
36107;1665;1482101181;16
19040;17157;1482087660;14
38299;13113;1482113597;12
18098;20262;1482089834;14
31698;16730;1482087700;16
10544;24589;1482086078;18
442;3388;1482097289;10
6432;1964;1482097445;16
19698;8638;1482092862;12
14168;5784;1482117791;2
7387;29158;1482121120;16
13927;1642;1482094813;2
33539;16142;1482085914;4
7636;22073;1482082131;16
35507;16985;1482095543;14
8123;5046;1482117607;10
9222;16540;1482091366;16
27678;35286;1482077168;10
26707;8272;1482084738;8
5528;3637;1482094037;12
27127;8490;1482113394;14
18803;29156;1482083672;2
32899;2190;1482103204;6
12329;23583;1482094163;4
13162;10045;1482080798;12
25995;11030;1482078627;8
33856;37706;1482085039;14
35104;989;1482085659;14
12711;24940;1482098871;14
31510;15642;1482107242;2
4506;26280;1482119561;2
5257;6293;1482092995;8
26994;3002;1482102794;16
36304;3340;1482099277;2
1318;31071;1482096179;2
35078;30822;1482100975;2
5502;32817;1482102151;10
1099;5387;1482084377;6
10453;3424;1482089249;16
33441;21093;1482120372;18
32042;37486;1482093518;2
5181;19879;1482090097;2
35844;20519;1482112841;12
37903;17703;1482096260;14
20751;31950;1482101836;2
34517;3072;1482102605;16
11071;17881;1482079608;10
20332;32598;1482080131;16
32082;173;1482118816;14
8227;11739;1482093824;2
38968;19022;1482104473;18
8487;19824;1482113135;6
591;21891;1482098810;4
34588;4852;1482084917;16
6636;21393;1482090717;6
10433;16673;1482082708;14
34266;25554;1482089728;10
15276;13569;1482090939;18
37213;28823;1482096967;14
25475;18962;1482076209;18
31999;28399;1482080749;12
28957;26988;1482093764;18
3123;14067;1482076474;18
1477;7391;1482112091;2
30033;1490;1482117822;10
33851;38563;1482099163;4
29905;12700;1482096685;4
6531;38196;1482106657;4
31616;35829;1482079130;18
16041;15364;1482116163;10
32370;38930;1482078466;18
31473;14372;1482100022;4
29334;24548;1482087651;8
36361;26269;1482094362;6
6728;4889;1482079805;12
4925;1701;1482113018;12
3157;29948;1482101036;6
12789;37723;1482099109;2
6766;31077;1482081171;8
16104;3593;1482096527;10
14628;35094;1482098729;2
12180;39126;1482089057;10
24574;22799;1482086390;8
18090;7654;1482097963;14
4505;32276;1482093199;14
6725;20960;1482095939;12
22008;9934;1482085416;14
13497;22050;1482095144;12
24988;14850;1482099940;12
24378;4803;1482108448;10
15485;16167;1482111030;8
13901;39068;1482081800;16
11101;34756;1482088878;16
1457;1456;1482093750;8
28777;4138;1482110536;8
220;16709;1482109852;14
24755;256;1482095782;14
1622;21171;1482120982;8
21496;14415;1482089311;12
27099;10222;1482098879;14
19241;16991;1482106791;16
23085;11319;1482107844;6
7615;26377;1482091025;4
31638;12181;1482105899;12
11577;18696;1482079922;6
8936;36057;1482102119;10
14137;4878;1482102840;6
32742;22733;1482094265;12
4024;2726;1482093346;10
34339;33276;1482112952;8
13851;21560;1482112996;6
11737;16922;1482116547;16
36546;23064;1482118587;6
5999;16513;1482081808;12
25296;38896;1482084685;2
2587;33957;1482115695;12
34458;14492;1482092318;6
37064;37837;1482114333;10
21800;7006;1482083428;14
38873;34734;1482100235;10
21788;20615;1482095785;2
13788;26975;1482081100;8
25999;21513;1482105350;2
18053;38926;1482111725;6
15643;24153;1482115822;10
716;9372;1482120139;2
11984;24555;1482083833;18
9772;24110;1482075599;4
20206;2551;1482109389;12
32531;6423;1482094215;8
11284;18585;1482101148;4
24876;25666;1482119982;10
38400;1401;1482099621;18
