departure;arrival;starting_time;n_people
1257;587;1481547088;16
1344;1898;1481515588;6
857;1646;1481519292;18
310;1646;1481540659;4
1654;17;1481534042;14
3245;2781;1481528043;4
3186;774;1481538208;4
2964;2281;1481543324;18
1106;1408;1481513107;16
3329;2968;1481533383;12
3255;393;1481540468;18
821;1670;1481547232;14
1540;3103;1481545483;12
3752;2664;1481534833;6
2439;2926;1481522841;16
2134;933;1481521849;18
1237;794;1481548915;2
1161;3410;1481539278;4
673;1554;1481527937;16
2972;1497;1481538552;8
292;3433;1481532998;12
3581;1624;1481516410;2
3099;2544;1481520213;14
448;527;1481541015;8
1900;2567;1481538597;12
2294;2905;1481543245;6
1529;3683;1481547011;2
2215;3187;1481542340;16
334;2277;1481518043;8
3406;266;1481525359;18
1212;1675;1481544126;6
860;1405;1481521951;10
1557;2775;1481515004;18
1884;3634;1481513896;6
227;1961;1481547575;6
3761;3448;1481546890;18
1341;796;1481533614;6
2053;199;1481544442;10
1419;2762;1481522196;16
463;2747;1481516832;8
1211;1019;1481536890;8
769;2123;1481531233;18
1114;73;1481545920;6
1942;2185;1481529354;10
930;2048;1481548311;8
667;3438;1481543189;8
2242;832;1481529059;18
2355;3005;1481518549;6
3147;802;1481516315;2
3267;2924;1481528966;18
1791;1949;1481527765;2
709;337;1481516691;2
1584;1471;1481523093;12
439;2672;1481547127;6
867;3451;1481521693;4
2327;3673;1481527428;8
741;3505;1481545104;8
861;54;1481515127;4
577;3018;1481541694;4
349;3751;1481537213;10
2101;2597;1481544300;4
3406;264;1481547831;10
2753;1089;1481523874;4
1214;305;1481533254;2
2571;1981;1481546651;6
1120;3710;1481547015;2
2106;2801;1481546529;10
3176;292;1481513169;18
2264;1264;1481526683;4
3781;1094;1481548574;10
1244;727;1481534565;16
3401;3033;1481545614;12
3597;3399;1481525619;10
1414;1212;1481518550;16
537;213;1481546832;2
193;1079;1481532259;14
827;506;1481546190;6
2661;937;1481547469;14
1116;3486;1481538746;4
3748;6;1481546708;14
2560;95;1481546410;16
255;123;1481527908;6
1499;270;1481545677;6
1553;384;1481538859;6
2218;2235;1481513633;16
1353;701;1481546405;14
1634;3296;1481543184;16
3251;2321;1481526267;2
68;1094;1481543666;8
3099;806;1481538082;8
3752;2481;1481543100;4
3020;336;1481542515;16
259;1122;1481550420;4
239;548;1481527728;4
826;2693;1481544842;6
2579;158;1481536612;12
1017;1192;1481527107;6
1981;1821;1481523109;2
3123;2189;1481528942;14
2490;1215;1481539155;12
2585;3173;1481521642;14
2715;719;1481547769;12
546;2559;1481513069;8
1446;70;1481529908;8
694;720;1481538799;14
3584;1949;1481545238;8
2126;3644;1481539447;8
1099;2381;1481523349;14
3485;2854;1481523819;14
3768;1095;1481549429;10
1447;3672;1481535426;6
2504;553;1481527476;8
2922;1142;1481514650;2
622;273;1481529569;16
3574;1450;1481523773;16
40;1962;1481518918;14
27;3275;1481514112;18
3231;3030;1481517069;8
3408;1247;1481521814;6
2094;1708;1481518816;8
936;2842;1481546305;12
651;100;1481546997;14
3565;3239;1481547271;12
3458;1000;1481513899;4
275;14;1481530922;14
535;503;1481540222;12
1851;357;1481524527;6
1748;848;1481513976;14
1147;2801;1481545838;2
1963;386;1481549007;8
3182;3097;1481538593;6
1580;755;1481533277;14
2036;918;1481514962;2
411;142;1481546635;2
105;1050;1481538806;18
1666;1265;1481517531;10
177;1330;1481528466;2
1351;3024;1481518188;14
2877;1567;1481538548;10
2251;905;1481518590;2
2503;527;1481520061;14
2872;1934;1481539549;12
1489;275;1481550547;16
107;2415;1481520393;6
1225;3573;1481514450;18
1480;1417;1481543186;2
2215;2078;1481537811;14
3762;3095;1481542417;18
3153;1256;1481516167;6
1714;1289;1481542315;4
3793;2450;1481527782;2
1969;3396;1481522705;18
3762;1809;1481539901;14
518;3702;1481517548;8
1435;432;1481530004;8
2890;2605;1481540723;4
898;1095;1481517170;14
1936;1568;1481537623;4
2745;1525;1481538219;2
1580;257;1481531960;10
2030;98;1481543996;18
343;2125;1481532564;2
1638;3131;1481536929;8
649;2047;1481544001;8
2809;1874;1481520334;10
2425;2530;1481529445;2
1865;1630;1481519963;8
647;564;1481547047;6
3732;1820;1481533022;14
1328;967;1481550239;2
632;1958;1481512801;8
3406;2528;1481530925;16
323;1571;1481526714;12
1287;2574;1481526853;16
3387;1942;1481534624;4
1083;1932;1481521640;6
1591;1869;1481546469;14
1550;908;1481516000;12
2783;108;1481516476;2
283;3332;1481537497;6
2502;871;1481538838;10
3674;1599;1481517145;18
1287;3439;1481528658;12
570;250;1481525714;6
714;710;1481533354;2
835;1652;1481546266;6
454;1250;1481527396;6
2988;1870;1481539316;16
2437;2144;1481528978;8
2009;2354;1481524925;18
532;402;1481533250;18
2392;1399;1481533112;14
1008;834;1481532408;8
2072;1092;1481513688;4
861;2787;1481547111;8
3760;2567;1481523027;4
2192;1357;1481537281;8
3032;1825;1481543062;14
3315;2663;1481516035;14
3036;2909;1481540756;12
1805;2791;1481533208;2
262;2397;1481548895;4
225;3074;1481521518;16
1312;576;1481535638;10
2042;2586;1481538371;10
1132;2757;1481548527;6
1805;2787;1481521050;8
3581;703;1481545941;8
646;1505;1481517722;14
686;3747;1481534958;6
2812;130;1481543215;8
3249;2494;1481513791;4
279;1443;1481521111;16
505;3485;1481541809;8
3237;3144;1481545808;18
1670;1856;1481531731;18
2700;610;1481530194;18
1137;1723;1481513809;8
1863;2895;1481533332;16
549;3642;1481537872;16
1465;3564;1481519127;4
493;1101;1481519615;2
1743;334;1481537898;10
1944;525;1481527656;16
1721;2679;1481534840;12
2321;1516;1481514195;18
2492;138;1481515908;14
3756;739;1481537654;18
1045;6;1481536350;14
1243;1739;1481513529;4
2482;2673;1481531604;4
1525;3084;1481529088;12
1016;1628;1481529167;6
3382;2834;1481517310;16
2397;1460;1481516215;2
257;2713;1481531995;14
2130;1584;1481526108;6
3115;3353;1481534222;6
3659;1228;1481543404;18
711;2895;1481535670;4
3288;3435;1481519294;12
2872;2491;1481540974;16
2877;118;1481528795;10
470;1361;1481538108;18
1345;1245;1481538239;6
1789;3552;1481543693;4
460;2491;1481521223;2
3257;140;1481537063;18
767;489;1481547441;8
2472;1288;1481545050;12
1371;2124;1481538122;2
338;2532;1481523581;14
1792;773;1481515907;16
610;3767;1481547415;8
327;1573;1481522899;10
184;2095;1481527548;16
2141;1568;1481516789;14
717;433;1481526102;6
1007;1246;1481523145;2
2661;939;1481519875;4
953;451;1481531226;18
1236;386;1481529631;6
1130;363;1481543230;16
3238;614;1481523523;4
1243;3387;1481539614;14
2259;2929;1481540724;10
1428;1696;1481517111;10
1553;2724;1481523027;6
2606;2525;1481537522;2
2839;1033;1481527459;18
363;565;1481517767;10
3614;2679;1481523618;10
3418;2763;1481543021;10
3597;1102;1481517726;12
1670;469;1481546677;18
447;109;1481524192;18
1312;1817;1481519519;10
876;2493;1481513500;4
1604;3660;1481521550;2
3748;792;1481523082;12
920;385;1481541617;4
1020;46;1481528145;18
2295;2926;1481528566;6
2509;1218;1481518288;14
3262;767;1481550122;4
1107;666;1481513796;18
1316;1746;1481522051;4
2012;3182;1481543698;8
1329;679;1481544863;4
881;2462;1481539322;6
3277;2906;1481544945;4
405;2762;1481542631;16
1084;1502;1481519831;10
1980;638;1481515525;4
1564;1728;1481523470;4
130;2062;1481547113;6
3635;1187;1481519871;6
710;3577;1481524336;16
547;1690;1481547182;12
1546;2418;1481525503;12
2444;1607;1481514320;14
2779;1671;1481534294;10
710;1555;1481545372;16
2695;2399;1481550108;6
3304;1967;1481520930;8
1399;2272;1481526628;16
105;2028;1481532887;10
400;2144;1481512892;14
3112;3040;1481524727;8
2075;2240;1481537852;14
2705;2759;1481549467;12
1541;1038;1481526835;16
1830;1364;1481520813;10
3630;2269;1481513948;2
1290;2494;1481517919;14
2407;750;1481540179;6
3780;3639;1481547287;14
572;3182;1481522999;14
2308;1347;1481517503;18
1798;2853;1481539156;4
3318;3346;1481535182;14
2679;999;1481523259;14
3260;579;1481518804;6
2011;1049;1481541468;6
2188;781;1481549172;2
849;3476;1481513262;6
136;2558;1481537917;2
635;581;1481529685;18
272;2192;1481541316;14
587;3166;1481519646;10
3218;599;1481542147;6
3752;1858;1481521019;4
810;1632;1481529442;6
539;3222;1481537854;8
1931;335;1481547189;8
202;2269;1481540977;2
918;702;1481524440;14
2694;2115;1481546912;4
3031;1731;1481549363;14
1671;2646;1481541047;6
2836;64;1481549386;12
195;3352;1481523975;10
2254;677;1481528760;18
1706;3342;1481539466;4
1145;2215;1481521431;8
2624;2618;1481543100;10
2598;415;1481535376;8
913;1486;1481526044;14
520;848;1481533000;4
1462;1035;1481516076;14
897;2437;1481537275;4
1853;942;1481535793;12
1641;1257;1481524066;10
1260;3722;1481514084;4
3401;2356;1481538943;10
251;252;1481514214;18
1662;1558;1481525417;10
1689;2044;1481548820;18
2723;1946;1481521066;2
598;890;1481528713;10
2304;21;1481537426;12
1216;3380;1481546120;16
1233;1728;1481538598;2
2599;2717;1481516334;18
235;1433;1481532175;6
3306;917;1481524796;4
1383;3680;1481515190;2
130;2037;1481522043;12
1689;48;1481515817;2
239;1763;1481517921;6
3635;428;1481536460;4
3154;1096;1481523599;8
481;1748;1481515920;16
1824;3554;1481517750;16
1727;616;1481514931;8
1964;846;1481521497;16
231;2862;1481549798;16
562;1224;1481539842;4
2221;1513;1481519666;6
3325;86;1481534125;2
3240;15;1481527029;2
1833;2872;1481536776;4
800;1907;1481533027;8
564;257;1481527755;10
1111;306;1481524432;12
1535;505;1481529286;18
35;1084;1481537045;2
2853;769;1481519039;8
2599;3298;1481524325;16
1251;313;1481522107;8
294;1616;1481533469;10
3694;3378;1481517707;10
1436;256;1481521663;8
3755;2736;1481539061;14
1038;1827;1481521173;4
1247;2691;1481517184;2
3032;1927;1481537165;18
237;3559;1481538973;2
283;312;1481528396;8
637;934;1481541152;12
2022;1196;1481533370;18
2783;1124;1481543226;6
1387;1724;1481541892;6
740;2863;1481532404;4
1353;1584;1481533033;8
1654;3171;1481542018;2
2073;2127;1481526104;8
3621;2397;1481534577;16
58;1917;1481549813;14
3166;3242;1481523855;10
2612;75;1481525330;8
1258;1440;1481518056;10
1407;1805;1481534649;8
2617;2685;1481524505;2
2898;125;1481519153;10
874;1646;1481527151;10
2429;2370;1481546977;4
413;1035;1481530254;2
8;576;1481522676;14
737;644;1481522830;16
394;2673;1481531739;2
3341;2793;1481523388;4
3315;2619;1481535232;10
1385;1009;1481532730;4
2443;2399;1481532047;10
3325;2020;1481547151;18
1378;777;1481515363;12
1813;613;1481550188;18
3431;1161;1481536166;12
3358;1804;1481524344;2
2999;2440;1481542742;2
3696;2802;1481538579;14
752;1402;1481535300;6
3035;1881;1481539122;18
884;3596;1481519712;18
3341;3045;1481526315;12
617;3490;1481528732;8
2422;2758;1481513718;10
55;1277;1481521680;16
3512;869;1481534319;2
497;1572;1481522560;8
1209;2916;1481526745;14
736;3696;1481529633;14
2603;3572;1481545310;12
3033;57;1481550041;8
2390;1981;1481544221;12
