departure;arrival;starting_time;n_people
2888;2798;1481512755;4
471;499;1481513867;14
2288;340;1481542855;10
611;2835;1481514478;12
1153;1553;1481542836;10
533;2587;1481530890;12
2644;2114;1481525388;18
19;2352;1481532920;12
404;1182;1481543273;2
1869;2047;1481520001;2
1868;1326;1481534746;16
2054;250;1481512059;6
1291;633;1481530151;2
634;3064;1481523146;14
1701;1481;1481514077;10
3042;1080;1481513392;10
2185;92;1481537572;14
1447;2846;1481522664;4
696;780;1481529023;12
1109;2325;1481546542;12
1261;2043;1481545830;6
1916;3034;1481517194;8
2221;1443;1481513167;18
913;2234;1481512148;10
177;2235;1481521142;8
377;1291;1481540787;4
1;570;1481537717;12
1196;82;1481535445;18
3029;664;1481516660;18
2169;2176;1481541139;16
1177;1728;1481521673;2
222;95;1481515407;14
2525;2249;1481525134;10
246;3046;1481530591;14
1206;1739;1481543046;2
2001;1251;1481510783;14
1360;414;1481524958;6
1712;258;1481548100;8
162;714;1481537613;12
2920;146;1481533616;8
262;2656;1481527428;16
3074;2906;1481548413;18
1916;2926;1481516977;14
2714;1984;1481547176;6
670;2948;1481532452;2
918;993;1481519916;4
772;2975;1481516551;8
657;365;1481521265;18
25;1107;1481522507;8
1204;1054;1481520552;8
1316;732;1481515358;10
878;908;1481512795;16
1272;3009;1481532341;16
2379;1126;1481538111;8
2092;1860;1481532946;14
1611;44;1481535233;4
1265;1693;1481540413;16
2559;1258;1481521857;2
73;2492;1481519747;8
2643;766;1481527810;18
2978;2783;1481540562;12
2070;1240;1481524157;14
2231;461;1481545432;18
556;2130;1481512571;4
1571;3039;1481514640;12
691;1401;1481545797;8
2320;2884;1481534669;8
2825;1841;1481547441;6
228;1921;1481532483;16
1664;774;1481524190;16
2300;841;1481548004;2
2366;237;1481510563;18
3029;137;1481517722;10
728;1048;1481537745;2
152;360;1481526555;14
194;2394;1481541659;2
1283;1648;1481525454;14
2131;2012;1481531353;8
2148;1838;1481512634;12
352;2513;1481511610;2
2427;1265;1481536629;14
24;1047;1481544833;16
1318;2300;1481521811;4
1770;2998;1481537335;8
1481;963;1481523986;18
2778;1251;1481520482;16
243;2231;1481525098;2
1239;2476;1481534447;10
1918;1820;1481519501;18
885;2467;1481523304;8
2394;1197;1481547874;4
1545;1153;1481522495;4
1893;2740;1481548237;6
2650;912;1481526432;14
270;2325;1481517735;6
2092;2785;1481522820;14
2675;2869;1481518777;4
2214;2849;1481539366;12
2765;666;1481542995;18
2187;2044;1481537645;10
248;1288;1481511418;14
2130;1136;1481538433;18
1435;1736;1481530214;12
1653;2012;1481517576;16
1795;1488;1481512401;4
1663;131;1481529631;8
2566;1707;1481514741;16
2153;2927;1481531676;18
1511;2624;1481545823;14
1701;2074;1481527414;16
2155;2371;1481511582;14
2305;3046;1481518888;16
2029;1926;1481527034;4
2469;961;1481546839;6
835;2376;1481525873;8
2560;1039;1481546118;2
896;1853;1481531674;16
350;2129;1481529897;16
204;659;1481545206;8
2726;2115;1481515998;6
2566;13;1481523251;18
116;1580;1481543815;6
1346;2058;1481541501;8
2770;1435;1481513009;12
2245;2511;1481510482;14
1070;287;1481536560;6
1807;1056;1481514648;12
929;1574;1481514819;10
30;2559;1481542321;16
2342;2710;1481541067;2
1680;3033;1481525979;12
201;3063;1481529488;12
1675;1668;1481537114;10
3009;801;1481510747;18
2988;2889;1481547102;4
1216;1477;1481525075;6
2706;2660;1481515858;4
2088;381;1481517393;8
1807;261;1481535634;6
1391;1545;1481542829;18
129;1581;1481546162;8
1706;3005;1481524426;2
2433;1358;1481548560;2
2248;2479;1481515948;18
752;421;1481538710;8
2156;2943;1481542745;16
954;2034;1481511298;2
2555;909;1481519075;8
2765;828;1481522108;2
2151;554;1481535027;14
2134;2425;1481516624;18
2358;349;1481542637;18
2008;1452;1481534088;16
2674;538;1481521054;18
2941;2785;1481534476;14
1509;525;1481529643;10
2002;1590;1481536633;18
398;2673;1481530764;12
1521;602;1481540319;8
835;1965;1481535386;2
2572;2107;1481526519;18
2882;2884;1481535013;18
1786;2669;1481530529;8
2796;187;1481541586;2
